layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: the,10: following,11: condition,12::,13: depression,14:.,"15:
",16:Com,17:pose,18: a,19: brief,20: presentatio,21: about,22: its,23: demographic,24: information,25: and,26: past,27: medical,28: history,29:.,30: You,31: must,32: start,33: with,34: the,35: following,36::,"37: """,38:Gender,39::,"40: ""","41:
",42:<,43:|,44:ass,45:istant,46:|>,"47:
",48:Gender,49::
L11,0.111918,-0.049448,0.051293,0.107989,0.013072,-0.004396,0.104044,0.393700,0.462298,0.013072,0.071913,-0.379489,-0.096627,1.250253,0.769133,0.261014,-0.177072,-0.072759,0.071913,-0.317358,-0.646029,-0.329479,-0.096627,0.100083,-0.187599,-0.473518,0.008734,-0.022174,0.025975,0.756863,-0.192904,0.146603,0.274437,0.884202,-0.068053,-0.347941,-0.581229,0.254234,1.845826,-0.136041,-1.098611,-0.438913,0.059592,0.038714,0.100083,-0.225339,-0.765906,0.034486,2.321699,-0.789774
L12,-0.049448,-0.022174,0.123614,0.080043,-0.360441,-0.412066,0.212561,-0.502092,-0.004396,-0.049448,0.017392,-0.171850,0.123614,-0.347941,0.025975,0.038714,0.038714,0.013072,-0.054067,-0.040274,-0.392393,-0.106336,-0.323400,0.428587,0.000000,0.004376,-0.031183,0.034486,-0.385920,0.138999,-0.121078,-0.214410,-0.022174,-0.182321,-0.141079,-0.166655,0.226646,0.345206,0.869603,0.891422,-1.098611,-1.022626,0.146603,0.055451,0.004376,0.021693,-0.026668,0.123614,2.438525,1.229948
L13,0.008734,-0.026668,0.017392,-0.230848,-0.136041,-0.136041,-0.258862,-0.317358,-0.187599,0.013072,-0.270290,-0.166655,-0.121078,0.300754,0.107989,0.247408,-0.013245,-0.166655,-0.270290,-0.101469,0.008734,-0.225339,0.063716,0.183782,0.816761,0.146603,-0.203599,-0.068053,-0.425399,0.080043,-0.031183,-0.031183,0.096107,0.274437,-0.026668,-0.151231,0.104044,0.639080,-0.198237,-0.613104,0.092115,-0.487703,0.351398,-0.182321,0.030240,0.059592,-0.276054,0.025975,0.104044,2.197224
L14,-0.126041,-0.063370,0.080043,0.226646,0.169076,-0.323400,0.111918,0.131336,0.038714,0.034486,0.100083,-0.177072,-0.058708,-0.072759,0.212561,-0.187599,0.084083,0.154151,0.084083,0.104044,0.205444,0.055451,-0.072759,-0.531506,-0.225339,0.320047,0.075986,0.042925,0.439951,-0.040274,-0.026668,-0.077487,0.146603,0.399600,0.131336,-0.141079,-0.354172,-0.126041,0.375789,0.434285,0.363668,-1.034896,0.038714,0.071913,0.100083,-0.101469,-0.418710,-0.161487,1.454117,0.586811
L15,-0.072759,0.191055,0.017392,0.008734,-0.008811,-0.087011,0.138999,0.088107,0.100083,0.111918,0.047118,0.104044,0.131336,-0.236389,0.183782,0.287682,0.161641,0.100083,0.067823,0.084083,0.055451,0.080043,0.030240,-0.058708,0.088107,0.205444,0.176456,0.131336,0.212561,0.008734,0.111918,-0.096627,-0.082238,0.393700,-0.022174,-0.146142,-0.737997,0.536801,2.132816,0.876929,-0.366750,0.212561,0.038714,0.274437,0.008734,-0.026668,-0.373100,1.025853,2.250368,-0.121078
L16,-0.253196,-0.116140,0.008734,0.071913,-0.156346,-0.044851,0.038714,-0.524071,-0.082238,0.161641,-0.192904,0.161641,0.226646,-0.392393,0.051293,0.146603,0.000000,0.104044,-0.022174,-0.049448,0.030240,0.017392,-0.203599,-0.341749,0.051293,0.063716,-0.008811,0.100083,0.161641,0.254234,0.176456,0.038714,-0.017700,0.038714,0.100083,0.123614,-0.198237,-0.214410,0.591678,-0.166655,-0.538996,0.307227,0.639080,0.047118,0.059592,0.320047,-0.844378,1.138732,1.006804,1.999581
L17,0.042925,0.008734,0.013072,0.104044,0.191055,-0.111226,-0.247562,0.059592,0.030240,0.042925,0.096107,-0.121078,0.123614,0.765060,0.261014,-0.026668,0.038714,0.021693,0.042925,0.100083,0.051293,0.154151,-0.198237,-0.182321,-0.068053,-0.013245,0.025975,0.084083,0.176456,0.422857,0.038714,-0.058708,-0.017700,0.226646,0.169076,0.088107,0.387765,-0.171850,1.275068,0.240535,-0.136041,-0.719815,0.254234,0.004376,0.034486,0.084083,-0.208990,0.161641,0.639080,0.191055
L18,0.059592,0.169076,0.100083,0.131336,-0.044851,0.071913,0.287682,1.474401,1.420780,0.320047,0.084083,0.281081,0.765060,8.681603,1.845826,0.601339,0.092115,0.123614,0.131336,0.038714,0.030240,-0.198237,0.980829,1.149905,0.247408,0.183782,0.287682,0.345206,0.516075,0.226646,0.219629,0.104044,0.131336,0.205444,0.387765,0.051293,0.326396,0.131336,10.230588,0.940555,1.270154,-0.432133,-0.101469,-0.116140,0.075986,-0.022174,-0.008811,1.591738,3.750535,1.570077
L19,-0.208990,-0.116140,-0.031183,-0.049448,0.071913,0.176456,-0.013245,-0.392393,-0.072759,0.034486,0.030240,0.100083,-0.166655,0.205444,0.212561,0.115832,0.100083,-0.063370,0.034486,0.055451,0.059592,0.063716,-0.299447,-0.161487,0.096107,-0.035718,0.183782,0.008734,0.381795,0.345206,0.096107,0.104044,0.104044,0.240535,0.038714,0.084083,0.240535,-0.293547,2.173554,0.123614,1.265216,1.626829,0.226646,0.021693,-0.063370,0.042925,0.146603,2.321699,2.419978,4.458215
L20,0.100083,0.088107,0.080043,0.131336,0.261014,-0.177072,0.219629,-0.305382,-0.031183,0.008734,0.017392,0.000000,0.008734,-1.239690,0.226646,0.247408,0.059592,-0.116140,0.071913,0.219629,0.123614,-0.017700,-0.425399,-0.459532,-0.017700,-0.126041,0.067823,0.104044,0.055451,0.115832,0.123614,0.104044,0.169076,0.138999,0.092115,0.063716,0.055451,0.345206,-0.728865,0.797191,0.313657,0.146603,-0.106336,0.191055,0.071913,0.254234,-0.225339,0.777230,0.478737,6.656704
L21,0.247408,0.088107,-0.063370,-0.031183,-0.058708,0.008734,0.161641,1.327586,0.629777,0.161641,0.071913,0.254234,0.494910,2.438525,1.044545,0.338975,-0.031183,0.025975,0.169076,0.123614,0.123614,0.300754,0.693147,0.657429,0.146603,-0.022174,0.096107,0.034486,0.104044,0.226646,0.183782,0.034486,-0.044851,-0.035718,0.313657,-0.116140,0.034486,0.205444,3.041175,0.439951,0.067823,0.004376,-0.166655,-0.054067,0.063716,0.025975,-0.293547,0.042925,0.801136,9.835450
L22,0.038714,0.063716,0.088107,0.115832,-0.096627,0.123614,0.107989,-0.516690,-0.058708,0.034486,-0.031183,-0.187599,-0.203599,-1.239690,-0.789774,0.034486,0.092115,0.034486,0.034486,0.084083,0.034486,0.071913,-0.625324,-0.701957,-0.063370,-0.004396,0.000000,-0.082238,-0.058708,-0.031183,0.059592,0.100083,0.034486,-0.017700,0.059592,0.071913,0.219629,-0.236389,-0.258862,0.100083,0.287682,0.000000,-0.035718,0.067823,0.212561,-0.087011,-0.466501,-0.354172,0.567106,6.340173
L23,0.183782,0.008734,0.219629,0.161641,0.092115,0.096107,-0.219859,-0.633555,-0.219859,0.154151,0.212561,0.038714,-0.258862,-1.318471,-0.509364,-0.058708,0.205444,0.154151,-0.008811,0.169076,0.183782,0.191055,-0.253196,-0.044851,0.100083,0.004376,0.008734,0.071913,0.030240,0.042925,0.247408,0.000000,-0.031183,0.100083,0.115832,0.146603,0.123614,-0.438913,-0.974998,0.661964,0.161641,-0.445739,0.000000,-0.026668,0.008734,0.205444,0.034486,0.021693,0.552068,0.422857
L24,0.183782,0.096107,0.038714,0.212561,0.034486,0.862223,0.240535,0.205444,0.034486,0.008734,0.154151,0.146603,0.169076,0.146603,-0.096627,0.115832,0.096107,0.111918,0.138999,0.183782,0.154151,0.063716,0.063716,0.000000,0.034486,0.071913,0.111918,0.034486,0.123614,0.131336,0.059592,0.000000,0.115832,-0.031183,0.021693,0.000000,0.146603,0.008734,0.536801,0.484157,0.411296,0.183782,-0.035718,0.247408,0.071913,0.183782,-0.680075,-0.161487,0.777230,5.324720
L25,0.038714,0.096107,0.000000,0.000000,0.021693,0.088107,0.169076,0.345206,0.055451,0.115832,-0.031183,0.154151,0.008734,1.999581,0.500243,0.000000,0.154151,0.063716,-0.031183,0.080043,-0.031183,-0.031183,0.176456,0.212561,0.059592,0.115832,0.138999,0.030240,-0.031183,0.080043,0.092115,0.000000,0.030240,-0.031183,0.030240,0.084083,0.021693,0.092115,0.666479,0.434285,0.161641,0.154151,0.107989,0.138999,0.146603,0.226646,-0.569533,0.294239,0.055451,6.559789
L26,0.059592,0.055451,0.004376,0.000000,0.067823,0.092115,0.080043,-0.161487,0.008734,0.088107,0.059592,-0.031183,-0.219859,-0.609064,-0.126041,0.051293,0.080043,0.084083,0.030240,0.084083,-0.058708,-0.058708,0.047118,0.017392,0.059592,0.051293,0.000000,0.059592,0.092115,0.088107,0.123614,0.017392,0.038714,0.034486,0.008734,0.123614,-0.022174,0.131336,-0.072759,0.088107,-0.026668,-0.058708,-0.031183,0.075986,0.176456,0.247408,-0.637696,-0.063370,-0.054067,9.037007
L27,-0.031183,0.080043,-0.058708,0.030240,0.088107,0.115832,0.000000,0.212561,0.038714,0.000000,0.000000,0.154151,0.071913,0.025975,0.146603,0.000000,0.088107,-0.031183,0.000000,-0.031183,0.000000,0.107989,-0.063370,0.092115,0.000000,0.047118,0.107989,0.000000,0.115832,0.080043,0.038714,0.080043,0.030240,0.004376,0.030240,0.000000,0.111918,0.123614,0.146603,0.219629,0.092115,0.034486,0.080043,0.154151,0.000000,0.307227,-1.022626,0.307227,-0.082238,4.216665
L28,0.080043,0.088107,0.088107,0.000000,0.088107,0.000000,0.115832,-0.031183,0.000000,0.034486,-0.031183,0.080043,0.115832,0.025975,-0.031183,0.000000,-0.031183,0.080043,-0.031183,0.055451,0.008734,0.030240,0.000000,0.000000,-0.031183,0.000000,0.000000,0.000000,0.000000,0.084083,-0.031183,0.111918,-0.031183,0.000000,0.034486,-0.031183,0.008734,-0.054067,-0.126041,0.025975,-0.031183,-0.031183,-0.031183,-0.013245,0.042925,0.445585,-1.286210,0.138999,-0.087011,7.484102
L29,0.000000,0.111918,0.063716,0.030240,0.030240,0.000000,-0.031183,-0.031183,-0.031183,0.000000,0.000000,0.000000,-0.031183,0.080043,0.000000,0.000000,-0.022174,0.000000,0.000000,-0.031183,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031183,0.107989,0.000000,0.000000,0.080043,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031183,0.107989,0.107989,0.030240,0.000000,0.000000,0.000000,0.000000,0.084083,0.115832,0.071913,-0.998528,0.154151,0.059592,8.791206
L30,0.154151,0.154151,0.080043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107989,-0.031183,0.080043,0.000000,-0.031183,-0.031183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107989,-0.031183,0.000000,-0.031183,0.000000,0.000000,0.000000,-0.031183,0.084083,0.030240,-0.546543,0.111918,0.030240,9.819946
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.801573
