layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: standardize,9: patient,10: brief,11: for,12: asthma,13: focused,14: on,15: demographic,16: and,17: relevant,18: PM,19:H,20:;,21: avoid,22: extra,23: sections,24:.,25: Begin,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L21,-0.067441,0.056352,-0.127338,-0.067441,0.000000,-0.067441,0.309186,0.184733,0.371061,2.190755,0.309186,0.309186,4.188548,0.063178,0.122601,1.561945,0.248894,0.063178,0.243229,0.056352,0.497693,0.122601,-0.131462,-0.067441,0.056352,0.063178,0.122601,0.000000,0.122601,0.749496,6.316816,1.250685,1.561945,1.371689,0.063178,-0.067441,0.184733,-0.186677,0.000000,-0.317093,1.049092,10.090046
L22,0.184733,0.122601,-0.007273,0.122601,-0.067441,0.122601,-0.007273,0.063178,0.122601,-2.123833,-0.067441,-0.127338,-3.540684,0.063178,-0.191054,-0.884191,-0.127338,0.056352,0.184733,-0.067441,-0.191054,0.184733,-0.067441,-0.007273,0.056352,-0.067441,0.122601,0.116171,0.056352,-0.685919,-0.938257,-0.438613,0.000000,-0.752857,0.122601,0.309186,0.000000,0.000000,0.438719,0.178690,-1.770213,-1.559927
L23,0.063178,0.122601,0.056352,0.063178,0.000000,0.116171,0.063178,0.063178,0.371061,-0.564149,0.122601,0.184733,-3.135313,0.122601,-0.131462,-0.067441,-0.249761,0.063178,0.122601,0.116171,0.000000,0.063178,0.243229,0.000000,-0.067441,0.122601,0.000000,0.184733,0.000000,-0.378650,-2.064996,0.309186,-0.067441,-0.564149,-0.007273,0.063178,0.000000,0.063178,-0.502402,-0.508408,-1.813696,-0.156568
L24,0.122601,0.063178,0.063178,0.056352,0.063178,0.493278,0.056352,0.056352,-0.067441,0.309186,0.063178,-0.127338,0.936372,0.056352,0.056352,0.000000,0.063178,0.184733,0.063178,0.122601,0.184733,0.063178,0.056352,0.056352,0.056352,0.056352,0.122601,0.000000,0.122601,0.434036,1.122474,0.438719,0.309186,0.184733,-0.067441,0.184733,0.000000,0.248894,-0.059719,-0.254422,0.122601,4.236616
L25,0.000000,0.000000,0.122601,0.056352,-0.067441,0.063178,-0.007273,0.000000,0.000000,0.371061,0.000000,-0.254422,1.998334,0.000000,0.056352,0.063178,0.056352,0.063178,0.184733,0.063178,0.122601,0.056352,0.056352,0.056352,0.000000,0.000000,0.122601,-0.067441,0.122601,0.742623,1.181988,0.685870,0.184733,0.309186,0.184733,-0.059719,0.122601,0.184733,-0.186677,0.493278,-0.956949,2.762567
L26,0.056352,0.063178,0.056352,0.063178,0.056352,-0.067441,0.063178,0.000000,0.116171,-0.317093,-0.067441,0.000000,-1.631383,-0.067441,0.000000,-0.127338,-0.067441,0.000000,-0.127338,-0.191054,0.000000,0.000000,0.000000,0.056352,-0.007273,0.000000,0.116171,-0.007273,0.000000,-0.312130,-0.378650,0.248894,-0.067441,-0.254422,-0.067441,0.063178,0.000000,0.128991,-0.433011,-0.317093,-0.947559,8.265959
L27,0.063178,0.063178,-0.067441,0.116171,0.000000,0.000000,0.063178,0.000000,0.000000,0.309186,-0.007273,0.000000,0.497693,0.000000,0.000000,0.000000,0.000000,0.000000,0.063178,-0.007273,0.056352,-0.067441,0.000000,0.000000,0.000000,0.116171,0.063178,0.063178,0.122601,0.434036,0.184733,0.184733,0.000000,0.122601,0.056352,0.116171,0.056352,0.184733,-0.373373,0.371061,-0.378650,4.188548
L28,-0.067441,0.056352,0.063178,0.000000,0.063178,0.000000,0.000000,0.000000,0.063178,0.000000,0.000000,-0.067441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063178,-0.067441,-0.067441,0.063178,0.000000,-0.067441,-0.067441,0.000000,0.063178,0.000000,0.000000,-0.127338,0.000000,0.116171,0.063178,0.000000,0.056352,-0.067441,0.063178,0.248894,-0.938257,0.056352,-0.127338,7.080226
L29,0.000000,0.056352,0.063178,0.000000,0.000000,-0.067441,0.000000,-0.007273,0.000000,-0.067441,-0.067441,-0.067441,0.000000,0.000000,-0.067441,0.000000,-0.067441,-0.067441,0.056352,-0.067441,-0.067441,0.000000,-0.067441,-0.067441,0.000000,-0.067441,-0.067441,0.000000,0.000000,0.000000,0.063178,0.000000,0.000000,0.000000,0.063178,0.063178,0.000000,0.056352,-0.433011,0.063178,0.000000,8.178277
L30,0.056352,0.056352,-0.067441,-0.007273,-0.127338,0.000000,-0.007273,-0.067441,-0.007273,-0.067441,0.000000,-0.067441,-0.067441,-0.067441,-0.067441,0.000000,-0.067441,-0.067441,0.056352,-0.007273,-0.007273,-0.007273,-0.007273,-0.007273,-0.067441,-0.067441,-0.007273,-0.067441,-0.007273,-0.067441,-0.007273,-0.007273,-0.007273,-0.067441,0.056352,-0.007273,-0.007273,-0.007273,-0.312130,-0.007273,-0.067441,8.526501
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.229889
