layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: standardize,9: patient,10: brief,11: for,12: multiple,13: sclerosis,14: focused,15: on,16: demographic,17: and,18: relevant,19: PM,20:H,21:;,22: avoid,23: extra,24: sections,25:.,26: Begin,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L11,0.029632,-0.094559,0.058411,-0.030537,0.093257,-0.094559,-0.094559,0.029632,-0.128175,0.126931,0.884202,-0.194425,0.007491,0.184825,0.000000,-0.154151,-0.141079,0.126931,-0.158546,0.022306,0.191055,0.036905,0.120286,0.029632,0.058411,-0.222204,-0.094559,0.000000,0.086385,0.051293,0.437527,0.800010,0.065478,-0.418710,-0.199001,0.209517,0.058411,-0.062035,-0.123911,-0.149774,0.197247,1.318241,0.700638
L12,0.086385,-0.123911,-0.030537,-0.022815,-0.094559,-0.285179,-0.038319,0.058411,-0.128175,-0.347054,0.100083,0.215596,-0.094559,-0.290191,0.159507,-0.119665,-0.058043,0.065478,0.000000,0.120286,0.126931,0.000000,-0.062035,0.000000,0.402956,0.000000,-0.119665,-0.102857,-0.070068,-0.007547,0.120286,0.422857,0.203401,-0.236389,0.606819,0.335398,0.120286,0.058411,0.126931,-0.086328,-0.007547,0.330007,-0.082238
L13,-0.030537,-0.062035,0.065478,-0.070068,-0.066043,-0.123911,0.000000,0.051293,0.051293,0.297037,-0.054067,-0.128175,-0.094559,-0.090435,0.120286,-0.189869,-0.030537,0.079464,-0.123911,-0.123911,-0.030537,0.007491,-0.094559,0.029632,0.036905,-0.094559,-0.042233,-0.119665,-0.128175,-0.128175,-0.285179,0.215596,0.022306,-0.162961,0.065478,0.029632,0.036905,-0.123911,0.100083,-0.058043,0.215596,-0.212858,0.489548
L14,-0.111226,-0.030537,-0.030537,0.065478,-0.022815,-0.250778,-0.054067,0.029632,-0.030537,0.280135,0.319137,0.000000,-0.102857,-0.424441,-0.022815,-0.185334,0.058411,0.126931,0.065478,-0.030537,0.058411,0.215596,-0.038319,0.022306,0.126931,0.086385,-0.154151,0.058411,0.146603,-0.275229,-0.185334,-0.520901,-0.141079,0.044125,-0.145417,0.065478,0.126931,-0.022815,-0.030537,-0.203599,0.251314,0.480289,-0.763215
L15,-0.038319,-0.030537,-0.030537,0.153076,0.058411,-0.149774,0.051293,0.120286,0.086385,0.257145,0.065478,-0.066043,-0.042233,0.280135,0.086385,-0.217520,0.058411,-0.062035,-0.007547,-0.030537,0.000000,0.022306,0.000000,0.093257,-0.030537,-0.128175,0.000000,0.058411,0.113597,-0.030537,-0.070068,0.598589,0.065478,-0.086328,0.392855,0.209517,0.191055,-0.062035,-0.007547,-0.315638,0.308148,1.093587,-0.046162
L16,-0.115436,-0.208218,0.051293,-0.030537,0.000000,-0.030537,-0.030537,0.000000,-0.030537,-0.128175,0.065478,0.280135,-0.062035,0.447189,-0.062035,-0.094559,0.051293,0.029632,0.000000,-0.007547,0.000000,-0.070068,-0.123911,-0.022815,-0.030537,0.093257,0.086385,0.022306,0.093257,-0.030537,-0.189869,-0.128175,0.153076,-0.194425,0.072496,0.172246,0.133531,0.007491,0.093257,-0.413012,0.239550,-0.620652,-0.341749
L17,0.058411,0.000000,0.000000,-0.030537,0.029632,0.058411,0.000000,0.113597,-0.042233,-0.030537,0.058411,-0.154151,0.029632,-0.094559,-0.030537,-0.094559,-0.022815,-0.158546,-0.007547,0.051293,0.000000,0.029632,-0.007547,0.029632,0.036905,0.058411,0.029632,-0.030537,0.022306,0.159507,-0.189869,0.484929,0.274437,-0.030537,-0.086328,0.000000,0.000000,-0.066043,0.007491,0.007491,-0.022815,0.120286,0.387766
L18,-0.086328,0.029632,0.029632,0.058411,0.000000,-0.115436,0.029632,0.029632,0.146603,1.049822,0.475627,-0.203599,0.000000,6.170350,0.153076,0.065478,0.377509,0.093257,0.065478,0.126931,0.133531,0.221639,-0.007547,-0.119665,0.065478,-0.066043,0.029632,0.000000,0.093257,-0.030537,-0.042233,3.546285,0.670332,0.392855,-0.290191,-0.094559,0.106863,0.029632,-0.054067,-0.123911,0.552069,2.571866,1.349927
L19,-0.090435,-0.086328,-0.038319,0.000000,0.007491,0.285801,0.007491,0.000000,-0.189869,-0.102857,0.100083,-0.030537,0.065478,-0.255620,-0.066043,0.029632,-0.158546,-0.128175,0.065478,0.000000,-0.217520,0.120286,0.093257,0.029632,0.100083,0.153076,0.093257,0.086385,0.100083,0.007491,-0.347054,0.442370,-0.115436,0.335398,0.106863,-0.107033,0.100083,-0.030537,0.036905,-0.401713,0.708073,0.890394,3.854298
L20,-0.066043,0.000000,-0.094559,0.058411,0.120286,-0.158546,0.029632,0.029632,0.022306,-0.368561,-0.062035,-0.062035,-0.094559,-0.384999,-0.007547,-0.128175,-0.094559,-0.030537,0.029632,0.000000,-0.189869,-0.007547,0.086385,0.029632,-0.102857,0.093257,0.029632,0.000000,0.022306,-0.030537,-0.185334,-0.098699,0.191055,-0.241162,-0.185334,-0.030537,0.113597,0.086385,0.184825,0.072496,0.346093,-0.265376,5.198331
L21,0.058411,0.029632,-0.123911,-0.062035,-0.119665,-0.094559,0.000000,0.000000,0.051293,0.442370,0.029632,0.065478,0.159507,2.996108,0.058411,-0.123911,0.191055,0.000000,-0.030537,0.029632,-0.066043,-0.062035,-0.007547,0.000000,-0.062035,-0.066043,-0.094559,-0.022815,-0.066043,-0.062035,0.036905,1.207725,0.280135,0.340759,0.126931,0.029632,0.000000,0.093257,0.007491,-0.082238,-0.217520,0.191055,7.475412
L22,0.058411,0.065478,-0.070068,0.000000,-0.062035,-0.062035,-0.007547,0.000000,0.000000,-0.226910,-0.042233,0.000000,-0.066043,-0.471509,0.029632,-0.185334,-0.094559,-0.070068,0.000000,0.022306,-0.123911,-0.094559,-0.030537,0.029632,-0.007547,-0.094559,-0.094559,-0.030537,0.000000,-0.123911,-0.062035,0.007491,-0.098699,0.065478,-0.128175,0.065478,0.065478,0.093257,0.093257,-0.015152,0.361924,0.120286,1.357694
L23,-0.022815,-0.030537,0.000000,-0.007547,-0.123911,0.000000,-0.062035,-0.030537,0.000000,-0.094559,-0.030537,-0.158546,0.036905,-0.441833,-0.007547,-0.030537,0.029632,0.058411,0.093257,0.051293,-0.038319,-0.123911,-0.030537,-0.086328,0.051293,-0.094559,0.022306,0.000000,-0.066043,-0.119665,-0.189869,-0.094559,0.215596,-0.030537,-0.185334,-0.062035,-0.062035,-0.062035,0.029632,-0.062035,0.065478,-0.107033,2.026366
L24,0.036905,0.007491,0.051293,-0.094559,0.000000,0.967584,0.029632,0.000000,-0.094559,-0.030537,0.029632,0.022306,0.029632,0.503278,-0.066043,-0.058043,-0.094559,0.000000,0.022306,-0.094559,-0.022815,0.029632,-0.062035,0.051293,0.000000,0.000000,-0.030537,-0.062035,0.029632,-0.007547,-0.007547,0.372341,0.221639,0.313658,0.086385,-0.062035,0.007491,0.058411,0.100083,-0.508322,-0.154151,0.262942,5.284882
L25,0.000000,0.007491,-0.066043,0.000000,-0.090435,-0.030537,-0.066043,-0.030537,-0.030537,0.029632,0.000000,0.029632,-0.094559,1.060293,0.022306,-0.123911,0.029632,-0.030537,0.029632,-0.030537,-0.062035,0.093257,0.058411,0.000000,0.086385,-0.030537,0.029632,0.000000,0.000000,-0.058043,0.058411,0.480289,0.126931,0.065478,0.000000,0.000000,0.029632,0.058411,0.221639,-0.390539,0.086385,-0.341749,5.877988
L26,0.000000,0.000000,0.029632,0.000000,-0.090435,0.000000,0.000000,0.022306,0.000000,-0.030537,0.000000,0.029632,0.000000,-0.194425,0.022306,0.000000,0.000000,-0.030537,0.000000,0.000000,0.029632,0.058411,0.029632,0.000000,0.000000,0.058411,0.000000,0.029632,0.029632,0.093257,0.120286,-0.066043,0.159507,-0.030537,-0.030537,0.029632,0.159507,0.058411,0.172246,-0.477551,0.126931,-0.379490,11.993026
L27,0.000000,-0.030537,0.000000,0.000000,-0.086328,0.000000,0.000000,0.029632,0.058411,0.000000,0.000000,-0.030537,0.000000,0.744440,0.000000,0.000000,0.029632,0.000000,0.000000,0.029632,0.000000,0.029632,-0.030537,0.029632,-0.030537,0.000000,-0.030537,0.000000,0.000000,0.000000,0.029632,0.029632,0.093257,0.029632,0.029632,-0.022815,0.065478,-0.030537,0.227645,-0.693147,0.146603,-0.226910,3.913676
L28,0.000000,0.000000,0.000000,0.029632,-0.119665,0.029632,0.000000,0.000000,0.029632,0.022306,0.000000,0.000000,-0.030537,-0.007547,0.000000,0.000000,0.000000,0.000000,0.000000,0.022306,0.000000,0.000000,0.000000,0.000000,0.029632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030537,-0.058043,0.058411,-0.094559,0.029632,-0.119665,0.029632,0.233615,-0.641854,0.093257,-0.241162,10.441362
L29,0.000000,-0.094559,-0.058043,-0.062035,-0.062035,0.029632,0.029632,0.000000,0.029632,0.029632,0.000000,0.029632,0.022306,0.000000,0.000000,0.000000,0.000000,0.029632,0.029632,0.058411,0.029632,0.029632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029632,0.029632,0.000000,0.029632,0.058411,0.029632,0.029632,0.029632,-0.058043,0.029632,0.120286,-0.627669,0.093257,0.000000,7.129520
L30,0.036905,0.036905,0.000000,0.000000,-0.094559,0.000000,0.000000,0.000000,0.000000,0.029632,0.029632,0.029632,0.029632,0.000000,0.029632,0.000000,0.000000,0.000000,0.029632,0.058411,0.029632,0.000000,0.029632,0.029632,0.029632,0.029632,0.029632,0.029632,0.029632,0.029632,0.029632,0.029632,0.029632,0.000000,0.000000,0.029632,0.022306,0.029632,-0.030537,-0.310497,0.058411,0.000000,11.642432
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.270142
