layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Generate,7: a,8: concise,9: patient,10: summary,11: for,12: asthma,13:.,"14:
",15:State,16: demographic,17: details,18: first,19: and,20: then,21: important,22: prior,23: medical,24: conditions,25:.,26: Begin,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L13,-0.005195,-0.064193,-0.379888,-0.069733,-0.126892,0.121805,-0.069733,-0.064193,-0.313930,0.000000,-0.571342,0.305654,-0.132791,-0.265478,-0.005195,-0.126892,-0.575940,-0.193786,0.372099,-0.379888,-0.064193,-0.005195,-0.005195,-0.064193,0.060320,-0.193786,-0.005195,-0.187516,-0.005195,0.623414,-0.820038,-0.446449,-0.069733,0.130937,0.126381,0.121805,-0.126892,-0.064193,-0.187516,-0.387493,-0.513419,0.486703
L14,-0.005195,0.060320,-0.064193,-0.005195,0.184047,-0.379888,-0.379888,-0.064193,-0.509100,-0.258744,-0.252055,-0.442408,-1.766181,-0.265478,-0.442408,-0.064193,0.000000,0.060320,0.121805,-0.126892,-0.064193,-0.005195,0.060320,-0.005195,0.184047,-0.442408,-0.252055,-0.321048,-0.442408,0.188348,-0.874433,-0.642631,-0.005195,0.060320,-0.126892,0.000000,-0.005195,-0.126892,-0.126892,-0.132791,-0.064193,-0.837843
L15,0.000000,0.060320,-0.005195,-0.064193,0.000000,-0.193786,0.000000,-0.064193,-0.064193,0.305654,-0.258744,-0.193786,-0.571342,-0.328216,-0.193786,-0.064193,-0.446449,-0.193786,0.246698,-0.126892,-0.193786,-0.064193,-0.005195,-0.005195,0.060320,-0.313930,-0.193786,0.000000,-0.005195,-0.258744,0.121805,0.372099,0.188348,0.313259,-0.193786,0.184047,0.000000,-0.064193,-0.058683,-0.064193,0.945900,1.692902
L16,-0.126892,-0.252055,-0.064193,-0.064193,-0.064193,-0.126892,0.055430,-0.005195,-0.126892,0.188348,0.184047,0.188348,-0.938557,-0.566765,0.060320,-0.313930,0.000000,-0.126892,0.065186,0.126381,-0.064193,-0.064193,-0.126892,0.000000,0.000000,-0.064193,-0.126892,0.000000,-0.258744,-0.132791,-0.258744,-0.064193,-0.321048,-0.442408,0.121805,0.246698,0.065186,0.060320,-0.252055,0.060320,0.499361,0.753467
L17,-0.064193,-0.064193,-0.126892,-0.005195,0.060320,0.060320,-0.126892,-0.064193,-0.064193,0.434403,0.121805,-0.005195,0.554421,-0.265478,0.000000,0.055430,0.441092,0.313259,0.126381,0.065186,-0.064193,0.121805,0.060320,0.246698,0.184047,0.060320,0.121805,0.188348,0.060320,0.188348,0.505631,-0.132791,-0.005195,0.121805,0.060320,0.060320,0.000000,0.000000,0.060320,-0.321048,1.135905,1.387589
L18,0.000000,0.055430,0.060320,-0.064193,0.000000,0.121805,-0.005195,-0.064193,0.117207,0.372099,0.434403,-0.566765,12.133945,0.937819,0.313259,0.126381,0.879347,0.188348,0.505631,0.566255,0.246698,0.060320,0.184047,0.060320,0.121805,-0.442408,-0.126892,0.000000,0.372099,0.738725,7.016786,0.238568,0.499361,0.379217,-0.193786,0.000000,0.060320,-0.126892,-0.005195,0.499361,1.752124,0.937819
L19,-0.187516,-0.064193,-0.064193,-0.064193,-0.005195,-0.005195,-0.064193,0.000000,-0.193786,0.121805,0.065186,-0.132791,-1.273705,-0.580559,0.055430,-0.126892,-0.069733,-0.064193,0.060320,0.060320,0.188348,-0.064193,0.184047,0.000000,0.126381,-0.069733,0.000000,-0.064193,-0.321048,-0.138726,0.677481,0.126381,0.628954,0.188348,-0.442408,-0.005195,0.000000,-0.005195,0.055430,0.560356,0.065186,-0.252055
L20,-0.064193,-0.126892,-0.005195,-0.064193,0.121805,-0.193786,0.060320,-0.064193,-0.126892,0.246698,-0.005195,-0.064193,-1.707341,-1.330864,-0.064193,0.121805,0.121805,0.060320,0.060320,0.060320,0.060320,-0.064193,0.121805,0.065186,-0.126892,0.126381,-0.126892,-0.064193,0.055430,0.060320,-1.350666,-0.069733,0.000000,-0.187516,0.126381,-0.005195,0.060320,0.126381,0.379217,0.313259,-0.138726,1.642060
L21,-0.126892,0.000000,-0.064193,-0.064193,-0.132791,-0.005195,-0.064193,0.060320,-0.126892,0.184047,0.000000,0.250738,5.076242,1.129227,0.250738,0.060320,0.121805,0.121805,0.499361,0.313259,0.060320,-0.005195,-0.126892,0.060320,0.060320,0.184047,-0.187516,-0.064193,0.372099,0.246698,2.437605,0.060320,0.000000,-0.064193,-0.187516,0.000000,0.000000,-0.252055,-0.252055,-0.442408,1.260872,2.986623
L22,-0.064193,0.060320,-0.064193,-0.126892,0.060320,0.000000,0.000000,-0.064193,-0.126892,-0.566765,-0.187516,-0.193786,-2.777778,-1.525019,-0.193786,0.000000,-0.252055,-0.126892,-0.132791,-0.132791,-0.064193,-0.064193,-0.005195,-0.126892,-0.126892,-0.005195,0.000000,-0.005195,-0.126892,-0.504799,-0.698342,0.121805,-0.193786,-0.252055,-0.064193,0.000000,0.000000,-0.252055,0.188348,-0.313930,0.238568,0.617843
L23,-0.064193,-0.064193,-0.064193,0.000000,-0.126892,0.060320,-0.064193,0.000000,0.121805,-0.252055,0.184047,0.246698,-3.065458,-0.945202,-0.187516,0.000000,0.060320,-0.064193,-0.064193,-0.064193,0.060320,0.000000,-0.064193,-0.005195,-0.005195,-0.064193,0.060320,-0.126892,-0.252055,-1.007077,-1.330864,0.623414,-0.252055,-0.064193,0.000000,-0.064193,0.000000,0.000000,0.065186,-0.313930,-0.206444,0.171032
L24,0.055430,0.000000,0.000000,0.000000,-0.005195,0.682730,0.000000,0.121805,-0.064193,0.121805,-0.005195,-0.126892,0.623414,-0.005195,-0.064193,-0.064193,0.121805,0.000000,0.000000,0.060320,0.000000,0.060320,0.060320,0.060320,-0.064193,0.000000,0.000000,-0.064193,0.121805,0.246698,0.693147,0.372099,0.188348,0.000000,-0.064193,0.121805,0.000000,0.126381,-0.058683,0.065186,0.623414,3.486408
L25,-0.005195,-0.005195,0.000000,0.121805,-0.064193,0.060320,0.000000,0.000000,0.060320,0.184047,-0.064193,-0.005195,2.507533,0.748577,0.126381,-0.064193,0.121805,0.121805,0.060320,0.121805,0.060320,-0.005195,0.060320,0.060320,-0.064193,0.000000,0.060320,0.060320,0.121805,0.126381,0.879347,0.305654,0.121805,0.060320,0.184047,0.000000,0.121805,0.065186,0.188348,0.246698,-0.086540,3.906932
L26,0.121805,0.060320,0.000000,0.000000,0.000000,0.060320,0.121805,0.060320,-0.005195,-0.064193,-0.005195,0.121805,-1.103806,-0.069733,0.060320,0.060320,-0.064193,0.060320,-0.005195,0.060320,0.000000,0.060320,0.060320,0.060320,0.060320,0.060320,0.060320,-0.005195,-0.064193,-0.126892,-0.132791,0.184047,0.000000,-0.005195,0.060320,0.060320,0.000000,0.065186,-0.121027,0.060320,-0.069733,11.440803
L27,0.060320,0.060320,0.060320,0.060320,0.121805,0.060320,0.060320,0.060320,0.060320,0.060320,0.060320,-0.005195,0.000000,0.060320,0.060320,0.060320,-0.064193,-0.005195,0.060320,0.060320,0.060320,0.000000,0.060320,0.060320,0.060320,0.060320,0.060320,-0.064193,0.060320,-0.064193,0.179727,0.184047,0.000000,0.060320,0.060320,0.060320,0.060320,0.121805,-0.372341,0.184047,-0.005195,6.153911
L28,-0.005195,-0.005195,-0.005195,0.060320,-0.005195,0.060320,-0.005195,0.000000,-0.005195,-0.005195,-0.005195,0.060320,0.060320,0.000000,-0.005195,-0.005195,0.060320,0.060320,0.000000,0.060320,-0.005195,0.060320,-0.005195,0.000000,0.060320,-0.005195,0.060320,0.060320,0.060320,-0.126892,-0.069733,0.060320,-0.005195,0.000000,0.060320,-0.005195,0.060320,0.126381,-0.751830,0.117207,-0.064193,7.304244
L29,0.000000,-0.005195,0.000000,0.060320,-0.064193,0.060320,-0.005195,-0.005195,-0.005195,0.000000,-0.005195,0.000000,0.060320,0.060320,-0.005195,0.060320,0.000000,-0.005195,0.000000,0.000000,0.000000,0.000000,0.000000,0.060320,0.000000,0.000000,0.060320,0.060320,0.060320,0.060320,0.000000,0.060320,0.060320,-0.005195,0.060320,0.060320,0.060320,0.060320,-0.434376,0.121805,0.121805,9.522848
L30,0.184047,0.060320,0.000000,0.060320,-0.064193,0.000000,0.060320,0.060320,0.060320,0.060320,0.060320,0.000000,0.000000,0.060320,-0.005195,0.000000,0.060320,0.060320,0.000000,0.060320,0.060320,0.000000,0.000000,0.000000,0.000000,0.060320,0.060320,0.060320,0.000000,0.060320,0.060320,0.060320,0.060320,0.060320,-0.005195,-0.005195,0.060320,0.060320,-0.187516,0.060320,0.000000,10.164994
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.633178
