layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Clinical,7: task,8::,9: summarize,10: a,11: case,12: of,13: depression,14:.,"15:
",16:Report,17: demographic,18: and,19: pertinent,20: prior,21: medical,22: history,23: in,24: concise,25: form,26:.,27: First,28: characters,29: must,30: be,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L11,-0.006192,-0.006192,0.110901,-0.006192,0.225610,0.082888,0.121890,0.024391,0.059898,-0.076961,-0.037740,0.042302,0.138150,0.503391,0.099789,0.024391,-0.037740,0.324050,0.116410,0.000000,0.006154,0.059898,0.121890,0.138150,0.030397,-0.050644,-0.006192,0.143512,-0.472476,0.012270,0.065695,-0.308473,0.185403,1.906337,0.054067,-0.212399,-0.523248,0.048202,0.082888,0.121890,-0.097164,0.000000,0.030397,0.175094,-0.243409
L12,0.024391,0.059898,0.180262,-0.063716,0.094187,-0.174941,0.024391,0.024391,0.180262,0.048202,0.071459,0.012270,0.082888,0.148846,-0.018692,0.030397,0.071459,0.245122,0.205708,0.094187,0.121890,0.054067,0.059898,0.180262,0.024391,0.210721,0.012270,-0.131769,-0.083650,0.143512,0.240280,0.324050,0.510826,0.346126,0.397201,0.048202,0.268990,0.350483,0.054067,-0.018692,0.105361,0.310566,0.857824,-0.037740,-0.750306
L13,0.121890,0.116410,0.006154,0.024391,0.065695,0.042302,-0.031351,0.024391,0.154151,0.071459,-0.006192,0.006154,-0.227784,0.159428,-0.167615,-0.070316,0.132759,0.273696,-0.097164,0.000000,0.059898,0.082888,0.105361,0.054067,-0.031351,-0.255291,-0.160343,0.240280,-0.189757,-0.012423,0.105361,1.181500,-0.025001,0.753045,0.287682,0.077190,-0.018692,0.105361,-0.012423,0.024391,0.143512,0.132759,-0.006192,0.259511,0.018349
L14,0.082888,0.121890,-0.006192,0.059898,0.180262,-0.138836,-0.050644,0.000000,0.105361,0.099789,0.000000,-0.006192,0.054067,0.012270,0.059898,-0.063716,-0.006192,-0.006192,0.105361,-0.025001,0.059898,0.110901,0.306031,0.082888,0.116410,0.000000,0.024391,0.363442,-0.212399,0.094187,0.042302,-0.565808,-0.160343,-0.756863,-0.182322,-0.012423,0.473085,0.254738,0.143512,-0.006192,-0.090384,-0.197247,0.030397,-0.482426,0.561378
L15,0.071459,0.054067,0.071459,0.071459,0.036368,0.154151,0.059898,0.116410,0.042302,0.024391,-0.097164,-0.097164,-0.160343,-0.138836,0.154151,0.000000,0.059898,0.259511,0.000000,0.054067,0.082888,0.082888,0.127339,0.180262,0.059898,-0.018692,-0.070316,0.205708,0.292301,0.006154,0.030397,0.077190,-0.063716,-0.189757,0.245122,0.164677,-0.145954,0.200671,0.230524,0.024391,0.094187,-0.044171,0.054067,0.077190,-0.693147
L16,0.099789,0.018349,0.042302,0.059898,0.132759,0.059898,0.071459,0.180262,0.121890,0.121890,0.154151,-0.097164,0.048202,0.319575,-0.037740,0.006154,0.071459,0.245122,0.059898,0.121890,0.105361,0.094187,0.138150,0.088553,0.154151,0.082888,0.059898,-0.018692,-0.347021,-0.037740,-0.131769,-0.271355,0.000000,-0.487439,0.259511,-0.050644,0.088553,-0.083650,0.132759,0.154151,0.225610,-0.117783,0.401341,0.292301,0.723545
L17,0.148846,0.121890,-0.037740,0.082888,0.148846,0.088553,0.148846,0.082888,0.030397,0.225610,0.054067,0.082888,0.240280,0.259511,0.268990,0.094187,-0.006192,0.094187,-0.025001,0.048202,0.148846,0.059898,0.225610,0.024391,0.024391,0.000000,-0.070316,-0.070316,-0.360208,-0.090384,-0.189757,-0.304280,0.220671,0.465363,0.278380,0.148846,0.225610,0.059898,0.094187,0.030397,0.018349,-0.012423,0.132759,-0.239480,0.540025
L18,0.006154,0.024391,0.054067,0.121890,0.121890,-0.018692,0.264262,0.278380,0.121890,0.116410,-0.097164,0.648976,0.195607,3.088233,0.292301,0.116410,0.215709,0.575364,0.148846,0.215709,0.292301,0.105361,0.648976,0.185403,0.116410,0.245122,0.283042,-0.018692,-0.103990,-0.070316,0.264262,0.059898,0.278380,9.879206,-0.160343,0.054067,-0.097164,0.195607,0.148846,0.042302,0.195607,-0.243409,0.054067,0.110901,-0.497540
L19,0.099789,0.065695,0.024391,0.059898,0.235414,0.077190,0.024391,-0.031351,-0.012423,0.077190,0.059898,-0.197247,-0.070316,-0.167615,0.105361,0.099789,-0.012423,-0.044171,-0.103990,0.088553,0.148846,0.121890,0.059898,-0.037740,0.105361,0.116410,-0.124752,0.024391,-0.405465,0.054067,-0.012423,-0.083650,0.154151,0.143512,0.235414,-0.063716,-0.153122,-0.006192,0.346126,0.094187,0.159428,0.048202,0.048202,-0.167615,0.668146
L20,0.030397,0.024391,-0.006192,0.042302,0.240280,-0.018692,0.059898,0.030397,0.030397,0.164677,0.088553,-0.131769,0.030397,0.205708,0.169899,0.071459,0.082888,-0.006192,-0.063716,0.071459,0.000000,0.024391,0.077190,0.018349,0.116410,0.059898,-0.070316,0.116410,-0.419451,0.059898,0.059898,-0.138836,0.000000,-0.153122,0.388867,-0.076961,-0.428885,-0.174941,0.185403,0.000000,0.254738,0.278380,-0.124752,-0.283575,1.764646
L21,0.042302,0.059898,0.024391,-0.031351,0.024391,0.012270,0.148846,0.030397,0.059898,0.094187,0.121890,0.480748,0.259511,1.275432,0.077190,0.030397,0.088553,0.230524,0.088553,0.099789,0.006154,0.030397,0.306031,0.121890,0.121890,0.094187,0.215709,0.024391,-0.197247,0.059898,0.006154,0.000000,0.094187,1.619266,0.159428,0.164677,0.077190,-0.037740,0.042302,0.059898,0.164677,-0.083650,-0.295947,0.121890,3.218876
L22,0.000000,0.148846,-0.097164,0.030397,0.059898,0.116410,-0.012423,0.030397,0.030397,0.148846,-0.006192,0.024391,-0.025001,0.245122,-0.097164,0.030397,0.059898,0.215709,0.059898,0.071459,0.024391,0.024391,0.000000,0.036368,0.030397,0.006154,0.030397,0.054067,-0.342664,0.030397,0.024391,0.024391,0.148846,-0.610259,0.127339,-0.018692,0.059898,0.024391,0.132759,0.006154,0.059898,-0.006192,-0.018692,0.024391,0.655407
L23,0.059898,0.059898,0.071459,0.059898,0.000000,0.042302,0.000000,-0.006192,0.059898,0.030397,0.082888,0.030397,0.048202,-0.304280,-0.057158,-0.070316,-0.031351,0.059898,0.000000,0.030397,0.000000,0.030397,0.054067,0.000000,0.071459,0.030397,0.000000,0.024391,-0.063716,-0.006192,-0.006192,0.006154,-0.197247,-0.025001,-0.050644,-0.070316,-0.031351,0.006154,0.042302,0.030397,0.175094,0.121890,-0.300105,-0.025001,1.837999
L24,0.042302,0.036368,0.000000,0.000000,0.059898,0.315081,0.059898,0.030397,0.030397,0.000000,-0.031351,0.059898,0.094187,0.655407,0.030397,0.036368,0.082888,0.105361,0.059898,-0.031351,0.030397,0.116410,0.105361,0.030397,0.105361,0.000000,0.094187,0.000000,0.116410,0.116410,0.036368,0.099789,0.088553,0.138150,0.148846,0.042302,0.000000,0.000000,0.121890,0.132759,0.210721,0.059898,0.000000,-0.037740,3.136567
L25,0.024391,-0.006192,-0.063716,0.030397,0.054067,0.071459,0.030397,0.071459,0.012270,-0.063716,0.030397,-0.063716,0.082888,0.820487,0.088553,0.000000,0.042302,0.054067,0.000000,0.000000,0.116410,0.000000,0.082888,0.116410,-0.031351,0.105361,0.000000,0.077190,0.030397,0.148846,0.116410,0.059898,-0.006192,-0.076961,-0.153122,0.059898,0.030397,0.059898,0.148846,0.148846,0.169899,0.121890,0.006154,-0.204794,2.245427
L26,0.148846,0.148846,0.030397,0.082888,0.030397,0.105361,-0.070316,0.054067,0.071459,0.082888,0.082888,0.059898,0.116410,0.018349,0.018349,0.054067,0.082888,0.082888,0.059898,0.116410,0.105361,0.082888,0.116410,0.082888,0.105361,0.088553,0.138150,0.071459,0.116410,0.116410,0.116410,0.180262,0.094187,0.054067,0.190518,0.116410,0.082888,0.094187,0.116410,0.082888,0.259511,0.245122,0.180262,-0.174941,10.372238
L27,0.116410,0.030397,0.030397,0.000000,0.024391,0.000000,0.000000,-0.031351,0.071459,0.116410,0.105361,0.138150,0.030397,0.127339,0.000000,0.138150,0.105361,-0.025001,0.000000,0.116410,0.116410,0.116410,0.082888,0.000000,0.082888,0.116410,0.082888,0.082888,0.000000,0.116410,0.116410,0.000000,0.030397,0.082888,0.036368,0.116410,0.116410,0.082888,0.071459,0.059898,0.332939,0.127339,0.148846,-0.063716,4.736090
L28,0.000000,0.000000,0.116410,-0.031351,0.000000,0.116410,0.116410,0.030397,0.000000,0.082888,0.000000,0.000000,0.116410,0.116410,0.000000,0.116410,0.006154,0.006154,0.042302,0.042302,0.105361,0.000000,0.116410,0.000000,0.105361,0.116410,0.116410,0.000000,0.000000,0.006154,0.116410,0.000000,0.006154,0.116410,-0.006192,0.148846,0.000000,0.006154,0.116410,0.082888,0.306031,-0.189757,0.094187,-0.006192,6.425349
L29,0.116410,0.116410,0.116410,0.006154,0.059898,0.116410,0.000000,0.105361,0.000000,-0.031351,0.000000,0.000000,0.000000,0.006154,0.000000,0.000000,0.000000,0.082888,-0.031351,0.000000,0.116410,0.000000,0.006154,0.082888,0.116410,-0.031351,0.116410,0.000000,0.000000,0.000000,0.000000,0.082888,0.000000,0.116410,0.000000,0.000000,0.006154,0.116410,0.006154,0.116410,0.180262,-0.378066,0.116410,0.065695,4.558286
L30,0.148846,0.159428,-0.031351,0.000000,0.030397,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031351,0.000000,0.000000,-0.031351,0.000000,-0.031351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031351,0.000000,0.000000,0.000000,-0.031351,0.000000,-0.031351,0.000000,0.000000,0.000000,0.000000,0.000000,0.059898,-0.189757,0.030397,0.054067,10.109566
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.940853
