layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:You,7: are,8: a,9: helpful,10: clinical,11: assistant,12: for,13: inpatient,14: documentati,15:.,16: Condition,17::,18: sarc,19:oid,20:osis,21:.,"22:
",23:Create,24: a,25: concise,26: patient,27: summary,28: emphasizing,29: demographic,30: and,31: PM,32:H,33:.,34: Start,35: with,36::,"37: """,38:Gender,39::,"40: ""","41:
",42:<,43:|,44:ass,45:istant,46:|>,"47:
",48:Gender,49::
L11,0.064538,0.000000,0.125163,-0.120286,0.252055,-0.061875,0.312375,-0.186329,-0.120286,0.064538,-0.061875,0.440403,-0.248461,-0.127833,0.000000,-0.127833,-0.435924,0.000000,0.565314,2.442926,3.946875,-0.061875,-0.061875,-0.061875,0.064538,0.064538,0.125163,-0.248461,0.006645,0.064538,0.000000,-0.120286,0.193371,-0.120286,0.000000,0.000000,0.000000,0.125163,1.630546,-0.127833,0.187862,-0.310155,0.125163,-0.061875,-0.061875,0.000000,0.000000,0.000000,0.751416,0.751416
L12,-0.061875,0.064538,-0.061875,0.125163,0.000000,-0.186329,0.000000,0.064538,-0.061875,-0.120286,0.064538,-0.061875,0.131028,0.000000,0.064538,-0.061875,0.000000,-0.248461,0.125163,0.317241,-0.375906,0.000000,0.064538,0.187862,0.000000,-0.061875,-0.375906,0.187862,0.252055,0.317241,0.064538,0.006645,0.187862,0.000000,0.000000,-0.061875,0.064538,-0.127833,1.757857,0.624154,-0.127833,0.252055,0.000000,0.000000,-0.061875,0.000000,0.000000,0.506817,0.506817,0.751416
L13,0.064538,0.000000,-0.186329,-0.061875,0.000000,0.064538,0.252055,0.064538,0.064538,0.131028,-0.127833,-0.190354,-0.120286,0.064538,0.187862,0.187862,-0.248461,-0.127833,0.187862,-0.120286,-0.061875,-0.061875,0.000000,0.064538,-0.120286,-0.120286,0.187862,0.131028,0.000000,0.064538,0.252055,-0.120286,0.444686,0.187862,-0.061875,-0.248461,0.000000,0.312375,-0.933097,0.373860,0.000000,0.000000,0.064538,-0.120286,-0.061875,-0.120286,-0.061875,-0.314711,0.119263,0.565314
L14,0.000000,0.064538,-0.061875,0.125163,0.064538,-0.248461,0.064538,-0.061875,0.064538,-0.120286,0.000000,0.000000,-0.061875,-0.186329,0.187862,0.000000,0.064538,-0.120286,-0.120286,-0.248461,-0.375906,-0.061875,0.000000,0.064538,0.000000,-0.120286,0.317241,0.187862,0.187862,-0.120286,0.000000,0.000000,0.064538,0.187862,0.000000,-0.120286,-0.252744,-0.061875,-0.371063,0.119263,0.125163,-0.435924,0.064538,-0.061875,-0.061875,-0.061875,-0.248461,-0.562119,0.252055,-0.499775
L15,-0.061875,-0.120286,-0.061875,0.064538,0.006645,0.006645,-0.061875,0.064538,0.064538,0.064538,0.000000,0.064538,0.000000,-0.127833,0.000000,0.058269,-0.562119,0.064538,-0.375906,0.502793,0.378436,0.064538,-0.061875,0.006645,0.000000,-0.061875,-0.252744,0.064538,0.064538,-0.248461,-0.120286,-0.061875,-0.186329,0.064538,-0.120286,0.000000,-0.120286,-0.499775,0.502793,0.317241,-0.061875,-0.120286,0.064538,0.125163,-0.061875,-0.127833,-0.120286,-0.499775,0.565314,0.818310
L16,-0.061875,0.064538,-0.061875,0.064538,0.064538,0.064538,0.064538,0.006645,0.000000,0.064538,-0.120286,-0.120286,0.000000,-0.120286,0.064538,0.125163,-0.248461,-0.435924,0.125163,-0.499775,0.624154,0.064538,0.000000,-0.061875,0.000000,-0.120286,-0.120286,-0.252744,0.000000,-0.186329,0.000000,-0.061875,0.131028,-0.120286,0.000000,-0.061875,0.000000,0.000000,-0.244197,0.187862,-0.430783,-0.061875,0.058269,0.064538,0.000000,-0.120286,0.006645,-0.499775,-0.622378,-0.950191
L17,-0.061875,0.064538,0.064538,-0.061875,0.064538,0.064538,-0.061875,0.000000,-0.061875,0.000000,0.064538,0.000000,0.000000,-0.120286,0.000000,0.000000,-0.127833,-0.061875,0.187862,0.064538,0.064538,-0.061875,-0.120286,0.064538,-0.120286,-0.061875,0.378436,-0.061875,0.000000,0.064538,-0.061875,0.000000,0.125163,0.131028,0.000000,-0.061875,0.064538,-0.248461,0.757685,0.187862,0.000000,-0.248461,-0.061875,0.006645,-0.061875,-0.061875,-0.061875,-0.257045,0.624154,0.572861
L18,0.064538,0.064538,-0.061875,0.064538,-0.061875,0.187862,-0.061875,0.125163,0.000000,0.000000,0.187862,2.129817,0.006645,1.067007,0.818310,0.000000,-0.061875,0.000000,2.945841,12.584011,6.517434,1.317301,0.440403,0.064538,0.440403,0.000000,3.072075,0.378436,-0.061875,1.129249,0.378436,0.565314,1.005522,0.252055,0.125163,0.502793,0.757685,0.875468,8.883218,0.881009,0.436102,0.125163,-0.061875,0.125163,0.125163,-0.127833,-0.061875,0.058269,3.436564,-0.933097
L19,-0.061875,-0.061875,0.000000,-0.061875,-0.120286,-0.054808,-0.061875,-0.061875,0.000000,0.064538,0.064538,0.187862,0.000000,0.125163,0.193371,0.000000,0.252055,-0.061875,-0.435924,0.000000,-0.813433,-0.061875,-0.120286,-0.061875,-0.186329,0.000000,-0.686502,0.064538,-0.120286,0.187862,-0.061875,0.000000,0.252055,0.252055,0.125163,0.000000,0.064538,-0.562119,-0.186329,-0.371063,-0.310155,0.000000,-0.248461,-0.054808,-0.061875,-0.061875,-0.127833,0.312375,0.382992,0.373860
L20,-0.120286,-0.186329,0.064538,0.064538,0.006645,-0.186329,-0.061875,0.000000,0.000000,0.000000,0.000000,-0.441092,0.000000,-0.120286,-0.252744,0.000000,-0.186329,0.000000,-0.314711,-0.933097,-1.321754,-0.186329,0.000000,0.064538,-0.120286,-0.061875,-0.628608,-0.186329,-0.061875,-0.127833,0.000000,-0.061875,-0.120286,0.378436,-0.061875,0.125163,-0.061875,-0.127833,-1.181993,0.006645,-0.310155,-0.127833,-0.061875,0.000000,-0.061875,0.000000,0.252055,-0.190354,-1.059391,4.386516
L21,0.064538,-0.061875,0.000000,0.000000,-0.061875,0.006645,-0.127833,0.125163,-0.061875,0.125163,-0.061875,0.818310,0.000000,0.686458,0.187862,0.064538,-0.186329,0.125163,0.940007,2.505798,3.201661,0.378436,0.064538,-0.120286,0.187862,0.000000,0.818310,0.125163,0.000000,0.440403,-0.120286,-0.120286,-0.061875,-0.061875,-0.120286,0.125163,0.187862,0.693147,2.888147,0.565314,0.565314,0.317241,-0.120286,-0.120286,0.000000,-0.248461,-0.190354,-0.375906,0.444686,6.507297
L22,-0.061875,-0.061875,0.000000,0.064538,-0.120286,0.064538,-0.120286,-0.120286,-0.120286,0.000000,-0.186329,-0.813433,0.000000,-0.314711,-0.248461,-0.127833,-0.186329,0.006645,-0.562119,-1.441101,-2.238042,-0.310155,0.064538,0.064538,-0.061875,0.000000,-0.933097,-0.186329,0.064538,-0.435924,-0.186329,-0.061875,-0.120286,-0.120286,-0.061875,0.000000,-0.120286,-0.562119,-1.181993,-0.061875,-0.120286,-0.310155,-0.186329,-0.061875,-0.120286,-0.127833,0.125163,-0.186329,-0.813433,1.076139
L23,-0.120286,0.000000,0.064538,0.000000,-0.061875,0.000000,-0.061875,-0.061875,0.125163,0.000000,0.000000,-0.628608,0.000000,-0.435924,0.000000,0.064538,-0.120286,-0.248461,-0.622378,-2.612733,-2.371573,-0.248461,-0.061875,0.000000,-0.120286,0.000000,-1.129070,-0.120286,0.064538,-0.120286,-0.127833,0.000000,0.000000,-0.120286,0.000000,-0.120286,-0.120286,-0.628608,-1.441101,0.131028,-0.120286,-0.120286,-0.061875,0.000000,0.064538,-0.061875,0.000000,-0.435924,-0.499775,-0.556288
L24,0.064538,0.064538,0.064538,0.000000,0.000000,0.193371,-0.061875,0.000000,0.058269,0.064538,0.000000,0.064538,0.000000,-0.186329,-0.186329,0.000000,0.000000,0.064538,0.000000,0.125163,0.624154,-0.061875,0.064538,0.006645,0.000000,-0.061875,-0.120286,-0.061875,0.000000,0.064538,0.000000,-0.061875,-0.120286,0.000000,0.000000,-0.061875,0.000000,0.187862,0.881009,0.378436,0.064538,0.064538,-0.061875,0.064538,-0.061875,0.064538,-0.120286,-0.248461,0.000000,4.250208
L25,0.000000,0.064538,0.000000,-0.061875,0.000000,0.064538,-0.061875,0.064538,-0.061875,0.000000,0.064538,0.312375,0.000000,-0.182321,0.064538,0.000000,0.000000,-0.186329,0.000000,0.502793,1.067007,0.064538,0.000000,0.000000,0.000000,0.000000,0.064538,0.000000,0.064538,0.064538,0.064538,0.000000,0.000000,0.125163,0.064538,-0.061875,0.000000,0.378436,0.693147,0.502793,0.125163,0.064538,0.000000,0.064538,-0.061875,0.000000,0.000000,0.125163,-0.883500,1.576914
L26,-0.061875,-0.120286,0.064538,-0.061875,-0.061875,-0.061875,-0.061875,0.000000,0.000000,0.000000,-0.061875,-0.182321,0.000000,-0.186329,-0.061875,0.064538,0.000000,0.064538,-0.435924,-1.249434,-0.747955,-0.061875,-0.120286,-0.061875,-0.061875,0.000000,-0.562119,0.000000,-0.120286,-0.061875,-0.061875,-0.061875,-0.061875,-0.061875,0.000000,0.064538,-0.061875,-0.248461,-0.686502,0.064538,-0.061875,-0.061875,-0.061875,0.006645,0.000000,-0.054808,-0.054808,-0.248461,-0.375906,10.100638
L27,-0.061875,-0.061875,0.000000,0.000000,0.064538,0.000000,-0.061875,0.000000,-0.061875,-0.061875,-0.061875,0.064538,-0.061875,-0.120286,-0.061875,0.000000,0.000000,0.000000,-0.248461,0.000000,0.312375,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061875,0.000000,-0.061875,0.000000,0.000000,-0.061875,0.000000,0.000000,0.000000,-0.061875,0.000000,0.064538,0.000000,0.064538,-0.120286,0.000000,-0.061875,0.000000,0.000000,-0.054808,-0.182321,0.187862,-0.186329,4.686934
L28,0.000000,-0.061875,0.064538,0.000000,0.064538,-0.061875,-0.061875,-0.061875,-0.061875,0.000000,0.000000,-0.061875,-0.061875,0.000000,0.000000,-0.061875,0.000000,0.000000,0.064538,0.000000,0.000000,-0.061875,0.000000,-0.061875,0.000000,-0.061875,-0.061875,0.000000,-0.061875,-0.061875,-0.061875,0.000000,0.000000,0.000000,-0.061875,0.000000,-0.061875,-0.061875,0.000000,0.125163,0.000000,-0.061875,0.000000,0.000000,0.000000,0.006645,-0.430783,0.064538,0.000000,6.394147
L29,-0.061875,-0.061875,0.064538,0.000000,0.064538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064538,0.000000,0.000000,0.000000,0.064538,0.000000,0.064538,-0.182321,-0.061875,0.064538,8.489120
L30,0.006645,0.064538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120286,0.000000,0.064538,-0.120286,0.000000,-0.061875,10.261804
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.208173
