layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Output,7: a,8: single,9: chart,10:-,11:style,12: line,13: for,14: asthma,15: using,16: this,17: pattern,18::,19: demographic,20: |,21: PM,22:H,23:.,24: Begin,25: exactly,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L12,-0.081124,-0.006515,0.012903,-0.006515,0.062913,-0.039740,-0.013072,0.000000,0.161542,-0.224764,-0.095308,-0.305143,0.379142,-0.102477,0.068992,0.122101,0.104709,-0.095308,-0.192762,-0.146601,0.050643,0.012903,0.144828,0.261361,-0.102477,-0.053345,-0.139110,-0.253631,-0.154148,0.276249,0.460209,-0.204643,0.210068,-0.224764,0.006472,0.012903,-0.026317,-0.067138,0.523722,-0.067138,-0.760266
L13,-0.026317,0.006472,-0.074107,0.025642,0.000000,-0.053345,0.019293,-0.074107,0.220539,-0.088191,-0.074107,0.161542,0.167051,-0.060218,0.161542,-0.131675,-0.124295,0.116337,0.019293,0.387992,0.699610,-0.026317,-0.382984,0.104709,0.044451,-0.026317,-0.124295,0.183400,-0.033006,0.019293,0.230902,0.081040,0.370213,-0.300748,-0.026317,0.006472,0.019293,-0.046519,0.087010,-0.220707,0.062913
L14,0.038221,-0.013072,-0.019672,-0.060218,-0.081124,-0.039740,-0.088191,-0.249456,0.006472,-0.196706,-0.060218,0.031951,-0.067138,0.236043,-0.039740,0.044451,0.012903,-0.109697,-0.074107,-0.081124,0.431101,-0.102477,-0.060218,-0.177137,0.025642,0.031951,-0.039740,0.210068,-0.154148,-0.116969,-0.039740,0.019293,-0.046519,0.006472,0.019293,-0.013072,-0.039740,0.092944,0.000000,-0.204643,-0.228837
L15,-0.033006,0.000000,0.012903,0.006472,0.098844,0.019293,0.062913,-0.039740,0.044451,-0.046519,0.006472,-0.493646,0.338321,-0.139110,0.019293,-0.095308,-0.088191,0.044451,-0.196706,0.087010,0.038221,-0.013072,-0.322921,0.056797,0.056797,-0.046519,0.025642,0.177980,0.044451,0.156002,0.044451,0.038221,0.194153,0.056797,0.006472,-0.033006,0.068992,-0.169415,0.194153,-0.177137,0.924042
L16,0.000000,-0.039740,0.000000,0.031951,-0.013072,-0.006515,0.031951,-0.053345,0.006472,-0.188832,-0.039740,-0.220707,0.374688,-0.431773,-0.019672,-0.046519,-0.046519,-0.139110,0.116337,0.484501,0.356669,0.068992,-0.241157,-0.345597,0.220539,-0.109697,0.006472,0.075034,-0.232927,0.038221,-0.300748,0.266348,0.246247,-0.095308,0.012903,-0.013072,0.012903,-1.386239,0.422627,0.464299,0.374688
L17,0.019293,0.012903,-0.013072,-0.026317,0.012903,-0.026317,-0.006515,-0.006515,-0.039740,0.019293,-0.053345,0.225734,0.019293,-0.237033,0.006472,-0.124295,-0.088191,-0.033006,-0.019672,0.144828,-0.109697,-0.046519,-0.341021,-0.313993,-0.019672,-0.039740,0.006472,-0.013072,-0.013072,0.116337,0.116337,-0.095308,-0.019672,-0.212643,0.056797,0.000000,0.062913,0.019293,0.127831,0.204791,0.019293
L18,-0.013072,-0.013072,-0.006515,-0.039740,0.006472,-0.026317,-0.033006,-0.026317,0.012903,0.188791,-0.026317,-0.006515,-0.053345,-0.336465,-0.046519,-0.081124,-0.013072,0.012903,-0.204643,0.333680,0.172531,0.044451,-0.204643,-0.013072,-0.216667,-0.026317,-0.026317,0.075034,-0.146601,0.122101,-0.177137,0.104709,0.210068,-0.116969,0.068992,0.012903,0.177980,0.431101,0.780149,-0.279055,-0.760266
L19,0.000000,-0.006515,-0.013072,0.019293,0.075034,-0.060218,0.000000,0.025642,0.050643,0.199486,0.081040,0.314901,-0.124295,0.012903,-0.116969,-0.279055,-0.039740,0.062913,-0.146601,-0.039740,0.012903,-0.146601,-0.131675,-0.270509,-0.053345,0.019293,0.038221,0.044451,-0.109697,0.019293,-0.102477,0.639793,0.261361,-0.039740,0.075034,0.019293,0.062913,0.031951,0.215317,-0.184919,0.300581
L20,-0.026317,-0.019672,-0.013072,-0.013072,0.006472,0.031951,-0.026317,0.081040,0.038221,0.523722,-0.013072,0.225734,0.305377,0.056797,0.068992,0.000000,-0.026317,0.068992,0.006472,-0.060218,-0.060218,-0.006515,0.006472,-0.154148,-0.088191,-0.060218,-0.019672,0.006472,-0.046519,0.220539,-0.146601,0.150431,0.139195,-0.053345,-0.006515,-0.013072,0.092944,0.087010,-0.067138,-0.270509,1.054345
L21,-0.006515,0.012903,-0.039740,-0.039740,-0.026317,0.025642,-0.046519,-0.019672,0.031951,0.122101,-0.109697,-0.081124,0.150431,0.116337,-0.033006,-0.124295,0.012903,-0.046519,0.050643,0.050643,0.133529,-0.019672,0.006472,-0.200667,0.139195,0.019293,0.000000,-0.013072,0.025642,0.286053,0.092944,0.379142,0.050643,0.161542,0.031951,0.006472,0.104709,0.172531,-0.169415,0.056797,-0.431773
L22,0.000000,-0.013072,-0.006515,-0.013072,0.038221,0.006472,-0.013072,-0.019672,-0.039740,0.127831,-0.006515,0.127831,0.098844,0.075034,0.104709,-0.060218,-0.033006,-0.013072,-0.006515,0.116337,0.019293,-0.081124,-0.046519,-0.081124,-0.067138,-0.046519,-0.026317,-0.026317,0.019293,0.025642,-0.109697,0.167051,-0.019672,0.012903,0.012903,0.000000,0.025642,-0.146601,0.012903,-0.341021,-0.588422
L23,-0.013072,-0.033006,-0.026317,-0.013072,-0.013072,-0.013072,-0.019672,-0.033006,-0.033006,-0.046519,-0.006515,0.012903,-0.116969,0.098844,-0.102477,0.000000,-0.013072,-0.006515,-0.026317,0.031951,-0.102477,-0.053345,0.050643,0.006472,0.012903,0.006472,-0.019672,-0.033006,0.006472,0.133529,-0.026317,0.590660,0.098844,-0.039740,0.050643,-0.019672,0.075034,0.025642,0.068992,0.000000,1.588425
L24,0.006472,0.000000,-0.019672,0.000000,0.000000,-0.095308,0.025642,0.025642,0.000000,-0.013072,-0.013072,-0.006515,0.019293,0.000000,0.025642,0.000000,0.012903,-0.013072,0.025642,0.012903,0.044451,-0.026317,-0.013072,0.012903,0.000000,0.012903,0.025642,0.012903,0.025642,-0.026317,-0.026317,-0.204643,0.019293,-0.019672,0.031951,0.038221,0.144828,-0.102477,0.122101,-0.257824,-0.426785
L25,-0.006515,-0.026317,-0.039740,-0.019672,-0.026317,0.006472,0.006472,-0.019672,-0.013072,-0.019672,0.006472,0.006472,0.104709,0.019293,0.025642,-0.006515,0.000000,-0.006515,-0.019672,-0.006515,0.068992,0.031951,0.000000,0.006472,0.000000,-0.019672,0.000000,0.025642,0.019293,0.012903,-0.161752,-0.053345,-0.019672,-0.026317,-0.006515,0.025642,0.068992,-0.232927,-0.019672,-0.139110,-0.253631
L26,0.019293,0.006472,-0.013072,-0.013072,-0.019672,-0.006515,-0.006515,-0.006515,-0.006515,0.000000,0.006472,-0.006515,0.025642,0.012903,0.050643,0.006472,0.012903,0.019293,0.019293,0.006472,0.050643,0.012903,0.012903,0.019293,0.000000,-0.006515,0.000000,0.050643,0.081040,0.068992,-0.095308,0.172531,-0.019672,-0.026317,0.068992,0.006472,0.110540,-1.704666,-0.116969,0.012903,-1.155349
L27,-0.006515,-0.019672,-0.006515,0.012903,-0.039740,-0.006515,-0.006515,0.000000,-0.006515,0.000000,-0.019672,0.006472,-0.006515,0.006472,-0.013072,-0.006515,0.000000,0.012903,-0.006515,-0.006515,0.012903,-0.013072,-0.006515,-0.026317,-0.006515,0.006472,-0.013072,0.000000,-0.006515,-0.046519,-0.154148,-0.026317,0.012903,-0.006515,-0.019672,-0.013072,0.110540,-1.011569,-0.169415,0.167051,0.329018
L28,0.000000,0.000000,0.006472,0.006472,-0.013072,-0.006515,-0.006515,0.006472,-0.013072,0.000000,0.000000,-0.013072,0.006472,-0.013072,0.006472,-0.006515,-0.006515,0.000000,0.000000,-0.013072,-0.013072,-0.006515,-0.013072,0.000000,-0.006515,0.000000,-0.006515,0.006472,0.006472,-0.088191,-0.154148,0.000000,0.000000,-0.019672,0.000000,-0.006515,0.150431,-1.124891,0.006472,0.038221,0.361205
L29,-0.019672,-0.013072,-0.013072,0.000000,-0.013072,-0.006515,0.000000,-0.013072,0.000000,-0.026317,-0.013072,0.000000,-0.026317,-0.013072,0.012903,0.000000,0.000000,0.000000,-0.006515,0.012903,-0.006515,-0.006515,0.000000,-0.013072,-0.006515,0.000000,0.000000,-0.013072,-0.013072,-0.013072,-0.039740,-0.006515,-0.019672,-0.006515,-0.006515,-0.019672,-0.006515,-1.652485,0.025642,0.050643,0.426873
L30,-0.033006,-0.033006,-0.019672,0.000000,-0.033006,-0.006515,-0.006515,-0.006515,-0.006515,-0.006515,-0.006515,-0.006515,0.000000,-0.013072,0.006472,-0.013072,-0.013072,0.000000,-0.013072,-0.006515,0.006472,-0.006515,0.000000,-0.006515,-0.006515,-0.019672,-0.006515,-0.006515,-0.006515,-0.006515,-0.088191,-0.006515,-0.013072,0.000000,-0.019672,-0.006515,-0.013072,-0.169415,-0.006515,0.044451,0.361205
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.188832
