layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: rheumatoid,18: arthritis,19:.,20: Include,21: demographic,22: first,"23:,",24: then,25: key,26: PM,27:H,28:.,29: Begin,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L12,-0.066375,0.027151,0.000000,-0.066375,0.057923,-0.127000,0.022677,-0.027909,-0.127000,-0.260531,-0.096228,0.062242,0.213927,0.152839,-0.066375,-0.096228,-0.158748,0.402402,0.031605,-0.096228,0.027151,0.066543,0.000000,0.183849,0.022677,0.027151,0.183849,0.070826,0.031605,0.000000,-0.158748,-0.127000,-0.380549,0.278465,0.507149,0.087776,-0.197109,-0.278550,-0.004598,-0.004598,-0.004598,0.000000,-0.061485,0.312598,0.168465,0.780923
L13,-0.066375,-0.004598,-0.032637,-0.032637,0.091968,0.091968,-0.032637,-0.032637,0.027151,-0.066375,-0.032637,0.027151,0.031605,-0.066375,-0.027909,0.250295,-0.032637,-0.315591,-0.341070,0.091968,0.027151,-0.096228,0.087776,0.027151,-0.096228,0.120836,-0.101291,0.160682,0.213927,0.183849,-0.071289,-0.158748,-0.132222,-0.101291,0.539761,0.243126,-0.132222,-0.191538,0.000000,0.062242,-0.158748,0.031605,-0.027909,-0.009217,-0.202712,0.091968
L14,-0.032637,0.031605,0.027151,-0.158748,-0.127000,-0.127000,-0.032637,0.027151,-0.027909,-0.254596,-0.004598,0.027151,0.148894,0.083565,-0.032637,-0.248697,-0.164139,-0.254596,-0.164139,-0.127000,0.120836,0.057923,0.176187,0.000000,0.057923,-0.158748,-0.004598,0.000000,-0.066375,-0.158748,0.022677,0.027151,-0.096228,0.156768,-0.367215,0.116763,0.053584,-0.185998,0.062242,0.156768,-0.032637,-0.096228,-0.272507,0.000000,0.053584,0.022677
L15,-0.004598,-0.032637,-0.009217,-0.032637,-0.032637,-0.096228,-0.004598,0.053584,0.057923,0.000000,0.091968,-0.027909,0.120836,-0.127000,-0.191538,-0.032637,-0.066375,0.057923,-0.197109,-0.158748,-0.004598,0.057923,-0.096228,-0.032637,-0.004598,0.053584,-0.004598,-0.004598,-0.004598,0.027151,-0.096228,-0.004598,0.053584,-0.066375,0.377556,0.036040,-0.101291,0.004577,0.027151,0.191454,0.000000,-0.032637,-0.158748,-0.076227,0.813984,1.125763
L16,0.031605,-0.066375,0.022677,-0.032637,-0.032637,-0.032637,-0.032637,-0.066375,0.022677,-0.254596,-0.066375,-0.153386,0.027151,-0.071289,-0.071289,-0.284629,-0.004598,0.091968,0.091968,-0.127000,-0.066375,-0.027909,0.000000,0.031605,0.091968,-0.066375,0.057923,-0.027909,0.031605,-0.127000,-0.037388,-0.096228,0.062242,0.183849,0.070826,-0.127000,-0.127000,-0.191538,-0.066375,0.036040,-0.027909,0.191454,-0.175009,0.285386,-0.341070,0.305864
L17,-0.032637,-0.066375,0.057923,0.027151,0.062242,-0.096228,-0.004598,-0.004598,-0.096228,-0.042161,-0.061485,0.000000,0.087776,-0.032637,-0.254596,-0.032637,0.312598,0.206492,-0.260531,-0.071289,0.027151,-0.027909,0.031605,-0.071289,-0.004598,0.027151,0.027151,-0.096228,0.057923,-0.004598,-0.004598,-0.004598,0.091968,0.000000,0.943442,0.312598,-0.037388,-0.380549,0.183849,-0.121805,0.027151,0.156768,0.062242,0.191454,1.251451,0.957626
L18,-0.027909,0.091968,0.031605,-0.027909,0.152839,0.031605,0.250295,0.124893,0.191454,0.818040,0.152839,0.191454,0.152839,0.091968,0.312598,1.379390,0.566147,7.271257,2.134112,0.621858,0.120836,0.876997,0.250295,0.250295,0.120836,0.031605,0.152839,0.438551,0.066543,-0.004598,0.091968,0.027151,0.031605,0.191454,4.565590,0.402402,0.271497,0.027151,0.000000,0.004577,0.152839,-0.121805,-0.023203,0.550399,5.619636,1.645478
L19,-0.032637,-0.061485,-0.066375,-0.127000,-0.066375,0.160682,-0.096228,-0.096228,-0.101291,-0.121805,-0.032637,0.120836,0.120836,0.031605,0.027151,-0.254596,-0.191538,-0.380549,-0.164139,-0.096228,0.091968,-0.091190,0.066543,-0.132222,0.057923,0.027151,-0.127000,0.027151,0.057923,0.027151,0.057923,0.091968,-0.032637,0.031605,0.027151,-0.191538,0.057923,-0.037388,-0.101291,0.000000,-0.061485,0.066543,-0.101291,0.484802,0.876997,1.107745
L20,-0.032637,0.027151,-0.066375,-0.004598,0.062242,-0.127000,-0.066375,0.027151,-0.004598,-0.278550,-0.127000,0.027151,-0.132222,-0.032637,-0.164139,-0.380549,-0.197109,-0.501693,-0.564213,-0.158748,-0.004598,-0.096228,-0.127000,-0.164139,-0.004598,0.027151,-0.004598,-0.127000,0.066543,-0.127000,-0.004598,-0.066375,-0.071289,-0.071289,-0.471840,0.096144,-0.096228,-0.158748,-0.061485,0.022677,-0.096228,0.040455,0.160682,0.213927,-0.394062,4.930108
L21,-0.096228,0.022677,-0.032637,-0.004598,-0.101291,-0.061485,-0.066375,0.091968,0.027151,-0.032637,0.022677,-0.101291,-0.101291,0.091968,0.278465,0.813984,0.250295,1.005746,1.064394,0.120836,-0.032637,0.345605,-0.027909,-0.066375,-0.032637,0.022677,-0.066375,-0.004598,-0.032637,-0.032637,0.053584,-0.004598,-0.037388,0.036040,1.759123,0.183849,0.221307,0.124893,-0.158748,0.057923,0.091968,0.096144,-0.056619,-0.009217,0.566147,3.975127
L22,-0.004598,-0.032637,0.116763,-0.066375,-0.066375,-0.032637,-0.004598,-0.032637,-0.066375,-0.071289,-0.066375,-0.066375,-0.127000,-0.127000,-0.164139,-0.471840,-0.248697,-0.657107,-0.556181,-0.284629,-0.004598,-0.096228,0.057923,-0.096228,0.087776,-0.004598,-0.066375,-0.127000,-0.004598,-0.066375,-0.066375,-0.004598,-0.132222,-0.284629,-0.341070,-0.254596,0.027151,-0.315591,-0.096228,0.124893,-0.032637,0.000000,0.036040,0.243126,-0.225440,0.560926
L23,-0.004598,-0.004598,-0.032637,-0.037388,0.022677,-0.066375,0.022677,0.022677,0.027151,-0.091190,0.053584,0.091968,-0.009217,-0.004598,-0.101291,-0.630905,-0.225440,-0.540308,-0.572311,-0.158748,-0.004598,-0.066375,-0.066375,-0.127000,-0.004598,0.027151,-0.032637,-0.004598,-0.032637,0.027151,0.057923,-0.032637,-0.032637,-0.347542,-0.471840,-0.027909,-0.061485,-0.066375,-0.096228,0.000000,-0.004598,0.100302,-0.096228,-0.284629,-0.191538,1.205806
L24,0.057923,0.091968,0.053584,0.027151,-0.066375,0.432616,0.057923,0.057923,0.027151,0.000000,-0.004598,-0.004598,-0.066375,-0.004598,-0.004598,0.091968,0.087776,0.124893,0.213927,0.091968,0.057923,-0.004598,0.091968,-0.032637,0.057923,0.027151,-0.004598,0.027151,-0.032637,0.027151,-0.032637,-0.066375,0.057923,-0.056619,0.285386,0.228633,0.120836,-0.004598,-0.032637,0.000000,0.057923,0.221307,-0.018519,-0.158748,0.213927,6.032382
L25,0.000000,-0.066375,0.000000,0.000000,-0.004598,0.027151,0.091968,0.083565,0.091968,0.091968,0.057923,0.091968,-0.096228,0.027151,0.091968,0.364898,0.083565,0.560926,0.621858,0.027151,0.027151,0.091968,-0.032637,0.053584,0.091968,0.027151,0.027151,0.000000,0.057923,0.062242,0.027151,-0.004598,0.091968,0.152839,0.943442,0.191454,0.027151,0.027151,0.057923,0.000000,0.120836,0.191454,-0.086178,0.116763,-0.237001,4.774332
L26,-0.032637,0.083565,0.116763,0.027151,-0.153386,0.091968,-0.004598,0.057923,0.027151,0.027151,0.057923,0.057923,0.057923,0.057923,-0.066375,-0.254596,0.027151,-0.197109,-0.254596,0.027151,-0.032637,0.027151,0.004577,0.087776,0.116763,0.091968,0.027151,0.000000,0.057923,0.091968,0.091968,0.091968,0.120836,0.120836,-0.153386,0.124893,0.004577,0.027151,0.027151,0.100302,0.062242,0.257412,0.036040,0.124893,-0.290745,10.233104
L27,0.057923,0.091968,0.091968,0.091968,0.027151,0.091968,0.091968,0.120836,0.057923,0.057923,0.000000,0.000000,0.091968,0.004577,0.027151,0.091968,0.027151,0.183849,0.213927,0.057923,0.091968,0.004577,0.004577,0.091968,0.091968,0.120836,0.087776,0.091968,0.000000,0.000000,0.120836,0.091968,0.057923,0.057923,0.152839,0.057923,0.057923,0.057923,0.120836,0.096144,0.027151,0.319287,-0.142748,0.183849,-0.076227,3.991529
L28,0.000000,0.000000,0.116763,0.116763,0.057923,0.091968,0.091968,0.087776,0.091968,0.120836,0.087776,0.087776,0.091968,0.091968,0.057923,0.091968,-0.032637,-0.032637,0.091968,0.091968,0.000000,-0.032637,0.091968,0.091968,0.091968,0.000000,0.000000,0.091968,0.057923,-0.027909,0.091968,-0.032637,0.120836,0.027151,0.057923,-0.032637,0.027151,0.057923,0.057923,0.120836,0.057923,0.352077,-0.266501,0.027151,0.027151,9.282503
L29,-0.032637,-0.032637,0.116763,0.000000,0.027151,0.000000,0.091968,0.087776,0.031605,0.000000,-0.032637,-0.032637,0.000000,-0.032637,-0.066375,0.000000,-0.027909,-0.032637,0.000000,-0.032637,0.091968,0.091968,0.057923,0.000000,0.000000,0.087776,0.000000,0.116763,0.000000,0.000000,0.087776,0.000000,0.000000,0.004577,0.000000,0.031605,0.000000,0.000000,0.027151,0.062242,0.120836,0.183849,-0.175009,0.066543,0.091968,6.955103
L30,0.091968,0.183849,0.087776,0.000000,0.000000,0.000000,0.116763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032637,0.083565,0.000000,0.000000,0.000000,0.116763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032637,0.000000,0.000000,-0.032637,0.031605,0.116763,0.000000,0.000000,0.000000,0.000000,0.000000,0.062242,-0.158748,0.027151,0.062242,11.697333
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.034746
