layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: the,10: following,11: condition,12::,13: multiple,14: sclerosis,15:.,"16:
",17:Com,18:pose,19: a,20: brief,21: presentatio,22: about,23: its,24: demographic,25: information,26: and,27: past,28: medical,29: history,30:.,31: You,32: must,33: start,34: with,35: the,36: following,37::,"38: """,39:Gender,40::,"41: ""","42:
",43:<,44:|,45:ass,46:istant,47:|>,"48:
",49:Gender,50::
L19,-0.161173,-0.369847,-0.152244,-0.211758,-0.079407,-0.083548,-0.207052,-0.337236,0.000000,-0.156698,-0.216486,-0.216486,0.073563,-0.027081,0.536449,-0.007663,-0.079407,-0.083548,-0.067086,-0.096074,-0.031010,0.059277,-0.050892,-0.083548,-0.079407,-0.125927,-0.250224,-0.046884,-0.015385,0.339738,0.323300,-0.083548,0.087647,-0.050892,-0.007663,-0.015385,-0.083548,-0.087706,-0.079407,1.948089,0.181048,1.190911,1.200149,0.000000,-0.027081,-0.156698,-0.042892,-0.316071,2.130592,2.661167,5.860221
L20,-0.221237,-0.221237,-0.083548,-0.113023,0.073563,-0.125927,-0.023167,-0.197706,0.007605,-0.161173,-0.108759,-0.134622,0.122015,-0.300486,-1.003996,-0.211758,-0.121607,-0.015385,-0.113023,-0.143394,0.000000,-0.083548,-0.265040,-0.392195,-0.358858,-0.207052,-0.235626,0.052056,0.052056,0.174659,-0.034955,-0.156698,-0.143394,-0.130265,-0.143394,-0.042892,-0.050892,-0.152244,0.022642,0.323300,0.835230,0.278094,0.044784,-0.091881,0.030077,-0.161173,0.108409,-0.486940,0.433070,0.658192,8.972125
L21,-0.063013,-0.096074,-0.007663,-0.096074,-0.188447,-0.104513,-0.143394,0.334289,0.181048,0.000000,-0.096074,-0.083548,-0.050892,0.254701,4.626244,0.766710,0.108409,-0.174717,-0.007663,-0.104513,-0.183849,-0.202368,0.128749,0.486095,0.206207,-0.050892,-0.235626,0.015152,-0.179273,0.030077,0.030077,0.015152,-0.050892,-0.075283,-0.138999,0.015152,-0.280077,-0.152244,-0.147809,0.759592,0.108409,-0.499440,-0.353409,-0.143394,-0.079407,-0.183849,-0.058956,-0.305654,-0.147809,0.382298,9.497083
L22,-0.083548,-0.096074,-0.031010,-0.063013,-0.226010,-0.007663,-0.063013,-0.285141,-0.091881,-0.125927,-0.058956,-0.125927,-0.125927,-0.050892,-1.137528,-0.444380,-0.130265,-0.067086,-0.015385,-0.096074,-0.143394,-0.075283,-0.170182,-0.353409,-0.456357,-0.202368,-0.138999,0.007605,-0.170182,-0.183849,-0.245335,-0.034955,0.037458,-0.125927,-0.063013,-0.067086,-0.050892,-0.042892,-0.420850,-0.179273,-0.183849,0.000000,-0.147809,-0.083548,0.000000,-0.075283,-0.138999,-0.605500,-0.230806,0.715790,8.536515
L23,-0.100284,-0.113023,-0.104513,-0.143394,-0.152244,-0.007663,-0.216486,-0.265040,-0.295345,-0.083548,-0.050892,-0.156698,-0.260077,-0.034955,-0.748063,-0.375388,-0.091881,-0.015385,-0.130265,-0.179273,-0.034955,-0.108759,-0.023167,-0.310849,-0.104513,-0.152244,-0.096074,-0.125927,-0.161173,-0.075283,-0.121607,-0.034955,-0.034955,-0.113023,0.015152,-0.130265,-0.091881,-0.211758,-0.403559,-0.591611,0.266466,-0.034955,-0.499440,-0.096074,-0.143394,-0.083548,0.000000,-0.156698,0.168228,-0.023167,2.442679
L24,-0.067086,0.007605,-0.063013,-0.113023,-0.143394,0.917816,-0.023167,0.007605,-0.130265,-0.067086,-0.108759,-0.113023,-0.216486,0.073563,0.462341,-0.216486,-0.050892,-0.083548,-0.138999,-0.113023,-0.108759,-0.113023,-0.034955,-0.079407,-0.063013,-0.096074,-0.096074,0.000000,-0.083548,-0.083548,-0.152244,-0.147809,-0.143394,-0.125927,-0.096074,-0.156698,-0.096074,-0.050892,-0.193066,0.295287,0.387493,0.230748,0.007605,-0.170182,0.059277,-0.216486,-0.050892,-1.003996,-0.197706,0.588634,5.684021
L25,-0.083548,-0.108759,-0.134622,-0.050892,-0.125927,-0.042892,0.073563,0.108409,-0.063013,-0.113023,-0.143394,-0.007663,-0.023167,0.059277,2.410309,-0.034955,-0.100284,-0.096074,0.030077,-0.083548,-0.042892,-0.034955,-0.067086,-0.100284,0.015152,-0.034955,-0.050892,-0.050892,-0.050892,-0.075283,-0.083548,-0.058956,-0.050892,-0.138999,-0.034955,-0.079407,-0.113023,-0.067086,-0.015385,0.457521,0.135438,-0.050892,0.000000,-0.230806,0.007605,-0.113023,0.030077,-0.983377,0.254701,-0.211758,7.227485
L26,-0.050892,-0.046884,-0.015385,-0.063013,-0.152244,-0.046884,0.030077,-0.087706,0.037458,-0.015385,-0.015385,-0.079407,-0.108759,0.022642,-0.480748,-0.108759,-0.031010,0.037458,-0.031010,0.030077,-0.050892,-0.083548,-0.015385,-0.023167,-0.015385,-0.067086,-0.015385,-0.067086,-0.015385,-0.031010,-0.007663,-0.046884,-0.050892,-0.079407,0.000000,-0.034955,0.000000,0.044784,-0.038915,-0.270027,0.073563,-0.165667,-0.023167,-0.121607,0.052056,-0.027081,0.087647,-0.963174,0.094616,-0.444380,9.011035
L27,-0.063013,-0.079407,-0.046884,-0.015385,-0.108759,0.000000,-0.023167,0.087647,0.000000,-0.015385,-0.015385,0.000000,-0.067086,-0.015385,0.642256,0.000000,-0.023167,-0.023167,-0.015385,-0.023167,-0.034955,0.000000,-0.023167,-0.083548,-0.015385,-0.042892,-0.031010,-0.015385,0.015152,-0.015385,-0.015385,-0.050892,-0.034955,-0.015385,-0.023167,-0.015385,0.000000,0.015152,-0.152244,0.052056,0.073563,0.044784,0.015152,-0.031010,-0.023167,-0.079407,0.142083,-1.348837,-0.007663,-0.255139,3.235830
L28,-0.023167,0.015152,0.015152,0.015152,-0.015385,0.030077,0.015152,-0.063013,0.015152,-0.015385,-0.050892,0.015152,0.015152,0.022642,0.030077,0.044784,-0.015385,-0.015385,-0.050892,-0.050892,-0.046884,-0.015385,-0.050892,0.044784,0.015152,-0.050892,0.030077,0.015152,-0.034955,0.000000,0.044784,-0.050892,-0.034955,-0.034955,-0.034955,-0.015385,-0.034955,-0.050892,-0.125927,-0.207052,0.030077,-0.050892,0.030077,0.015152,-0.108759,-0.034955,0.266466,-1.441210,-0.007663,-0.156698,8.710592
L29,-0.015385,-0.023167,0.000000,0.030077,0.030077,0.030077,0.000000,-0.015385,-0.063013,-0.067086,0.000000,-0.015385,-0.031010,0.015152,0.000000,0.015152,0.000000,0.015152,-0.015385,0.000000,0.000000,0.000000,0.000000,-0.079407,0.044784,0.000000,0.015152,0.000000,0.000000,0.015152,0.000000,0.000000,-0.015385,-0.031010,-0.063013,0.015152,-0.063013,0.015152,0.000000,-0.067086,-0.007663,0.000000,0.000000,0.000000,-0.031010,0.030077,0.115235,-1.264279,0.101536,0.108409,9.055814
L30,0.052056,0.066445,-0.015385,0.015152,-0.007663,-0.023167,-0.023167,-0.023167,-0.015385,-0.023167,0.015152,0.000000,-0.015385,-0.023167,-0.015385,0.015152,-0.015385,0.000000,-0.015385,-0.015385,-0.015385,-0.015385,0.000000,0.015152,-0.023167,0.000000,-0.015385,-0.015385,-0.015385,0.000000,0.000000,-0.015385,0.000000,0.000000,-0.015385,-0.015385,-0.015385,-0.015385,-0.015385,0.000000,-0.050892,-0.015385,0.015152,0.015152,-0.031010,-0.015385,0.030077,-0.518488,0.044784,-0.038915,11.435524
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.691068
