layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: multiple,17: sclerosis,"18:,",19: including,20: demographic,21: and,22: pertinent,23: PM,24:H,25:.,26: Start,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L11,0.031749,0.149532,0.183665,0.092373,0.183665,-0.097328,0.128478,-0.004040,0.149532,-0.004040,-0.377630,-0.032790,0.092373,0.309617,0.273469,-0.071011,0.121361,-0.045369,0.092373,0.084993,0.092373,-0.004040,0.054916,0.084993,0.248623,0.149532,0.303682,-0.004040,0.216671,0.156452,0.647779,1.065822,0.248623,-0.084083,0.031749,0.338774,0.242313,0.054916,-0.008097,-0.092894,0.577881,2.059074,-0.742744
L12,0.054916,-0.066691,0.149532,0.183665,0.121361,-0.293073,0.084993,0.121361,0.149532,0.054916,0.062520,0.149532,0.121361,-0.066691,0.149532,0.309617,0.216671,-0.255933,0.121361,0.273469,-0.128934,0.023906,0.149532,0.183665,0.183665,0.023906,0.216671,0.000000,0.054916,0.248623,0.279585,0.536305,0.279585,-0.608154,-0.407483,0.248623,0.084993,0.149532,0.054916,-0.062390,0.338774,1.093221,0.660357
L13,0.121361,0.054916,0.084993,0.121361,0.062520,0.031749,0.092373,0.092373,0.183665,0.149532,0.027835,0.054916,0.121361,0.279585,0.338774,0.242313,0.023906,-0.383530,0.084993,0.273469,0.149532,0.114192,0.031749,-0.004040,0.121361,0.149532,0.333010,0.054916,0.084993,0.106972,0.039531,0.693147,0.273469,-0.036965,-0.822081,0.062520,0.054916,-0.032790,0.190354,-0.004040,0.203599,-0.092894,2.111190
L14,0.031749,0.121361,0.149532,0.084993,0.023906,-0.066691,-0.032790,0.084993,0.338774,-0.004040,0.092373,0.054916,-0.012171,0.062520,0.114192,0.149532,0.092373,-0.200223,0.062520,0.183665,0.027835,0.121361,0.216671,0.062520,0.084993,0.378215,0.084993,0.054916,0.183665,-0.097328,0.156452,-0.053843,-0.115266,0.047253,-0.593448,0.156452,0.248623,0.062520,0.054916,-0.152137,-0.200223,0.814508,-0.509482
L15,0.149532,0.114192,-0.004040,0.114192,-0.032790,-0.066691,0.210156,0.248623,-0.066691,0.121361,0.084993,0.023906,0.019961,0.149532,-0.106257,-0.161571,-0.012171,0.526826,0.023906,0.176931,0.062520,-0.066691,0.023906,0.084993,0.054916,0.149532,0.338774,0.149532,0.361502,0.054916,0.047253,-0.138150,0.216671,-0.106257,-0.124357,0.156452,0.190354,0.023906,-0.066691,0.216671,-0.331645,1.665879,1.195876
L16,0.128478,0.128478,0.183665,0.092373,0.023906,0.084993,0.149532,0.054916,-0.036965,-0.004040,0.031749,0.054916,-0.062390,0.054916,0.121361,0.149532,-0.032790,0.685050,0.121361,-0.008097,-0.101783,0.176931,-0.032790,0.156452,0.000000,0.121361,0.183665,0.121361,0.092373,0.309617,0.099699,-0.058108,0.149532,0.156452,-0.282320,0.248623,0.183665,0.242313,0.092373,-0.210124,-0.128934,0.135545,0.047253
L17,0.084993,0.149532,0.084993,0.019961,0.156452,-0.032790,0.183665,0.149532,0.084993,0.121361,0.149532,0.149532,-0.004040,0.309617,-0.124357,0.279585,0.084993,0.431992,0.183665,0.054916,0.248623,0.054916,0.121361,0.183665,0.121361,0.183665,0.149532,0.149532,0.210156,0.279585,0.223144,1.130361,0.617798,-0.008097,-0.377630,0.121361,0.062520,0.183665,0.190354,0.099699,-0.190419,0.582396,0.333010
L18,0.149532,0.128478,0.121361,0.092373,0.183665,-0.004040,0.092373,0.467985,0.084993,0.210156,0.685050,0.279585,0.315517,1.065822,0.531577,0.092373,0.149532,4.444168,0.344504,0.183665,0.748063,0.183665,0.273469,0.273469,0.564213,0.564213,0.092373,0.216671,0.338774,0.248623,0.622136,5.898128,0.984853,0.039531,-0.320472,0.121361,0.248623,0.149532,0.054916,0.128478,0.577881,0.531577,0.966616
L19,0.000000,-0.124357,0.031749,0.031749,0.023906,0.279585,0.031749,0.156452,-0.008097,0.054916,0.084993,0.062520,-0.032790,0.121361,0.128478,0.070068,0.084993,-0.004040,0.023906,0.023906,-0.124357,-0.004040,0.121361,-0.008097,0.156452,0.431992,0.121361,0.031749,0.000000,-0.088479,-0.215111,0.651989,0.012024,-0.053843,-0.331645,-0.133531,0.092373,0.054916,0.062520,-0.092894,0.522053,0.630757,3.792222
L20,-0.066691,-0.036965,0.121361,0.084993,0.183665,-0.062390,0.054916,-0.036965,0.092373,0.149532,0.054916,0.149532,0.027835,0.084993,-0.097328,0.121361,0.084993,-0.571786,-0.036965,0.027835,0.149532,0.027835,0.031749,-0.092894,-0.097328,0.344504,0.084993,-0.004040,0.092373,-0.106257,-0.128934,-0.101783,0.216671,-0.266405,-0.377630,0.149532,0.183665,-0.004040,0.062520,0.062520,0.426742,-0.377630,7.753527
L21,0.121361,0.023906,-0.062390,0.054916,-0.062390,-0.062390,0.023906,0.054916,0.027835,0.092373,0.062520,0.023906,-0.032790,0.183665,0.121361,0.092373,0.210156,2.193634,0.084993,0.156452,0.242313,0.084993,0.054916,0.054916,0.084993,0.054916,0.084993,0.121361,-0.004040,0.149532,0.372675,1.818286,0.526826,-0.075349,-0.045369,-0.004040,0.062520,0.092373,0.121361,-0.028632,0.242313,0.142563,6.595560
L22,0.092373,0.092373,0.000000,0.084993,0.023906,0.023906,0.000000,0.084993,0.000000,0.084993,-0.101783,-0.004040,-0.032790,-0.133531,-0.092894,-0.062390,0.054916,-0.536695,0.023906,0.027835,-0.036965,-0.062390,0.054916,0.000000,-0.101783,-0.062390,0.092373,0.121361,0.062520,0.031749,-0.092894,0.092373,0.156452,0.084993,-0.032790,-0.250739,0.210156,0.062520,-0.008097,0.099699,0.394654,0.483023,3.224024
L23,-0.008097,0.000000,0.062520,-0.062390,0.000000,0.031749,-0.036965,-0.004040,0.023906,0.031749,0.084993,0.092373,0.062520,-0.101783,0.031749,-0.062390,0.084993,-0.444525,-0.097328,0.000000,0.121361,0.084993,0.062520,0.149532,0.023906,-0.062390,0.084993,0.156452,-0.124357,0.092373,-0.407483,-0.066691,0.586890,-0.266405,-0.185553,-0.128934,0.092373,0.027835,0.128478,0.092373,-0.438255,0.121361,2.544899
L24,0.216671,0.156452,0.149532,0.121361,0.062520,0.996830,0.062520,0.062520,0.000000,0.031749,0.054916,0.121361,0.031749,-0.004040,-0.032790,0.121361,0.149532,0.462922,0.062520,0.031749,0.062520,0.062520,0.062520,0.092373,0.000000,0.062520,0.054916,0.062520,0.062520,0.121361,0.121361,0.564213,0.344504,0.309617,0.092373,0.023906,0.183665,0.062520,0.223144,-0.395435,-0.066691,0.531577,5.388188
L25,0.031749,0.000000,0.031749,0.121361,-0.066691,-0.004040,0.092373,0.000000,0.062520,0.000000,0.031749,0.054916,0.027835,0.121361,0.054916,0.062520,0.000000,1.441210,0.149532,0.062520,0.062520,0.121361,0.000000,0.121361,0.156452,0.210156,0.000000,0.084993,-0.004040,0.149532,0.309617,1.390318,0.273469,0.183665,0.216671,0.210156,0.062520,0.031749,0.248623,-0.152137,0.400074,-0.266405,5.611361
L26,0.054916,0.121361,0.092373,0.031749,0.062520,0.027835,0.062520,0.000000,0.027835,0.031749,0.000000,0.000000,0.062520,-0.008097,0.000000,0.027835,0.000000,-0.348643,0.027835,0.031749,0.031749,0.031749,0.000000,0.062520,0.000000,0.062520,0.000000,0.000000,0.062520,0.062520,0.254892,-0.066691,0.128478,0.121361,0.031749,0.092373,0.128478,0.062520,0.254892,-0.298493,0.149532,-0.354373,11.474090
L27,-0.032790,0.000000,-0.032790,-0.032790,0.000000,0.062520,0.000000,0.000000,0.000000,0.000000,-0.032790,0.031749,0.000000,-0.032790,-0.032790,0.121361,0.000000,0.689107,0.031749,0.027835,-0.032790,0.023906,-0.032790,0.031749,0.000000,0.062520,-0.032790,0.031749,0.027835,-0.032790,0.092373,0.062520,0.092373,0.000000,0.000000,0.121361,0.121361,0.062520,0.285664,-0.298493,0.216671,-0.075349,2.934200
L28,0.000000,0.000000,0.000000,0.023906,0.000000,0.027835,0.031749,0.027835,0.027835,0.000000,0.023906,0.000000,0.000000,0.000000,0.000000,0.000000,0.023906,0.000000,0.000000,0.027835,0.000000,-0.032790,0.000000,0.000000,0.062520,-0.032790,-0.032790,0.000000,0.027835,0.027835,0.027835,-0.032790,0.084993,0.027835,0.023906,0.031749,0.000000,0.027835,0.383725,-0.432024,0.121361,-0.152137,9.081095
L29,-0.032790,-0.032790,0.031749,0.027835,-0.062390,-0.032790,0.000000,0.000000,0.000000,0.000000,-0.032790,0.000000,0.000000,0.027835,0.000000,0.000000,0.027835,-0.032790,0.000000,0.000000,0.000000,-0.032790,0.000000,0.000000,0.000000,-0.032790,0.000000,0.000000,0.000000,0.000000,0.000000,0.023906,0.062520,0.000000,0.027835,0.027835,0.062520,0.000000,0.092373,-0.298493,0.092373,0.092373,7.946355
L30,0.121361,0.121361,0.000000,0.027835,0.023906,0.000000,-0.032790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027835,0.000000,0.000000,-0.032790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023906,0.027835,0.000000,-0.032790,0.000000,-0.004040,0.027835,0.054916,-0.220124,0.031749,0.084993,11.612417
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.456221
