layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Generate,7: a,8: concise,9: patient,10: summary,11: for,12: sarc,13:oid,14:osis,15:.,"16:
",17:State,18: demographic,19: details,20: first,21: and,22: then,23: important,24: prior,25: medical,26: conditions,27:.,28: Begin,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L11,0.250224,0.250224,0.000000,-0.060625,0.309501,0.124298,-0.376477,-0.071096,0.562413,-0.119623,-0.604095,-0.060625,0.437622,6.264443,3.199873,0.698037,-0.188221,0.378973,-0.071096,-0.130734,-0.182321,0.000000,-0.249216,-0.125163,0.000000,0.061777,0.358634,0.250224,-0.004914,0.057158,-0.065847,0.119959,2.496279,-0.376477,-1.446918,-0.948672,0.187211,0.061777,0.119959,-0.194156,-0.376477,-0.383646,0.057158,-0.024815
L12,0.124298,0.057158,0.061777,0.061777,0.000000,-0.009852,0.000000,0.250224,0.250224,-0.435318,-0.119623,0.309501,0.437622,0.043172,0.242562,-0.442922,0.309501,0.057158,0.745665,0.250224,0.124298,-0.188221,0.124298,0.124298,0.250224,0.187211,0.688233,0.061777,0.061777,0.424883,-0.014815,-0.200126,1.552971,0.124298,0.115602,0.498991,-0.125163,-0.065847,0.061777,-0.065847,-0.065847,-1.069624,-0.014815,-0.668933
L13,0.187211,0.000000,0.061777,0.000000,-0.255525,0.000000,0.061777,0.124298,-0.376477,-0.188221,-0.369360,-0.261874,-0.188221,-0.376477,-0.327687,0.295008,0.061777,0.061777,-0.383646,-0.194156,0.378973,-0.376477,-0.060625,-0.065847,0.124298,-0.004914,0.309501,-0.071096,-0.004914,-0.501879,0.057158,0.556811,-0.869603,-0.573188,-0.060625,0.323787,0.443931,0.057158,-0.065847,-0.060625,-0.060625,-0.200126,-0.758993,1.293921
L14,0.061777,0.187211,-0.188221,0.115602,0.309501,-0.568849,-0.004914,-0.004914,-0.626772,-0.376477,-0.188221,-0.188221,-0.194156,-0.514099,-0.785520,-0.261874,-0.435318,0.057158,0.057158,-0.004914,-0.188221,-0.060625,-0.060625,0.061777,0.124298,-0.125163,0.498991,-0.442922,-0.314174,-0.442922,-0.383646,-0.130734,-1.406096,-0.654681,0.365460,0.257829,-0.125163,-0.188221,-0.125163,0.057158,-0.255525,-0.501879,-0.522329,-1.257676
L15,-0.130734,-0.065847,0.061777,-0.004914,0.000000,0.000000,0.119959,0.000000,-0.065847,0.000000,-0.314174,-0.320908,-0.320908,1.443452,0.057158,-0.390866,0.057158,0.119959,-0.255525,-0.255525,-0.255525,-0.188221,-0.320908,-0.125163,-0.004914,-0.060625,0.250224,-0.435318,-0.194156,0.052518,-0.004914,-0.200126,1.376442,0.443931,0.316670,0.124298,-0.194156,0.124298,-0.060625,-0.130734,0.004890,0.132918,0.510825,-0.004914
L16,0.066375,0.061777,0.061777,-0.130734,-0.004914,0.057158,-0.004914,-0.004914,0.057158,0.000000,0.061777,0.437622,-0.060625,-0.255525,-0.376477,-0.622195,0.000000,-0.125163,0.128617,-0.065847,-0.055430,0.257829,-0.060625,0.057158,-0.125163,0.061777,0.061777,-0.125163,-0.065847,0.066375,-0.255525,-0.383646,-0.141970,-0.065847,-0.320908,-0.881368,0.124298,0.000000,0.119959,0.066375,-0.188221,0.309501,0.539813,-1.014054
L17,0.061777,-0.004914,-0.130734,-0.071096,0.124298,-0.004914,0.000000,0.000000,-0.071096,0.316670,0.066375,0.309501,0.250224,1.130769,0.622051,-0.626772,0.187211,-0.125163,0.378973,0.250224,0.061777,0.124298,-0.188221,0.183138,0.000000,0.124298,0.316670,0.124298,0.000000,0.250224,0.124298,0.187211,1.065386,-0.004914,-0.009852,-0.004914,0.000000,-0.307485,0.124298,-0.060625,-0.125163,-0.200126,0.693147,-0.300840
L18,0.004890,0.061777,-0.060625,-0.194156,-0.065847,0.057158,-0.188221,-0.125163,-0.065847,0.378973,0.124298,-0.307485,0.365460,12.963666,7.511052,0.693147,0.128617,0.000000,0.688233,-0.060625,0.443931,0.759522,0.187211,0.061777,0.000000,0.004890,0.004890,-0.683391,-0.188221,-0.249216,0.498991,0.480973,6.148091,-0.206132,0.242562,0.128617,-0.255525,-0.182321,-0.125163,-0.314174,-0.130734,0.115602,1.111599,-0.212174
L19,-0.065847,-0.188221,0.119959,-0.130734,-0.188221,-0.688257,-0.125163,0.061777,-0.130734,0.622051,0.183138,-0.188221,-0.194156,-0.009852,-1.128464,-0.164828,-0.009852,-0.130734,-0.071096,-0.188221,0.061777,0.309501,0.250224,-0.060625,0.061777,0.000000,0.187211,0.052518,-0.060625,0.000000,-0.200126,0.158344,1.523495,0.498991,0.935709,0.431273,-0.383646,-0.125163,0.000000,-0.188221,-0.255525,0.234840,1.124420,-1.680532
L20,-0.125163,-0.125163,-0.065847,-0.004914,0.183138,-0.376477,-0.004914,0.000000,-0.194156,0.688233,-0.009852,-0.125163,-0.194156,-0.942362,-1.852382,-1.680532,-0.004914,0.119959,0.000000,0.119959,0.061777,0.061777,-0.004914,-0.004914,0.183138,0.242562,-0.004914,0.309501,0.057158,0.061777,-0.071096,0.187211,-0.654681,-0.249216,0.057158,-0.060625,0.187211,-0.065847,0.000000,0.066375,0.195309,0.242562,0.405465,-0.060625
L21,-0.065847,0.000000,-0.065847,-0.004914,-0.004914,-0.125163,-0.125163,0.000000,-0.188221,0.000000,0.183138,0.061777,0.183138,3.633967,3.638102,1.434150,0.061777,0.061777,0.066375,0.000000,0.316670,0.250224,0.000000,-0.060625,-0.065847,0.000000,0.250224,0.061777,-0.130734,-0.004914,0.309501,0.124298,2.372623,0.250224,0.000000,0.000000,-0.249216,-0.125163,0.000000,-0.194156,-0.314174,-0.505935,1.072120,2.372623
L22,0.119959,0.000000,0.057158,-0.065847,-0.125163,0.000000,-0.130734,-0.065847,-0.009852,-0.564530,-0.130734,-0.255525,-0.442922,-1.366875,-2.679058,-1.533929,-0.125163,-0.065847,-0.130734,-0.130734,-0.065847,-0.194156,-0.065847,0.000000,0.000000,-0.125163,0.000000,-0.004914,-0.125163,0.000000,-0.065847,-0.568849,-0.698061,0.057158,-0.255525,-0.249216,-0.130734,-0.065847,-0.065847,-0.004914,0.004890,0.124298,0.166677,-0.071096
L23,0.057158,0.000000,-0.065847,0.057158,-0.065847,-0.065847,0.119959,-0.125163,0.119959,-0.194156,0.119959,0.000000,-0.130734,-2.060021,-2.140063,-0.442922,-0.065847,-0.065847,-0.065847,-0.125163,-0.125163,-0.060625,0.057158,-0.065847,0.000000,-0.065847,0.057158,-0.065847,-0.060625,-0.065847,-0.130734,-0.823881,-1.069624,0.808749,-0.255525,-0.060625,-0.065847,0.000000,-0.060625,-0.060625,-0.182321,-0.125163,-0.341386,0.943371
L24,0.124298,0.061777,0.057158,0.000000,-0.065847,0.372239,-0.060625,0.057158,-0.004914,0.061777,-0.060625,-0.060625,0.183138,-0.255525,0.316670,0.119959,0.124298,-0.060625,0.000000,0.000000,-0.004914,0.061777,0.000000,0.057158,0.061777,-0.060625,-0.065847,0.000000,0.119959,-0.004914,0.124298,0.061777,0.759522,0.378973,0.128617,-0.065847,0.000000,-0.004914,0.061777,-0.060625,-0.300840,0.128617,0.616774,2.272732
L25,0.119959,0.057158,0.057158,0.057158,-0.004914,0.000000,-0.060625,0.057158,-0.060625,0.061777,-0.130734,-0.004914,-0.065847,0.437622,1.381380,0.498991,0.061777,0.000000,0.061777,-0.004914,0.000000,0.000000,0.119959,0.000000,0.057158,0.061777,0.119959,0.119959,0.061777,0.119959,-0.065847,-0.125163,0.826065,0.124298,0.061777,-0.060625,0.183138,-0.004914,0.061777,0.066375,-0.182321,0.183138,-0.103184,3.941772
L26,-0.125163,-0.060625,0.183138,0.119959,-0.065847,0.057158,0.000000,0.000000,0.066375,-0.065847,0.000000,0.124298,0.000000,-0.698061,-0.505935,-0.125163,0.000000,-0.060625,-0.004914,0.057158,-0.060625,0.000000,0.000000,0.119959,0.057158,0.057158,0.119959,0.000000,0.000000,0.000000,-0.004914,-0.242946,-0.255525,0.309501,0.000000,0.000000,0.057158,-0.060625,0.000000,0.004890,-0.489806,0.057158,-0.065847,10.662607
L27,0.119959,0.000000,0.057158,0.000000,0.061777,0.119959,0.000000,0.057158,0.119959,0.000000,0.000000,-0.060625,0.061777,0.000000,0.061777,0.119959,0.000000,0.000000,0.000000,-0.060625,0.057158,0.000000,0.000000,0.119959,0.057158,0.057158,0.057158,0.119959,0.119959,0.000000,0.119959,-0.188221,0.119959,0.302281,0.061777,0.057158,0.000000,0.124298,0.061777,0.000000,-0.555946,0.183138,0.057158,5.313399
L28,0.057158,-0.065847,0.057158,0.000000,0.061777,0.000000,0.119959,-0.060625,0.057158,0.000000,0.119959,0.000000,0.000000,0.000000,0.057158,-0.060625,0.000000,-0.060625,0.057158,-0.060625,0.057158,0.119959,-0.060625,0.000000,0.057158,0.000000,0.000000,-0.060625,0.057158,0.000000,-0.125163,-0.188221,-0.194156,0.242562,-0.060625,0.057158,0.119959,-0.060625,0.057158,0.124298,-0.869603,0.000000,-0.004914,7.419086
L29,0.057158,0.057158,0.000000,0.000000,0.119959,0.119959,0.000000,0.000000,0.000000,-0.060625,0.000000,0.057158,0.057158,0.057158,-0.060625,0.000000,0.000000,0.000000,0.057158,0.000000,0.000000,0.119959,0.057158,0.000000,-0.060625,0.119959,0.000000,0.119959,0.057158,0.119959,0.000000,-0.065847,0.057158,0.000000,0.057158,0.119959,0.000000,0.000000,0.057158,0.061777,-0.307485,0.124298,0.061777,9.291307
L30,0.124298,0.124298,0.000000,0.000000,-0.004914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060625,-0.060625,0.000000,0.000000,0.000000,-0.060625,0.000000,-0.307485,0.000000,0.057158,10.713899
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.544181
