layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: this,8: multiple,9: sclerosis,10: case,"11:,",12: draft,13: a,14: brief,15: presentatio,16: that,17: includes,18: demographic,19: information,20: and,21: prior,22: medical,23: history,24:.,25: ,"26:
",27:The,28: response,29: must,30: start,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L11,0.034094,0.129912,0.093732,0.000000,0.119708,0.083150,-0.129411,0.017192,0.061644,1.238626,0.119708,0.150013,0.119708,0.088455,0.124823,0.098982,-0.029328,0.022858,0.271658,0.154976,0.154976,0.098982,0.119708,0.034094,0.088455,0.034094,-0.065695,0.114567,0.203295,0.093732,0.088455,0.150013,-0.084387,-0.035298,0.323172,-0.011628,-0.439267,-0.313049,0.000000,0.134975,0.034094,-0.097046,-0.313049,-0.142656,0.727241,-0.361642
L12,0.061644,0.067064,0.129912,0.028492,0.098982,-0.011628,0.124823,0.022858,0.124823,-0.116339,-0.218818,0.083150,0.067064,0.061644,0.088455,0.217346,0.217346,-0.029328,-0.059541,-0.097046,0.093732,0.119708,0.000000,-0.142656,0.124823,0.124823,0.034094,0.189043,-0.053425,0.034094,0.184246,0.072455,-0.333010,-0.162859,0.352040,0.045205,-0.430338,-0.183478,0.184246,0.093732,0.124823,0.072455,-0.059541,0.193816,0.253880,0.011494
L13,0.061644,-0.005797,0.061644,0.000000,-0.090697,0.028492,0.061644,0.083150,0.109399,-0.156079,0.226606,-0.065695,0.000000,0.028492,0.022858,0.244871,-0.065695,0.093732,-0.059541,0.050715,0.098982,0.124823,0.124823,0.072455,0.088455,0.061644,0.145026,-0.156079,0.104204,0.061644,0.119708,0.000000,0.061644,0.017192,0.583281,-0.324978,-0.176558,-0.109866,0.000000,0.124823,0.061644,0.189043,0.005764,0.193816,-0.218818,0.997311
L14,0.124823,0.221987,0.022858,0.039665,0.129912,0.022858,0.221987,0.028492,0.017192,-0.116339,-0.162859,-0.071887,0.056195,0.028492,0.088455,0.000000,0.061644,0.098982,0.083150,0.061644,0.005764,0.093732,0.184246,-0.078118,0.022858,-0.053425,-0.005797,-0.103436,0.088455,0.028492,0.154976,-0.035298,0.000000,0.422658,-0.285757,0.061644,-0.149345,-0.136012,0.067064,0.098982,0.061644,0.061644,-0.270490,-0.029328,-0.149345,-0.142656
L15,0.145026,0.000000,0.028492,0.093732,0.093732,0.050715,0.061644,-0.071887,0.114567,0.391886,0.150013,0.061644,0.034094,0.028492,0.067064,0.119708,0.028492,0.093732,0.050715,-0.035298,0.077817,0.154976,0.217346,0.061644,0.050715,-0.005797,0.083150,-0.071887,0.093732,0.067064,0.088455,0.098982,0.050715,0.005764,0.314769,0.474330,0.034094,0.134975,0.150013,0.323172,0.067064,0.045205,-0.084387,0.437695,0.639722,-0.313049
L16,0.104204,0.134975,0.067064,0.124823,0.000000,0.034094,0.056195,-0.065695,-0.005797,0.843160,-0.041304,-0.005797,-0.023393,0.034094,0.028492,-0.029328,-0.097046,0.154976,0.150013,-0.053425,0.000000,0.124823,0.184246,0.129912,0.104204,-0.035298,0.184246,-0.097046,0.028492,0.061644,0.061644,0.011494,-0.029328,-0.023393,-0.162859,0.289126,-0.122854,-0.029328,0.221987,0.193816,0.184246,0.164828,-0.255452,0.407390,0.005764,0.179427
L17,0.028492,0.039665,0.088455,0.028492,0.129912,0.061644,0.093732,0.184246,-0.097046,0.253880,-0.090697,0.114567,0.034094,0.154976,0.000000,-0.059541,0.088455,0.217346,0.129912,0.061644,-0.005797,-0.023393,0.124823,0.104204,0.124823,0.000000,0.022858,-0.090697,0.005764,-0.023393,0.093732,0.067064,0.318979,0.011494,0.523462,0.212684,0.119708,-0.109866,0.000000,0.104204,0.039665,0.140013,0.114567,0.150013,0.145026,0.244871
L18,0.124823,0.124823,0.088455,0.088455,0.154976,0.093732,0.028492,-0.011628,0.124823,9.561475,1.258527,0.997311,0.124823,0.104204,0.159914,0.093732,0.119708,0.028492,0.293446,0.249386,0.159914,0.284788,0.134975,0.368169,0.302030,0.011494,0.217346,0.704642,0.088455,0.061644,0.150013,0.104204,0.280430,0.267243,0.962601,0.212684,-0.156079,-0.176558,0.039665,0.193816,0.154976,0.104204,-0.122854,0.356097,0.502700,0.792129
L19,0.011494,0.072455,0.000000,0.028492,0.119708,0.372161,0.134975,0.061644,0.159914,0.179427,-0.136012,0.083150,0.189043,0.093732,0.124823,0.134975,0.119708,0.039665,-0.023393,0.098982,0.184246,0.159914,0.124823,0.314769,0.159914,0.088455,0.109399,-0.078118,0.104204,0.093732,0.072455,0.198567,0.314769,0.364161,0.310540,0.088455,0.280430,0.244871,-0.097046,0.189043,0.088455,0.134975,0.000000,0.467109,0.203295,0.415053
L20,0.000000,-0.023393,-0.097046,0.028492,0.217346,-0.090697,0.093732,0.005764,0.061644,-0.345181,-0.129411,0.140013,0.005764,0.119708,0.083150,0.159914,0.124823,0.067064,0.072455,0.088455,0.000000,0.093732,0.000000,0.124823,0.088455,0.034094,-0.190447,-0.129411,0.093732,0.088455,0.028492,-0.023393,-0.071887,-0.129411,0.481498,0.459837,0.150013,0.104204,-0.053425,0.134975,0.034094,0.289126,0.050715,0.280430,-0.011628,3.994002
L21,0.067064,-0.029328,-0.005797,-0.005797,0.000000,0.000000,0.000000,0.061644,0.124823,2.667950,0.387972,0.169718,0.104204,0.093732,0.104204,-0.005797,0.039665,0.005764,0.189043,0.189043,0.093732,0.072455,0.067064,0.067064,0.104204,0.088455,0.179427,0.570294,0.028492,0.039665,-0.035298,0.061644,0.005764,0.193816,1.522532,0.318979,0.208001,0.134975,-0.183478,0.098982,0.124823,0.061644,-0.084387,0.124823,0.917446,2.870588
L22,0.000000,-0.029328,-0.035298,0.028492,-0.029328,0.034094,0.022858,0.034094,-0.053425,-0.489852,-0.035298,-0.097046,0.061644,0.061644,0.034094,0.093732,0.005764,0.028492,-0.122854,0.028492,0.005764,0.034094,-0.084387,0.028492,-0.122854,0.093732,-0.136012,-0.162859,0.028492,0.093732,0.067064,0.034094,-0.065695,-0.029328,0.550491,0.072455,0.169718,0.034094,0.000000,0.124823,0.005764,0.124823,-0.109866,0.368169,0.459837,1.486584
L23,0.093732,0.028492,-0.005797,-0.005797,0.000000,0.124823,0.061644,0.061644,0.028492,-0.533233,-0.129411,-0.041304,0.028492,-0.090697,0.061644,0.028492,0.034094,-0.023393,0.088455,0.028492,0.000000,0.124823,0.028492,0.028492,0.028492,0.093732,-0.149345,-0.378379,0.067064,-0.023393,0.028492,-0.005797,0.000000,-0.341107,-0.053425,0.459837,0.011494,-0.023393,0.028492,0.124823,-0.023393,0.045205,0.045205,0.039665,-0.129411,3.078084
L24,0.124823,0.184246,0.093732,0.034094,-0.084387,1.030857,0.005764,-0.029328,0.093732,0.459837,0.000000,0.067064,-0.053425,0.000000,0.028492,0.056195,0.034094,0.056195,-0.023393,0.039665,-0.053425,-0.029328,-0.029328,-0.029328,0.034094,-0.029328,0.005764,0.098982,0.000000,0.039665,0.093732,0.039665,0.093732,0.217346,0.364161,0.267243,0.109399,0.061644,0.028492,0.124823,0.039665,0.140013,-0.103436,-0.084387,0.124823,5.129625
L25,0.061644,0.093732,-0.035298,0.061644,-0.005797,-0.029328,0.061644,0.034094,-0.029328,1.586045,0.061644,0.000000,0.000000,0.061644,0.011494,0.093732,-0.065695,0.034094,0.039665,0.005764,0.034094,0.061644,0.061644,0.093732,0.061644,0.034094,0.104204,0.098982,0.061644,0.061644,-0.029328,0.093732,0.067064,0.184246,0.537068,0.217346,0.022858,0.034094,0.000000,-0.053425,0.039665,0.231203,-0.090697,0.005764,-0.226038,5.525775
L26,0.154976,0.005764,0.093732,0.028492,-0.029328,-0.065695,-0.065695,0.000000,0.000000,-0.136012,-0.023393,0.000000,0.034094,-0.029328,0.034094,-0.065695,-0.029328,-0.059541,0.000000,0.000000,0.028492,0.124823,0.028492,0.028492,0.000000,0.000000,0.061644,-0.023393,-0.023393,-0.059541,0.000000,0.000000,0.011494,0.098982,-0.162859,0.098982,-0.023393,-0.029328,-0.090697,0.164828,0.034094,0.184246,-0.233311,0.061644,-0.226038,11.326147
L27,0.088455,-0.005797,-0.029328,-0.097046,0.005764,-0.029328,-0.029328,-0.029328,0.061644,0.550491,0.050715,-0.059541,0.000000,0.061644,-0.065695,-0.065695,-0.059541,0.000000,0.005764,-0.090697,-0.029328,0.028492,-0.090697,-0.065695,-0.065695,-0.053425,0.093732,0.061644,-0.059541,-0.029328,-0.059541,-0.023393,-0.053425,-0.090697,0.114567,0.005764,0.028492,-0.023393,0.061644,0.124823,0.034094,0.208001,-0.345181,0.088455,-0.097046,3.561604
L28,0.000000,0.028492,0.028492,0.000000,-0.029328,0.028492,0.028492,0.028492,0.028492,0.034094,0.000000,0.028492,-0.029328,0.000000,0.061644,0.000000,0.034094,0.028492,0.028492,0.000000,0.061644,0.028492,0.034094,0.000000,0.000000,-0.029328,-0.029328,-0.059541,0.028492,0.028492,0.028492,0.028492,-0.035298,-0.059541,-0.023393,0.061644,0.000000,0.000000,0.000000,-0.053425,0.000000,0.302030,-0.417093,0.124823,-0.084387,10.111491
L29,-0.029328,-0.029328,0.028492,0.028492,-0.059541,-0.029328,-0.065695,0.000000,0.028492,-0.059541,0.000000,-0.029328,0.000000,-0.059541,0.000000,-0.065695,0.000000,0.000000,0.000000,0.000000,-0.065695,0.000000,0.000000,0.000000,-0.059541,0.000000,-0.065695,-0.065695,0.000000,0.000000,0.028492,0.000000,-0.029328,0.061644,-0.065695,0.028492,0.028492,0.000000,0.000000,0.028492,0.034094,0.067064,-0.345181,0.124823,0.034094,7.399193
L30,0.093732,0.067064,0.000000,0.061644,0.000000,0.000000,0.000000,0.000000,0.028492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028492,0.000000,0.028492,0.028492,-0.301261,0.093732,0.056195,11.748212
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.071011
