layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: the,10: following,11: condition,12::,13: rheumatoid,14: arthritis,15:.,"16:
",17:Com,18:pose,19: a,20: brief,21: presentatio,22: about,23: its,24: demographic,25: information,26: and,27: past,28: medical,29: history,30:.,31: You,32: must,33: start,34: with,35: the,36: following,37::,"38: """,39:Gender,40::,"41: ""","42:
",43:<,44:|,45:ass,46:istant,47:|>,"48:
",49:Gender,50::
L12,-0.004124,-0.127085,0.183692,0.120067,-0.283575,-0.565808,0.312073,-0.289055,-0.108566,-0.025001,-0.103990,0.082888,0.275260,0.169899,0.210721,0.210721,0.176819,-0.004124,0.176819,0.000000,-0.339770,-0.449636,-0.194744,-0.573080,0.353377,-0.059339,0.120067,-0.004124,-0.063716,-0.405465,0.537624,0.204032,-0.160343,0.431194,-0.150727,0.155913,-0.214947,0.120067,0.287682,1.210127,1.376992,-1.202601,-1.334178,0.436528,0.090435,0.090435,0.183692,-0.405465,0.387471,1.694596,2.271234
L13,-0.189756,0.024391,0.148846,-0.063716,-0.251314,-0.099434,-0.068111,-0.131769,-0.230371,0.120067,-0.029230,-0.316912,-0.251314,-0.783531,0.120067,-0.322577,0.004107,0.148846,-0.345567,-0.155523,-0.068111,0.059898,-0.220062,0.141728,0.503391,0.960563,0.169899,-0.417888,-0.160343,-0.580406,0.204032,-0.004124,0.059898,0.090435,0.488353,-0.099434,-0.099434,0.381869,0.584581,-0.063716,-0.774562,0.155913,-0.381074,0.420441,0.120067,0.148846,-0.037740,-0.381074,-0.008265,-0.369097,3.591602
L14,-0.033476,0.183692,0.024391,0.190518,0.409572,-0.443205,0.120067,-0.131769,0.059898,0.059898,0.155913,0.028399,0.024391,1.164949,0.556672,-0.037740,-0.099434,0.024391,0.024391,-0.004124,0.090435,0.312073,-0.099434,-0.127085,-0.684950,-0.381074,0.611732,0.028399,0.148846,0.719545,-0.072526,-0.068111,-0.059339,0.183692,0.404092,0.155913,-0.033476,-0.235566,-0.155523,-0.081415,0.306031,0.431194,-1.432618,0.237038,0.075283,-0.025001,-0.025001,-0.664748,-0.456109,2.336966,0.223966
L15,0.028399,0.067620,0.059898,0.090435,0.155913,0.020367,-0.072526,0.052116,-0.033476,0.036368,-0.063716,0.237038,-0.037740,1.190299,0.243511,0.148846,0.398583,0.082888,0.275260,0.028399,0.120067,0.090435,-0.103990,0.012270,-0.063716,0.028399,0.204032,0.016327,0.256331,0.513292,0.112741,0.004107,-0.122423,-0.099434,0.370570,0.004107,-0.068111,-1.027153,0.082888,2.243682,1.417689,-0.294564,0.112741,0.398583,0.347580,0.032391,-0.004124,-0.469181,1.045078,1.234370,0.059898
L16,0.032391,-0.184794,0.024391,0.090435,-0.090384,-0.122423,0.067620,-0.328275,0.028399,0.243511,0.000000,0.210721,0.210721,0.183692,0.059898,0.335884,0.249942,0.032391,-0.059339,0.024391,0.059898,0.090435,-0.059339,-0.090384,-0.495849,0.024391,0.210721,-0.122423,0.398583,0.508353,0.162930,-0.004124,-0.063716,0.148846,-0.037740,0.127339,0.059898,-0.351398,-0.334006,0.478200,-0.179855,-0.393195,0.684883,0.766520,0.275260,0.082888,0.217366,-1.188996,1.781418,0.895500,3.942899
L17,0.090435,0.148846,0.148846,-0.094899,0.059898,0.090435,-0.160343,0.112741,0.120067,0.052116,0.183692,0.004107,0.097926,1.622521,0.197298,-0.305676,0.127339,0.090435,-0.099434,0.082888,0.032391,-0.122423,-0.103990,-0.094899,-0.399311,-0.204794,-0.063716,0.097926,0.059898,0.020367,0.409572,0.148846,-0.225203,-0.033476,0.190518,0.120067,0.090435,0.312073,0.176819,0.532804,0.112741,0.190518,-0.495849,0.169899,0.036368,-0.008265,0.120067,-0.179855,-0.300105,0.059898,-1.202601
L18,0.032391,0.120067,0.183692,0.148846,-0.033476,0.059898,0.176819,0.299952,0.527962,0.243511,0.052116,0.000000,0.602763,12.039839,5.697383,0.467944,0.000000,0.090435,0.052116,0.097926,-0.160343,-0.316912,-0.283575,0.766520,0.415021,0.249942,0.000000,0.148846,0.217366,0.090435,-0.300105,0.090435,0.210721,0.059898,0.268990,0.341749,0.148846,0.672356,-0.230371,5.239218,0.329984,1.133656,-1.062244,-0.345567,-0.068111,-0.072526,-0.189756,-0.194744,1.429582,2.700891,1.248639
L19,-0.094899,-0.085890,-0.072526,0.059898,0.020367,0.155913,0.148846,0.024391,0.090435,0.048202,-0.033476,0.059898,0.306031,0.105360,-0.393195,0.127339,-0.029230,0.148846,0.120067,-0.037740,0.210721,0.217366,0.148846,0.059898,0.090435,0.141728,0.082888,0.176819,0.067620,0.625036,0.697254,0.082888,0.090435,0.120067,0.127339,0.155913,0.052116,0.262681,0.256331,2.709695,0.404092,1.635434,1.730234,0.398583,-0.033476,-0.004124,0.183692,-0.063716,2.467960,3.890475,6.113454
L20,0.148846,0.183692,0.097926,0.059898,0.243511,-0.068111,0.243511,0.028399,0.364872,0.059898,0.059898,0.028399,0.237038,-1.098612,-0.897941,-0.008265,0.059898,0.217366,-0.004124,0.059898,0.217366,-0.072526,-0.225203,-0.580406,-0.565808,-0.214947,-0.322577,0.090435,0.275260,0.668146,0.120067,0.028399,0.183692,0.148846,0.148846,0.120067,0.217366,0.052116,0.082888,0.329984,1.338892,0.818673,0.059898,0.148846,0.217366,0.059898,0.183692,-0.641031,0.766520,1.073611,8.850714
L21,0.032391,0.120067,0.090435,0.090435,0.000000,0.148846,0.120067,0.589157,0.409572,0.127339,0.090435,0.183692,0.127339,2.291412,2.208139,1.133656,0.210721,0.155913,0.148846,0.249942,-0.029230,-0.008265,0.431194,0.689023,0.462776,0.120067,-0.004124,0.155913,0.090435,0.148846,0.097926,0.127339,0.082888,-0.029230,0.090435,0.364872,0.052116,0.024391,-0.033476,0.915467,-0.059339,-0.602712,-0.648874,0.032391,0.120067,0.052116,0.120067,-0.357263,-0.090384,0.398583,9.194707
L22,0.120067,0.120067,0.067620,0.090435,0.120067,0.210721,0.120067,-0.225203,-0.008265,0.028399,0.090435,-0.033476,0.082888,-0.993251,-0.820232,-0.351398,0.120067,0.059898,0.090435,-0.033476,0.090435,0.059898,0.032391,-0.261953,-0.328275,-0.094899,0.000000,0.120067,0.120067,0.082888,-0.063716,0.148846,0.155913,0.059898,0.090435,0.059898,0.028399,0.028399,-0.184794,-0.405465,0.120067,0.353377,-0.042023,0.120067,0.148846,-0.068111,0.082888,-0.644945,-0.246037,0.881963,7.552617
L23,-0.063716,0.059898,0.024391,0.120067,0.032391,0.059898,0.059898,-0.042023,-0.037740,0.120067,0.210721,0.120067,0.059898,-1.258954,-0.580406,-0.194744,0.090435,0.243511,0.217366,0.217366,0.032391,0.090435,0.148846,-0.068111,-0.008265,0.120067,0.059898,0.090435,0.120067,0.059898,-0.004124,0.028399,0.120067,0.148846,0.090435,-0.004124,0.120067,0.082888,-0.214947,-1.136352,0.044273,0.281490,-0.713938,-0.029230,0.127339,0.090435,0.162930,0.120067,0.210721,0.503391,1.968004
L24,0.127339,0.183692,0.148846,0.059898,0.059898,1.112236,0.120067,0.210721,0.183692,-0.033476,0.090435,0.210721,0.059898,0.112741,0.190518,-0.004124,0.082888,0.052116,0.000000,0.028399,0.090435,0.090435,-0.008265,0.059898,0.162930,0.090435,0.052116,0.024391,0.120067,0.120067,-0.004124,0.059898,0.024391,0.090435,0.028399,0.082888,0.059898,0.183692,0.028399,0.701344,0.532804,0.404092,0.176819,-0.029230,0.312073,0.090435,0.217366,-1.111034,-0.094899,0.672356,5.810857
L25,0.148846,0.127339,0.028399,0.090435,-0.094899,0.090435,0.148846,0.217366,0.059898,0.024391,-0.099434,0.090435,0.059898,1.056589,1.095865,0.217366,0.090435,0.059898,0.090435,0.090435,0.067620,0.090435,0.028399,0.082888,0.148846,0.090435,0.059898,-0.004124,0.059898,0.028399,0.028399,0.059898,0.059898,0.059898,0.028399,-0.004124,0.028399,0.090435,0.112741,0.556672,0.493390,0.190518,0.127339,0.082888,0.090435,0.127339,0.210721,-0.783531,0.404092,0.097926,6.980604
L26,0.082888,0.059898,0.059898,0.059898,-0.033476,0.082888,0.059898,0.028399,0.120067,0.120067,0.120067,0.059898,0.024391,-0.004124,-0.311278,0.052116,0.090435,0.090435,0.120067,0.090435,0.024391,0.067620,0.090435,0.059898,0.000000,0.148846,0.059898,0.090435,0.082888,0.183692,0.059898,0.059898,0.120067,0.059898,-0.033476,0.120067,0.082888,0.183692,0.210721,-0.127085,0.176819,-0.099434,0.028399,0.120067,0.183692,0.059898,0.197298,-1.074220,0.210721,-0.351398,8.459706
L27,0.090435,0.059898,0.059898,0.090435,0.090435,0.090435,0.082888,0.183692,0.120067,0.090435,0.090435,0.148846,0.090435,0.243511,0.370570,0.090435,0.120067,0.090435,0.090435,0.090435,0.067620,0.090435,0.090435,0.090435,0.000000,0.090435,0.090435,0.082888,0.090435,0.090435,0.120067,0.059898,0.090435,0.059898,0.090435,0.090435,0.090435,0.090435,0.059898,0.148846,0.183692,0.120067,0.059898,0.090435,0.059898,0.148846,0.287682,-1.621860,0.329984,-0.230371,3.776585
L28,0.090435,0.090435,0.059898,0.024391,0.059898,0.059898,0.090435,0.000000,0.120067,0.090435,0.052116,0.120067,0.032391,0.120067,0.090435,0.090435,0.059898,0.090435,0.059898,0.090435,0.090435,0.059898,0.090435,0.090435,0.059898,0.090435,0.090435,0.090435,0.090435,0.059898,0.090435,0.120067,0.090435,0.090435,0.032391,0.090435,0.090435,0.059898,0.020367,-0.033476,0.141728,0.024391,0.120067,0.090435,0.059898,0.090435,0.376235,-1.686398,0.176819,-0.155523,7.989829
L29,0.090435,0.090435,0.090435,0.032391,0.032391,0.000000,0.000000,0.090435,0.090435,0.090435,0.004107,0.000000,0.032391,0.024391,0.090435,0.004107,0.000000,0.090435,0.004107,0.082888,0.000000,0.090435,0.090435,0.090435,0.032391,0.004107,0.090435,0.000000,0.090435,0.032391,0.082888,0.090435,0.004107,0.004107,0.000000,0.000000,0.090435,0.032391,0.004107,-0.029230,0.032391,0.090435,0.004107,0.032391,0.059898,0.112741,0.183692,-1.561235,0.090435,0.090435,9.298687
L30,0.155913,0.148846,0.090435,0.000000,0.000000,0.004107,0.032391,0.000000,0.004107,0.004107,0.090435,0.004107,0.004107,0.024391,0.000000,0.004107,0.090435,0.090435,0.004107,0.004107,0.004107,0.090435,0.090435,0.004107,0.000000,0.000000,0.004107,0.000000,0.004107,0.004107,0.000000,0.004107,0.000000,0.004107,0.004107,0.004107,0.004107,0.090435,0.000000,0.000000,0.000000,0.004107,0.090435,0.032391,0.052116,0.059898,0.032391,-0.668756,0.082888,0.059898,10.784700
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.111683
