layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Condition,7::,8: rheumatoid,9: arthritis,10:.,"11:
",12:Create,13: a,14: short,15: patient,16: overview,17: including,18: demographic,19: first,"20:,",21: then,22: key,23: past,24: medical,25: history,26:.,27: Start,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L21,0.058684,0.123869,-0.033523,-0.033523,-0.062343,0.094311,0.058684,0.189621,0.665290,1.192923,0.595086,0.157285,0.119003,0.185065,0.119003,0.341171,0.220943,0.063851,0.216528,0.058684,0.123869,0.089298,0.000000,0.123869,0.094311,0.063851,0.089298,0.032435,0.089298,0.027102,0.027102,0.157285,1.138115,0.094311,0.063851,-0.027857,-0.033523,0.063851,0.152580,0.000000,-0.027857,0.021740,0.123869,4.356850
L22,0.000000,0.094311,0.058684,0.089298,0.027102,0.058684,-0.033523,0.032435,-0.248180,-0.379701,-0.033523,0.000000,0.094311,0.032435,-0.027857,-0.128833,0.027102,0.000000,-0.227273,0.000000,0.032435,0.058684,0.063851,0.032435,0.058684,0.094311,0.027102,0.063851,0.119003,0.032435,0.058684,0.094311,-0.154151,0.220943,0.089298,0.005479,-0.098061,0.185065,0.027102,0.027102,0.037740,0.063851,-0.269533,2.427425
L23,0.032435,-0.056512,0.063851,0.032435,0.089298,0.094311,0.147851,-0.005510,-0.321205,-0.512659,-0.092019,0.027102,0.058684,0.032435,0.032435,-0.092019,0.123869,0.027102,0.032435,0.094311,-0.068208,0.000000,0.063851,0.063851,0.119003,-0.033523,-0.033523,0.027102,-0.005510,-0.033523,0.119003,-0.160582,-0.284026,0.348953,-0.005510,0.000000,0.058684,0.032435,0.123869,0.063851,0.063851,-0.160582,-0.074108,0.787458
L24,0.099298,0.094311,0.032435,0.000000,-0.033523,1.087562,0.089298,0.000000,0.185065,0.157285,0.000000,0.000000,0.119003,0.063851,0.032435,0.089298,0.032435,0.000000,-0.033523,0.089298,0.089298,0.000000,0.032435,0.032435,0.000000,0.063851,0.032435,0.063851,0.094311,-0.033523,0.063851,0.123869,0.416394,0.409121,0.152580,0.027102,0.089298,0.185065,-0.027857,0.157285,-0.080043,-0.092019,0.238411,6.073576
L25,0.027102,0.089298,0.058684,0.063851,-0.033523,0.032435,0.089298,-0.033523,0.499776,0.526093,0.251314,0.123869,0.058684,0.094311,0.032435,0.185065,0.032435,0.147851,0.123869,-0.062343,0.063851,0.032435,0.063851,0.053489,0.032435,0.027102,0.032435,0.000000,0.053489,0.000000,0.000000,0.119003,0.821859,0.216528,0.152580,0.032435,0.094311,-0.062343,0.032435,0.212094,-0.186727,0.152580,-0.213574,5.602362
L26,0.032435,0.119003,0.063851,-0.033523,0.000000,0.032435,0.063851,0.000000,-0.068208,-0.220400,-0.062343,0.032435,0.000000,0.032435,0.089298,0.027102,0.032435,0.063851,0.089298,0.027102,0.032435,0.000000,0.000000,0.032435,0.053489,0.000000,0.032435,0.032435,-0.033523,0.089298,0.032435,0.099298,-0.098061,0.152580,0.000000,0.032435,0.027102,0.128712,0.032435,0.161969,-0.116410,0.032435,-0.412357,11.350192
L27,0.089298,-0.033523,0.000000,0.000000,0.000000,0.032435,0.053489,0.000000,0.220943,0.220943,0.063851,0.063851,-0.033523,0.000000,0.000000,0.000000,-0.033523,0.000000,0.000000,0.000000,0.094311,0.032435,0.000000,0.000000,0.032435,0.000000,0.032435,0.000000,0.000000,0.032435,0.032435,-0.062343,0.123869,0.212094,0.000000,0.032435,0.119003,0.089298,0.032435,0.157285,-0.306167,0.123869,-0.104140,4.310725
L28,0.000000,0.000000,0.032435,0.032435,0.027102,0.000000,0.000000,0.032435,0.032435,0.000000,0.032435,0.032435,0.000000,-0.033523,0.032435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027102,-0.033523,0.000000,0.000000,0.032435,0.032435,0.032435,0.000000,0.032435,0.032435,0.058684,0.000000,0.000000,0.032435,-0.033523,-0.005510,0.255579,-0.489982,0.027102,-0.092019,9.880002
L29,0.032435,0.000000,0.032435,0.032435,0.089298,0.000000,0.032435,0.000000,0.032435,0.032435,0.000000,0.032435,0.000000,0.000000,0.000000,0.032435,0.000000,0.032435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032435,0.000000,0.032435,0.000000,0.032435,0.032435,0.032435,0.000000,0.063851,0.032435,0.032435,0.032435,0.032435,0.032435,0.063851,-0.395896,0.123869,0.094311,8.207782
L30,0.094311,0.152580,0.000000,0.000000,0.027102,0.000000,0.000000,0.000000,0.000000,0.032435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027102,0.000000,0.000000,0.000000,0.000000,0.027102,0.027102,0.027102,-0.248180,0.058684,0.058684,12.084833
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.439273
