layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: depression,20:.,21: Start,22: exactly,23: with,24::,"25: """,26:Gender,27::,"28: ""","29:
",30:<,31:|,32:ass,33:istant,34:|>,"35:
",36:Gender,37::
L17,0.019542,-0.006600,-0.054059,-0.061027,0.051286,0.038709,0.019542,0.000000,0.019542,0.019542,0.057516,-0.061027,-0.006600,-0.061027,0.019542,-0.019931,-0.061027,-0.075109,0.006556,0.355973,-0.019931,-0.236350,-0.013243,-0.141057,-0.013243,-0.283258,0.318414,0.318414,-0.068043,-0.523971,0.185581,0.075975,-0.006600,0.174593,0.106004,0.497524,0.762939,2.248388
L18,0.045017,0.025972,0.051286,0.057516,0.088095,0.057516,-0.006600,0.006556,-0.141057,0.000000,-0.156322,0.038709,-0.033443,0.146584,0.196449,0.045017,0.146584,0.392173,0.163483,0.775134,0.342053,-0.075109,-0.019931,0.135156,0.082054,0.223115,0.342053,0.289289,-0.013243,-1.121608,0.191030,0.111903,0.106004,0.157882,0.000000,0.673142,0.952381,0.129393
L19,-0.047140,-0.047140,-0.006600,0.000000,0.013070,-0.156322,-0.006600,0.025972,0.146584,0.254202,0.051286,0.019542,-0.026664,-0.019931,-0.019931,-0.089393,-0.033443,-0.164042,-0.111209,-0.369855,0.013070,-0.075109,-0.019931,-0.013243,-0.148660,-0.278902,-0.215735,0.140886,-0.164042,-0.236350,0.051286,0.082054,0.032361,0.075975,-0.133511,0.574478,-0.857019,-0.673463
L20,0.045017,-0.019931,-0.054059,0.013070,0.045017,0.106004,0.057516,0.006556,0.063707,0.069860,-0.013243,0.006556,0.025972,0.129393,0.069860,0.000000,-0.047140,-0.156322,0.082054,-0.061027,0.019542,-0.068043,-0.013243,0.006556,-0.033443,-0.133511,-0.433745,0.075975,-0.156322,-0.454254,0.045017,0.057516,0.019542,0.100070,0.025972,0.279389,-0.496579,-0.857019
L21,0.025972,0.063707,-0.019931,0.019542,-0.019931,0.075975,0.013070,0.006556,0.082054,0.069860,0.045017,0.051286,0.013070,0.032361,0.075975,0.038709,0.019542,0.088095,0.051286,0.355973,0.025972,0.006556,0.019542,0.038709,-0.006600,0.075975,-0.006600,0.409793,0.264353,0.082054,0.152249,0.063707,0.045017,0.075975,0.088095,0.448338,0.163483,-0.191544
L22,0.019542,0.057516,-0.047140,-0.006600,0.051286,0.013070,0.019542,0.013070,-0.126021,0.006556,-0.033443,0.000000,0.006556,-0.061027,0.019542,0.025972,0.000000,0.000000,-0.006600,-0.156322,-0.082226,-0.019931,0.000000,-0.006600,0.006556,-0.033443,0.051286,0.100070,0.051286,0.025972,0.000000,0.117767,0.051286,0.038709,-0.033443,0.223115,-1.131756,-2.027192
L23,0.006556,0.019542,-0.040268,-0.006600,0.006556,0.006556,0.032361,-0.006600,-0.006600,0.025972,0.000000,0.025972,0.013070,0.006556,0.006556,-0.047140,0.006556,0.025972,0.038709,-0.236350,-0.061027,0.032361,0.032361,0.000000,-0.019931,-0.019931,0.327937,0.360571,-0.148660,0.006556,0.045017,0.152249,0.019542,0.243946,0.313619,0.185581,-0.133511,0.019542
L24,0.019542,0.032361,-0.019931,0.032361,0.019542,0.135156,0.019542,0.032361,0.082054,0.025972,0.045017,0.013070,0.063707,0.032361,0.057516,0.032361,0.038709,0.032361,0.025972,0.233585,-0.054059,-0.013243,0.019542,0.038709,0.032361,0.106004,-0.068043,0.082054,0.057516,0.000000,-0.013243,0.038709,0.013070,0.163483,-0.540774,0.106004,-0.433745,1.405730
L25,0.019542,0.025972,-0.033443,0.013070,0.025972,0.038709,0.038709,0.013070,0.063707,0.069860,0.051286,0.019542,0.051286,-0.006600,0.057516,0.032361,0.051286,0.019542,0.000000,0.013070,0.069860,0.038709,0.000000,0.051286,0.045017,0.088095,-0.089393,0.019542,0.157882,0.019542,0.013070,0.045017,0.094100,0.094100,-1.034633,-0.228053,-0.623152,-1.439895
L26,0.069860,0.069860,0.063707,0.045017,0.038709,0.025972,-0.006600,0.032361,0.063707,0.094100,0.057516,0.032361,0.051286,0.063707,0.045017,0.038709,0.032361,0.038709,0.063707,0.185581,0.069860,0.019542,0.032361,0.025972,0.019542,0.106004,0.082054,0.057516,0.032361,0.006556,0.000000,0.123597,0.057516,0.233585,-2.624129,-0.061027,-0.089393,0.075975
L27,0.025972,0.019542,0.032361,0.013070,0.057516,0.032361,0.051286,0.051286,0.032361,0.032361,0.038709,0.032361,0.032361,0.025972,0.025972,0.025972,0.038709,0.038709,0.038709,0.088095,0.038709,0.025972,0.019542,0.038709,0.019542,0.075975,-0.033443,0.100070,0.025972,0.019542,0.000000,0.057516,0.051286,0.228363,-1.691034,-0.089393,0.111903,-0.103884
L28,0.038709,0.045017,0.019542,0.019542,0.013070,0.025972,0.019542,0.006556,0.019542,0.025972,0.000000,0.000000,0.019542,0.013070,0.038709,0.019542,0.019542,0.019542,0.038709,0.013070,0.038709,0.025972,0.019542,0.006556,0.013070,0.057516,-0.040268,0.082054,0.032361,0.013070,0.025972,0.051286,0.038709,0.228363,-2.132430,0.006556,-0.054059,-0.929314
L29,0.013070,0.013070,0.013070,0.013070,0.000000,0.000000,0.025972,0.006556,0.006556,0.025972,0.025972,0.025972,0.025972,0.032361,0.013070,0.013070,0.019542,0.025972,0.019542,-0.047140,0.045017,0.025972,0.006556,0.025972,0.019542,0.025972,0.038709,0.038709,0.019542,0.013070,0.025972,0.051286,0.013070,0.038709,-2.132430,0.123597,0.032361,0.769055
L30,0.038709,0.032361,0.013070,0.032361,-0.006600,0.019542,0.019542,0.019542,0.019542,0.025972,0.006556,0.025972,0.019542,0.019542,0.013070,0.025972,0.019542,0.025972,0.013070,-0.006600,0.019542,0.013070,0.025972,0.019542,0.013070,0.000000,0.025972,0.025972,0.025972,0.019542,0.025972,0.019542,0.032361,0.019542,-0.346330,0.025972,0.006556,-0.323345
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.074972
