layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: rheumatoid,10: arthritis,11:.,12: Write,13: a,14: concise,15: clinical,16: summary,17: covering,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: ,"26:
",27:Begin,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L11,0.000000,0.063312,0.184498,0.122854,-0.060625,-0.067593,0.122854,0.063312,0.189918,4.448478,1.381380,0.063312,0.189918,0.122854,0.057158,0.247677,-0.067593,0.122854,-0.060625,0.063312,0.057158,0.063312,0.000000,0.000000,0.063312,0.189918,0.311896,-0.060625,0.057158,0.311896,0.122854,0.316670,0.940824,-0.190196,0.134348,-0.125163,0.311896,0.063312,0.063312,0.000000,-0.125163,-0.067593,0.935709,0.498991
L12,0.000000,0.000000,0.063312,0.063312,0.000000,0.000000,0.189918,-0.251314,0.000000,0.750306,0.247677,0.184498,0.063312,0.122854,-0.125163,0.122854,0.307100,0.122854,0.128617,0.128617,0.000000,-0.125163,-0.060625,-0.067593,-0.067593,0.063312,0.063312,-0.060625,0.063312,0.000000,-0.125163,0.189918,0.189918,0.242562,0.000000,-0.060625,0.128617,0.000000,0.063312,-0.060625,0.000000,0.693147,-0.285506,0.211309
L13,0.122854,-0.060625,0.122854,0.063312,0.000000,0.000000,0.063312,0.000000,0.000000,-0.311939,-0.316413,0.000000,0.000000,0.000000,0.000000,-0.125163,0.247677,0.122854,0.122854,0.247677,-0.060625,-0.125163,0.000000,-0.060625,0.057158,0.122854,-0.006557,-0.006557,-0.067593,-0.067593,-0.067593,-0.132598,0.877645,0.247677,0.247677,-0.186251,-0.060625,0.000000,-0.060625,0.063312,0.057158,-0.348307,-0.789111,1.694596
L14,0.063312,0.063312,0.063312,0.000000,0.122854,-0.067593,0.000000,0.000000,0.063312,0.247677,0.000000,0.189918,-0.067593,0.122854,0.063312,0.000000,0.000000,0.122854,-0.060625,0.000000,0.063312,0.000000,0.057158,0.057158,0.000000,0.000000,-0.125163,-0.060625,0.063312,0.000000,-0.125163,-0.125163,-0.125163,0.122854,0.000000,-0.410379,0.189918,0.122854,0.063312,0.000000,-0.186251,-0.125163,-0.006557,0.247677
L15,0.000000,0.000000,0.000000,0.122854,0.122854,0.000000,0.063312,0.063312,-0.125163,0.122854,0.122854,-0.060625,0.000000,-0.060625,0.000000,-0.060625,0.184498,0.063312,-0.060625,0.000000,0.122854,0.000000,0.063312,-0.067593,0.063312,0.057158,0.063312,0.000000,0.122854,0.184498,-0.006557,-0.222327,0.063312,0.000000,-0.381251,-0.255525,-0.060625,0.122854,0.000000,0.057158,-0.067593,-0.006557,0.877645,1.444995
L16,0.063312,0.000000,0.063312,0.063312,-0.060625,0.000000,0.000000,-0.381251,-0.067593,0.189918,-0.067593,0.122854,0.063312,-0.060625,0.000000,-0.060625,-0.125163,0.000000,-0.125163,0.063312,0.000000,0.000000,0.063312,0.000000,0.000000,0.000000,0.063312,-0.060625,0.057158,0.063312,0.000000,0.122854,-0.190196,0.063312,-0.060625,-0.564530,0.122854,0.122854,0.057158,0.189918,-0.311939,-0.190196,-0.570293,0.179048
L17,0.122854,0.122854,0.063312,0.000000,0.000000,0.000000,-0.186251,0.000000,-0.125163,0.560549,-0.067593,0.000000,0.000000,0.057158,-0.060625,0.000000,0.057158,0.000000,-0.190196,-0.006557,0.057158,0.000000,0.057158,0.063312,0.063312,0.000000,-0.067593,0.000000,0.000000,-0.060625,-0.125163,-0.125163,0.625554,0.063312,-0.060625,-0.629835,0.189918,0.122854,0.063312,0.128617,0.122854,-0.194156,0.247677,0.883065
L18,0.189918,0.063312,0.000000,0.063312,-0.060625,0.122854,0.247677,1.067636,0.816001,11.763707,3.885397,1.820747,0.247677,0.128617,0.000000,0.376734,0.189918,-0.060625,0.376734,0.311896,0.189918,0.316670,0.311896,0.376734,0.189918,0.122854,0.316670,-0.125163,0.000000,0.063312,0.000000,0.057158,5.446315,0.063312,0.057158,-0.376478,0.184498,0.128617,0.063312,0.000000,0.063312,0.247677,2.131184,1.504803
L19,0.000000,0.000000,0.057158,-0.125163,0.063312,0.189918,0.000000,-0.222327,0.000000,-0.067593,-0.190196,-0.125163,0.122854,-0.060625,-0.060625,-0.060625,0.063312,0.063312,-0.125163,0.000000,0.122854,0.063312,0.122854,-0.060625,0.189918,0.000000,-0.060625,0.000000,0.000000,0.000000,-0.125163,-0.376478,-0.259753,-0.125163,-0.222327,-0.222327,-0.067593,-0.060625,0.063312,0.063312,0.063312,0.437622,-0.060625,2.562936
L20,0.000000,0.000000,0.000000,0.122854,0.063312,0.000000,0.063312,-0.255525,-0.060625,-0.410379,-0.311939,-0.251314,0.063312,0.000000,0.122854,0.000000,-0.067593,0.000000,0.000000,-0.067593,0.057158,-0.060625,0.000000,-0.067593,0.000000,0.000000,-0.190196,0.000000,0.000000,0.063312,-0.125163,-0.125163,-0.476561,0.063312,-0.067593,-0.067593,0.063312,0.057158,0.000000,0.128617,0.063312,0.057158,-0.660990,4.072874
L21,-0.060625,0.122854,-0.125163,-0.060625,-0.060625,-0.125163,0.000000,0.567984,0.000000,1.510592,1.067636,0.750306,0.063312,0.000000,-0.125163,0.000000,0.000000,0.063312,0.189918,-0.060625,0.000000,0.122854,-0.067593,0.063312,0.122854,0.000000,0.122854,-0.006557,0.063312,0.000000,0.000000,-0.060625,1.381380,0.184498,0.000000,0.057158,-0.125163,0.000000,0.000000,-0.060625,-0.186251,-0.226417,-0.348307,5.095593
L22,0.000000,0.000000,-0.067593,0.063312,0.057158,0.063312,-0.060625,-0.316413,-0.067593,-0.660990,-0.536199,-0.316413,0.000000,0.063312,0.000000,-0.060625,0.000000,0.000000,-0.343688,-0.060625,0.000000,0.000000,-0.125163,-0.060625,0.000000,-0.125163,-0.281167,0.000000,0.057158,-0.125163,0.000000,-0.060625,-0.311939,-0.125163,-0.125163,-0.067593,0.000000,0.000000,0.063312,0.000000,0.122854,0.184498,-0.706305,1.040300
L23,0.057158,0.000000,0.000000,-0.060625,-0.125163,0.057158,-0.125163,-0.255525,-0.067593,-0.818310,-0.753772,-0.311939,-0.060625,-0.067593,-0.125163,-0.060625,0.057158,0.000000,0.000000,-0.125163,-0.060625,-0.060625,0.057158,0.000000,-0.060625,-0.060625,-0.125163,-0.060625,-0.060625,-0.060625,-0.060625,-0.376478,-0.471312,0.316670,0.000000,-0.125163,0.000000,0.000000,0.063312,0.189918,0.000000,0.000000,-0.095964,1.128657
L24,0.063312,0.000000,0.057158,0.000000,-0.060625,0.625554,0.122854,0.122854,0.000000,0.189918,0.247677,0.000000,0.000000,0.000000,0.063312,0.000000,0.057158,0.057158,0.063312,0.122854,0.000000,0.063312,0.000000,0.063312,0.000000,-0.125163,0.000000,-0.060625,0.000000,0.000000,0.122854,0.063312,0.567984,0.189918,0.000000,0.000000,0.000000,0.000000,-0.060625,0.252766,-0.117783,0.000000,0.184498,5.010069
L25,-0.060625,-0.006557,0.063312,-0.060625,-0.125163,0.000000,0.122854,0.128617,-0.067593,0.686590,0.498991,0.063312,0.063312,0.000000,0.000000,0.063312,0.122854,0.000000,0.122854,0.063312,0.000000,0.122854,0.122854,0.063312,0.000000,-0.060625,0.189918,-0.060625,0.063312,0.000000,0.000000,0.063312,0.756459,0.311896,0.000000,0.000000,0.000000,0.122854,0.063312,0.128617,-0.125163,0.057158,-0.508649,3.273810
L26,-0.060625,0.000000,-0.060625,0.000000,-0.125163,0.057158,-0.060625,-0.125163,0.000000,-0.348307,-0.218254,-0.060625,0.000000,0.000000,0.063312,-0.125163,0.063312,0.000000,-0.125163,-0.060625,0.000000,-0.060625,0.057158,0.000000,-0.125163,-0.125163,0.000000,0.000000,0.000000,0.000000,0.000000,0.063312,-0.218254,0.063312,0.000000,-0.060625,0.000000,0.000000,0.000000,0.069429,-0.182322,0.000000,-0.285506,10.597903
L27,0.063312,0.000000,0.000000,0.063312,0.000000,0.000000,0.057158,0.000000,0.057158,0.189918,0.247677,0.000000,0.063312,0.000000,0.063312,0.000000,0.063312,0.063312,0.000000,0.000000,0.063312,0.057158,0.000000,-0.060625,0.000000,0.063312,0.000000,0.000000,0.063312,0.063312,0.000000,0.000000,0.063312,0.000000,0.063312,-0.060625,0.063312,0.057158,0.063312,0.252766,-0.182322,0.063312,-0.067593,3.477311
L28,0.000000,-0.006557,0.057158,0.057158,-0.060625,0.063312,-0.060625,0.000000,0.000000,0.063312,0.000000,0.000000,0.000000,0.063312,0.063312,0.063312,0.063312,0.000000,0.057158,0.000000,0.063312,0.000000,0.000000,0.000000,0.000000,-0.060625,0.063312,0.063312,0.063312,0.000000,0.000000,0.000000,0.000000,0.000000,0.063312,0.000000,-0.125163,0.057158,0.000000,0.189918,-0.371727,0.057158,0.000000,9.571532
L29,-0.060625,-0.060625,0.000000,0.000000,-0.060625,-0.060625,0.000000,-0.060625,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060625,0.000000,0.000000,0.000000,0.000000,-0.060625,0.000000,0.000000,-0.060625,0.000000,-0.060625,0.000000,-0.060625,-0.060625,0.000000,-0.060625,0.000000,-0.060625,0.000000,-0.060625,0.000000,0.000000,-0.060625,0.000000,0.000000,0.000000,0.063312,-0.242946,0.063312,0.063312,7.485092
L30,0.063312,0.063312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060625,0.000000,-0.067593,0.000000,-0.060625,11.665728
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.574785
