layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Generate,7: a,8: concise,9: patient,10: summary,11: for,12: depression,13:.,"14:
",15:State,16: demographic,17: details,18: first,19: and,20: then,21: important,22: prior,23: medical,24: conditions,25:.,26: Begin,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L14,0.000000,-0.061875,-0.072571,-0.030459,0.029559,-0.349557,-0.088831,-0.088831,-0.168419,-0.192372,0.004988,-0.235722,0.090754,-0.162519,-0.122168,-0.035627,-0.030459,0.104360,0.019803,0.067659,-0.015114,0.058269,0.019803,-0.116534,0.108854,-0.242072,-0.133531,-0.180324,-0.116534,0.122218,-0.588787,-0.088831,0.178146,0.104360,-0.025318,0.014889,-0.088831,-0.168419,-0.105361,-0.040822,0.081580,-0.261365
L15,-0.040822,-0.061875,-0.015114,-0.061875,0.029559,-0.077962,0.014889,-0.061875,-0.025318,0.090754,-0.035627,-0.099820,-0.083382,-0.110932,-0.168419,0.029559,-0.198451,-0.294371,-0.094311,-0.025318,0.034401,-0.040822,-0.133531,-0.010050,-0.168419,-0.122168,-0.030459,-0.030459,-0.015114,-0.094311,0.385262,0.385262,0.144100,0.048790,-0.204567,0.053541,-0.061875,-0.077962,-0.180324,-0.077962,0.708036,0.970779
L16,-0.046044,0.014889,-0.040822,0.034401,0.034401,-0.046044,-0.030459,-0.020203,-0.099820,-0.020203,-0.030459,0.144100,-0.301105,-0.229413,-0.025318,-0.122168,-0.116534,-0.094311,-0.133531,0.044017,0.067659,-0.030459,0.004988,0.009950,-0.139262,-0.040822,-0.083382,-0.030459,-0.242072,-0.127833,-0.145026,-0.005013,-0.122168,-0.342490,0.053541,0.034401,0.000000,0.095310,-0.186330,0.029559,0.246860,0.378436
L17,-0.040822,-0.046044,-0.127833,-0.046044,0.004988,-0.061875,0.044017,-0.094311,-0.025318,0.048790,0.165514,-0.145026,0.211071,0.081580,0.039221,0.019803,0.307485,0.227136,0.039221,0.076961,-0.030459,0.062975,-0.025318,-0.005013,0.024693,-0.005013,-0.030459,0.058269,0.157004,0.161268,0.593327,0.009950,0.024693,0.117783,-0.056570,-0.015114,0.000000,0.095310,-0.010050,-0.254892,0.722706,0.936093
L18,-0.056570,0.019803,-0.056570,-0.105361,-0.040822,0.014889,0.058269,-0.020203,-0.030459,0.285179,0.350657,-0.229413,9.087987,0.900161,0.254642,0.014889,0.506818,0.165514,0.254642,0.378436,0.113329,0.090754,0.161268,0.004988,0.081580,-0.168419,-0.010050,-0.025318,0.144100,0.418710,7.018545,0.169743,0.385262,0.029559,-0.122168,0.099845,-0.040822,-0.061875,-0.061875,0.322083,1.064711,0.553885
L19,-0.122168,-0.094311,-0.110932,-0.162519,-0.005013,-0.229413,-0.046044,-0.094311,-0.099820,-0.105361,-0.030459,-0.083382,-0.584293,-0.281038,0.004988,-0.061875,-0.122168,-0.105361,0.019803,0.211071,0.067659,0.034401,0.086178,0.004988,0.126633,-0.110932,-0.015114,-0.088831,-0.051293,-0.094311,0.788457,0.104360,0.512824,0.169743,-0.210721,0.004988,-0.094311,0.081580,-0.020203,0.425268,0.548121,0.067659
L20,-0.072571,-0.072571,-0.046044,-0.030459,0.067659,-0.127833,0.004988,0.024693,-0.162519,0.165514,-0.083382,-0.122168,-0.663588,-0.349557,-0.077962,0.062975,0.067659,0.086178,0.014889,0.072321,0.000000,0.062975,-0.010050,-0.061875,-0.099820,-0.005013,-0.010050,0.019803,0.039221,0.067659,-0.625489,0.113329,-0.015114,-0.116534,0.039221,0.086178,0.000000,0.067659,0.202941,0.190620,-0.254892,1.401183
L21,-0.072571,-0.099820,-0.046044,-0.072571,-0.204567,-0.040822,-0.061875,0.053541,-0.061875,0.161268,0.131028,0.086178,3.610918,0.802002,0.161268,-0.030459,0.131028,-0.040822,0.194744,0.113329,-0.030459,-0.030459,-0.061875,-0.025318,0.019803,0.058269,-0.094311,0.019803,0.131028,0.262364,2.401525,0.190620,0.157004,0.019803,-0.210721,0.067659,0.000000,-0.056570,0.000000,-0.083382,0.756122,3.052113
L22,0.029559,-0.094311,-0.040822,-0.040822,-0.040822,-0.094311,-0.061875,-0.010050,-0.040822,-0.267879,-0.110932,-0.133531,-0.845141,-0.815315,-0.072571,-0.072571,-0.198451,-0.133531,-0.198451,-0.174353,-0.040822,0.000000,-0.040822,-0.072571,-0.072571,-0.015114,-0.046044,-0.072571,-0.072571,-0.248461,-0.474012,0.099845,-0.094311,-0.210721,-0.072571,-0.040822,-0.040822,-0.186330,0.004988,0.131028,0.173953,1.105257
L23,-0.072571,-0.030459,-0.061875,-0.030459,-0.061875,0.019803,-0.030459,-0.094311,0.029559,-0.077962,0.029559,0.117783,-0.845141,-0.527633,-0.094311,-0.088831,-0.025318,-0.010050,0.029559,-0.030459,-0.061875,-0.015114,0.000000,-0.094311,-0.030459,-0.030459,0.000000,-0.061875,-0.061875,-0.597837,-0.649130,0.392042,-0.088831,-0.040822,0.019803,-0.010050,0.000000,-0.088831,-0.077962,-0.094311,-0.046044,1.609438
L24,0.062975,0.081580,-0.015114,-0.061875,0.053541,0.494696,-0.099820,-0.040822,-0.072571,-0.010050,-0.061875,0.019803,0.451076,0.019803,0.044017,-0.010050,0.048790,-0.067209,0.004988,-0.094311,0.000000,-0.088831,0.014889,0.053541,-0.099820,-0.030459,0.034401,-0.025318,0.034401,0.072321,0.418710,0.285179,0.095310,-0.035627,-0.040822,0.034401,0.029559,0.099845,-0.122168,-0.020203,0.277632,2.223542
L25,-0.030459,0.053541,-0.040822,-0.040822,-0.072571,-0.122168,-0.094311,-0.025318,-0.105361,0.000000,-0.168419,-0.056570,2.278292,0.494696,0.086178,-0.072571,0.062975,-0.010050,-0.061875,-0.030459,0.000000,-0.030459,-0.040822,-0.010050,-0.010050,0.029559,0.029559,0.000000,0.062975,0.095310,0.760806,0.254642,0.019803,0.053541,0.029559,0.053541,0.090754,0.223144,-0.030459,0.144100,0.072321,4.936199
L26,0.076961,0.053541,0.000000,-0.015114,-0.046044,-0.061875,-0.030459,0.014889,0.000000,-0.077962,-0.061875,-0.010050,-0.454130,-0.046044,-0.061875,-0.061875,-0.030459,-0.030459,-0.040822,-0.030459,-0.030459,-0.061875,0.044017,-0.061875,-0.030459,-0.030459,-0.056570,0.014889,0.000000,-0.020203,-0.150823,0.178146,0.029559,-0.094311,-0.040822,0.039221,-0.061875,0.072321,-0.307885,0.034401,-0.067209,12.430609
L27,-0.094311,0.044017,-0.094311,-0.061875,-0.040822,0.000000,0.000000,-0.061875,-0.061875,-0.040822,-0.061875,-0.030459,-0.035627,-0.061875,-0.061875,-0.061875,-0.094311,-0.030459,-0.010050,-0.072571,-0.030459,-0.105361,-0.105361,-0.030459,-0.040822,-0.094311,0.044017,-0.072571,-0.010050,-0.046044,0.135405,0.144100,-0.061875,-0.030459,-0.030459,0.053541,0.000000,0.113329,-0.385662,0.104360,-0.020203,5.460606
L28,-0.061875,-0.046044,-0.030459,0.000000,-0.030459,0.000000,0.000000,-0.030459,-0.030459,0.000000,-0.030459,0.000000,0.000000,-0.072571,-0.030459,-0.030459,0.000000,0.000000,-0.030459,-0.030459,-0.030459,-0.030459,0.000000,0.000000,0.000000,-0.061875,-0.030459,-0.030459,-0.094311,-0.083382,0.000000,0.139762,-0.094311,-0.061875,-0.030459,-0.025318,-0.061875,0.198851,-0.549047,0.029559,0.004988,7.860077
L29,-0.094311,-0.061875,-0.030459,0.000000,-0.015114,-0.094311,-0.030459,-0.061875,-0.061875,-0.061875,-0.030459,-0.094311,-0.061875,-0.030459,-0.061875,-0.061875,-0.061875,-0.030459,-0.061875,-0.061875,-0.061875,-0.030459,-0.061875,-0.030459,-0.061875,-0.030459,-0.061875,-0.061875,0.000000,0.000000,-0.061875,0.000000,-0.030459,-0.061875,-0.072571,-0.015114,-0.061875,0.029559,-0.192372,0.062975,0.019803,8.413298
L30,0.139762,0.139762,-0.030459,0.000000,-0.015114,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.061875,-0.030459,-0.061875,-0.030459,-0.030459,0.000000,-0.030459,-0.030459,-0.030459,-0.030459,0.000000,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.030459,-0.040822,0.000000,-0.010050,-0.145026,0.053541,-0.015114,11.255882
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.209877
