layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Patient,7: diagnosis,8::,9: asthma,10:.,"11:
",12:Write,13: a,14: concise,15: clinical,16: summary,17: covering,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: Begin,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L11,0.245829,-0.126526,0.186407,-0.063444,0.000000,-0.188894,0.063512,0.499272,-0.506716,2.441607,0.499272,0.307959,-0.004107,0.123229,0.561942,0.186407,-0.562672,-0.063444,0.063512,0.063512,0.123229,0.186407,0.313965,0.372120,0.000000,0.372120,0.499272,0.499272,0.186407,0.748923,4.310000,-0.440906,-0.309772,-1.066296,0.123229,0.186407,-0.063444,-0.188894,0.123229,0.186407,1.373901,0.186407
L12,-0.063444,0.000000,-0.004107,0.123229,-0.126526,-0.499937,-0.250136,0.932534,-0.562672,-2.552385,0.186407,-0.250136,-0.004107,-0.063444,0.000000,-0.250136,0.372120,0.245829,-0.126526,-0.315374,-0.063444,0.000000,-0.250136,-0.440906,-0.126526,-0.188894,-0.126526,0.000000,0.313965,-0.063444,1.565857,1.309640,-0.499937,-0.689028,-0.126526,-0.188894,-0.004107,-0.250136,-0.126526,1.810680,0.499272,1.931734
L13,0.063512,0.000000,-0.188894,-0.188894,0.186407,-0.126526,-0.063444,0.499272,0.307959,0.684902,0.245829,0.063512,-0.126526,-0.250136,0.063512,-0.063444,0.561942,-0.004107,-0.815000,0.186407,-0.315374,-0.379161,-0.063444,-0.379161,0.307959,-0.440906,-0.188894,-0.315374,-0.250136,-0.126526,-0.373191,0.063512,0.245829,-1.248601,0.372120,0.063512,-0.063444,0.000000,-0.063444,-0.562672,-0.760937,2.688155
L14,0.063512,0.063512,-0.063444,-0.063444,0.372120,-0.872155,0.245829,-0.063444,-0.379161,-2.788674,-0.126526,-0.004107,0.063512,-0.004107,-0.126526,-0.126526,-0.562672,-0.004107,-0.063444,0.123229,-0.126526,0.123229,0.245829,0.186407,-0.063444,-0.126526,-0.063444,-0.063444,-0.689028,-0.250136,-0.689028,0.372120,0.063512,-1.886088,0.123229,-0.188894,-0.126526,-0.188894,-0.315374,-0.255413,-0.872155,-0.373191
L15,0.123229,-0.188894,-0.063444,-0.126526,-0.250136,-0.126526,-0.315374,-0.440906,0.063512,-0.440906,-0.689028,-0.126526,0.186407,-0.126526,0.063512,-0.315374,-0.315374,0.000000,-0.440906,-0.188894,-0.004107,-0.126526,-0.188894,-0.126526,-0.063444,0.123229,0.245829,0.372120,-0.250136,0.123229,0.561942,0.063512,-0.440906,-0.126526,-0.004107,0.063512,-0.063444,-0.188894,-0.689028,-0.499937,0.186407,3.181435
L16,-0.188894,-0.126526,0.186407,-0.063444,-0.188894,-0.126526,-0.188894,0.063512,-0.440906,-1.759359,-0.126526,-0.126526,-0.250136,-0.126526,-0.126526,-0.188894,-0.063444,-0.188894,-0.629608,0.063512,0.063512,0.372120,0.123229,0.245829,-0.689028,-0.004107,0.000000,-0.067821,-0.126526,0.245829,-0.499937,-0.126526,0.063512,-0.752203,0.063512,0.123229,-0.063444,0.063512,-0.188894,-0.379161,-1.625848,0.186407
L17,0.000000,0.063512,-0.063444,-0.126526,0.123229,0.063512,0.063512,0.561942,0.063512,0.809091,-0.499937,-0.250136,-0.126526,0.063512,-0.004107,-0.063444,0.063512,0.186407,-0.188894,-0.315374,-0.004107,0.186407,-0.004107,0.437716,0.186407,0.063512,-0.126526,0.123229,0.123229,0.000000,0.437716,0.307959,-0.126526,-1.565233,-0.188894,-0.063444,0.063512,0.000000,-0.126526,0.372120,0.689026,2.564923
L18,0.245829,0.245829,0.186407,0.245829,0.123229,0.063512,2.189886,0.499272,2.189886,10.441303,3.933724,1.309640,0.307959,0.245829,0.063512,2.189886,0.499272,0.123229,2.189886,0.938964,0.684902,1.434281,0.938964,2.189886,1.434281,0.245829,0.245829,0.620916,0.313965,1.059591,10.162739,2.435885,0.748923,0.000000,0.186407,0.123229,0.186407,-0.250136,0.313965,0.115957,7.152086,2.189886
L19,-0.063444,-0.004107,0.063512,0.063512,-0.063444,-0.188894,-1.066296,0.245829,-0.004107,-2.452337,-0.562672,-0.689028,-0.063444,-0.063444,-0.188894,-0.063444,0.437716,0.063512,0.123229,0.063512,0.063512,0.063512,0.000000,0.000000,0.437716,-0.004107,0.123229,0.000000,-0.440906,-0.440906,-0.440906,0.063512,-0.255413,-0.499937,-0.126526,-0.250136,-0.063444,-0.126526,-0.004107,0.437716,-0.255413,3.558126
L20,-0.063444,0.063512,0.245829,0.063512,0.123229,-0.440906,-0.379161,0.123229,-0.379161,-3.299185,-0.440906,-0.250136,0.123229,0.063512,0.123229,-0.188894,0.055790,-0.063444,-0.689028,0.063512,0.000000,0.063512,-0.250136,-0.562672,0.372120,0.186407,0.123229,0.063512,-0.188894,-0.379161,-2.552385,-0.499937,-0.315374,-0.440906,0.186407,0.000000,-0.004107,0.123229,0.313965,0.123229,-2.452337,6.419512
L21,0.123229,0.063512,-0.063444,-0.063444,-0.004107,0.123229,0.938964,0.499272,1.434281,8.313875,1.685160,0.684902,0.063512,-0.004107,0.000000,0.561942,0.063512,0.123229,0.938964,0.123229,0.123229,0.437716,0.245829,0.372120,0.499272,0.063512,0.123229,-0.063444,0.245829,0.123229,5.183503,1.059591,0.620916,0.932534,-0.126526,0.000000,0.063512,-0.250136,-0.440906,-1.127660,0.561942,8.625883
L22,0.063512,0.186407,0.063512,0.063512,0.000000,-0.004107,-0.997309,-0.188894,-0.315374,-4.800509,-1.759359,-1.127660,0.123229,0.123229,0.000000,-0.188894,-0.126526,0.123229,-0.932775,-0.379161,0.063512,-0.004107,-0.188894,-0.188894,-0.315374,0.000000,0.123229,0.063512,-0.063444,-0.752203,-1.307435,-0.250136,-0.250136,-0.440906,-0.004107,0.123229,0.063512,-0.126526,0.437716,-0.499937,-2.857633,0.343465
L23,-0.004107,0.063512,0.063512,0.186407,-0.126526,0.245829,-0.629608,0.372120,-0.250136,-5.490127,-0.997309,-1.127660,0.063512,0.123229,0.123229,-0.188894,0.000000,0.123229,0.186407,-0.315374,0.000000,0.063512,-0.126526,-0.063444,0.000000,0.123229,0.123229,0.063512,-0.063444,-0.752203,-2.552385,0.063512,-0.379161,-0.629608,0.186407,0.063512,0.063512,0.000000,0.123229,-0.562672,-0.932775,-1.307435
L24,-0.004107,0.000000,0.063512,0.000000,-0.188894,0.432411,0.186407,-0.126526,-0.315374,1.187423,0.245829,0.123229,0.000000,0.063512,0.063512,0.063512,-0.004107,0.186407,0.063512,0.063512,0.123229,0.186407,-0.004107,0.123229,0.123229,0.063512,0.186407,0.123229,0.186407,0.123229,1.314055,0.809091,0.245829,0.186407,0.123229,0.063512,0.123229,0.186407,-0.188894,-0.315374,0.063512,6.412650
L25,0.000000,0.123229,0.123229,-0.063444,0.000000,0.063512,0.437716,0.186407,0.000000,4.682254,0.620916,0.437716,0.063512,0.063512,0.123229,0.245829,0.063512,0.123229,0.245829,0.186407,0.000000,0.245829,0.245829,0.186407,0.123229,0.123229,0.245829,0.123229,0.123229,0.307959,1.442064,0.809091,0.307959,0.245829,0.307959,0.000000,0.123229,0.186407,0.063512,0.372120,-1.625848,0.343465
L26,0.123229,0.063512,0.123229,0.000000,0.123229,0.123229,-0.188894,0.123229,-0.315374,-2.129657,-0.499937,-0.250136,0.063512,-0.063444,0.000000,0.123229,0.063512,0.000000,-0.188894,-0.126526,0.063512,0.123229,0.063512,0.123229,0.123229,0.123229,0.123229,0.063512,0.123229,-0.315374,-0.629608,0.123229,0.063512,-0.126526,-0.063444,0.123229,0.063512,0.123229,-0.121886,-0.315374,-0.689028,7.364497
L27,0.123229,0.123229,0.000000,0.123229,0.123229,0.063512,0.245829,0.063512,0.063512,1.059591,0.372120,0.245829,0.063512,0.186407,0.063512,0.063512,0.063512,0.063512,0.000000,-0.126526,0.000000,0.000000,0.123229,0.000000,0.123229,0.000000,0.063512,0.000000,0.063512,0.000000,0.186407,0.307959,0.063512,0.063512,0.063512,0.000000,0.123229,0.063512,-0.309772,0.123229,-0.315374,3.870147
L28,0.000000,0.063512,0.000000,0.000000,0.063512,0.000000,0.000000,0.063512,0.123229,0.000000,0.000000,0.000000,0.000000,0.123229,0.000000,0.000000,0.000000,0.000000,0.000000,0.063512,0.000000,0.123229,0.123229,0.063512,0.123229,0.123229,0.000000,-0.063444,-0.063444,-0.063444,0.123229,0.186407,0.000000,0.063512,0.123229,0.063512,0.123229,0.307959,-0.621946,0.123229,0.000000,5.110279
L29,-0.004107,0.063512,0.063512,0.000000,0.123229,0.123229,0.000000,0.000000,-0.063444,0.000000,0.000000,0.000000,-0.063444,-0.063444,0.000000,0.000000,-0.063444,0.123229,0.000000,0.063512,0.063512,0.000000,-0.063444,-0.063444,0.000000,0.000000,-0.063444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063444,0.000000,0.123229,0.000000,0.123229,-0.188894,0.063512,0.063512,8.358138
L30,0.063512,0.123229,0.063512,-0.063444,0.000000,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,-0.063444,0.063512,0.123229,0.063512,0.000000,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,0.063512,0.123229,0.063512,0.123229,0.063512,0.000000,0.063512,0.063512,-0.004107,0.063512,-0.126526,0.123229,0.063512,7.703822
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.137365
