layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: multiple,18: sclerosis,19:.,20: Include,21: demographic,22: first,"23:,",24: then,25: key,26: PM,27:H,28:.,29: Begin,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L16,-0.027507,-0.059898,0.000000,0.123794,-0.064022,0.030537,0.030537,-0.064022,-0.031499,-0.128010,0.060169,-0.027507,0.060169,-0.031499,-0.035507,-0.191667,-0.064022,0.088947,0.723684,-0.064022,0.000000,0.000000,0.183613,0.000000,0.096015,0.000000,0.030537,0.060169,0.123794,-0.035507,0.030537,0.096015,0.060169,0.123794,-0.051701,0.030537,0.060169,0.030537,-0.064022,0.157467,0.123794,0.157467,-0.080689,0.316337,0.074662,0.103032
L17,0.030537,0.060169,0.060169,-0.093374,0.030537,-0.031499,0.000000,-0.123614,0.060169,0.060169,-0.031499,0.060169,0.060169,-0.035507,-0.249655,0.088947,0.067441,0.052842,-0.254642,-0.068163,0.060169,0.038027,0.030537,-0.097638,0.060169,0.030537,0.183613,0.030537,0.088947,0.060169,0.000000,0.060169,0.060169,-0.027507,0.661649,0.096015,-0.059898,-0.254642,0.183613,0.000000,0.000000,0.096015,0.123794,0.190044,0.843970,1.053691
L18,0.096015,0.088947,0.123794,0.060169,0.215361,0.060169,0.157467,0.221592,0.123794,0.595509,0.123794,0.344194,0.157467,0.096015,0.281851,1.031832,0.408046,0.310672,5.541324,1.037341,0.060169,0.661649,0.408046,0.281851,0.030537,0.000000,0.215361,0.287682,0.060169,0.000000,0.067441,0.067441,0.157467,0.221592,2.854865,0.371296,0.240054,0.123794,0.123794,0.190044,0.123794,-0.031499,-0.182322,0.371296,2.402115,0.927085
L19,-0.031499,0.060169,-0.031499,0.030537,0.000000,0.157467,-0.031499,-0.035507,0.000000,-0.064022,0.030537,0.096015,0.088947,0.000000,0.000000,-0.186984,-0.031499,0.060169,-0.159332,-0.220241,-0.031499,-0.154797,0.157467,-0.068163,0.000000,0.060169,0.000000,0.088947,0.183613,0.116921,0.096015,0.123794,0.067441,0.183613,0.030537,-0.186984,-0.035507,-0.068163,0.022990,-0.059898,-0.031499,0.221592,-0.064022,0.304974,0.731175,1.026292
L20,-0.031499,-0.031499,-0.035507,0.000000,0.000000,-0.068163,0.060169,-0.031499,-0.064022,-0.097638,0.000000,0.000000,-0.064022,-0.035507,-0.097638,-0.163888,-0.035507,-0.035507,-0.748939,-0.279960,0.060169,-0.093374,0.000000,-0.068163,-0.035507,0.030537,0.060169,-0.068163,0.060169,0.030537,0.060169,-0.031499,0.000000,-0.097638,-0.093374,0.096015,-0.128010,-0.031499,-0.064022,0.123794,0.088947,0.157467,0.096015,0.150823,-0.264693,4.840395
L21,-0.031499,-0.031499,-0.064022,-0.064022,-0.128010,0.030537,0.030537,0.060169,0.123794,0.088947,0.022990,-0.007782,-0.064022,0.123794,0.246133,0.595509,0.281851,0.060169,2.604697,0.215361,0.030537,0.252175,0.000000,0.088947,-0.031499,0.060169,-0.064022,0.000000,-0.123614,-0.007782,0.060169,0.000000,-0.031499,0.067441,1.229232,0.275986,0.275986,0.000000,-0.128010,0.038027,0.060169,0.096015,0.000000,0.123794,0.573910,2.645130
L22,0.060169,0.088947,0.000000,0.000000,0.022990,0.000000,0.000000,-0.031499,-0.035507,-0.093374,0.030537,0.000000,-0.068163,0.022990,-0.220241,-0.285101,-0.035507,0.000000,-0.496714,-0.279960,0.000000,-0.097638,0.088947,0.088947,0.060169,0.000000,-0.064022,0.000000,-0.031499,0.060169,0.030537,0.088947,-0.064022,-0.154797,-0.119238,-0.154797,0.030537,0.000000,-0.031499,0.060169,-0.064022,0.088947,-0.023530,0.310672,-0.047628,0.349674
L23,0.060169,0.060169,0.060169,0.000000,-0.064022,0.000000,-0.031499,-0.031499,0.022990,-0.035507,-0.035507,0.000000,0.000000,0.060169,-0.097638,-0.405465,-0.249655,-0.031499,-0.535680,-0.220241,-0.031499,0.030537,0.022990,-0.123614,-0.031499,-0.031499,-0.031499,0.030537,0.022990,0.030537,0.030537,0.060169,-0.031499,-0.220241,-0.154797,0.096015,-0.027507,-0.093374,-0.064022,0.000000,-0.064022,0.096015,-0.027507,-0.064022,-0.035507,0.556288
L24,0.030537,0.030537,0.000000,-0.031499,0.000000,0.463198,0.088947,0.022990,0.000000,0.000000,-0.064022,-0.031499,-0.007782,-0.031499,-0.031499,0.060169,-0.031499,-0.031499,0.629125,-0.123614,0.123794,-0.064022,-0.031499,0.030537,0.030537,-0.031499,0.022990,0.088947,-0.064022,0.060169,-0.031499,0.060169,-0.031499,0.030537,0.252175,0.349674,0.123794,-0.064022,-0.035507,0.123794,0.030537,0.281851,-0.084899,0.000000,0.150823,6.436362
L25,-0.031499,0.060169,-0.064022,0.000000,-0.093374,-0.035507,0.022990,0.000000,0.060169,0.060169,0.022990,0.060169,-0.035507,0.030537,0.088947,0.221592,0.000000,0.000000,1.538783,-0.031499,-0.093374,0.030537,0.060169,0.000000,0.030537,0.000000,0.060169,-0.031499,0.060169,0.030537,-0.035507,-0.064022,0.030537,0.123794,0.731175,0.157467,0.060169,0.060169,-0.031499,0.060169,0.088947,0.281851,-0.119238,0.060169,-0.264693,4.982704
L26,0.060169,0.030537,-0.093374,-0.093374,-0.154797,0.060169,0.030537,0.022990,0.022990,-0.064022,0.030537,0.060169,-0.031499,0.000000,-0.035507,-0.186984,-0.035507,-0.035507,-0.254642,-0.064022,0.000000,0.022990,-0.031499,0.000000,0.000000,-0.064022,-0.035507,0.030537,0.022990,0.060169,-0.064022,0.000000,0.060169,0.096015,-0.123614,0.157467,-0.064022,-0.123614,-0.093374,-0.027507,-0.059898,0.130620,-0.084899,0.157467,-0.279960,10.618824
L27,0.030537,-0.035507,0.000000,-0.064022,-0.064022,0.000000,0.000000,0.000000,0.000000,-0.035507,0.000000,-0.035507,0.022990,0.000000,-0.064022,-0.064022,-0.031499,0.000000,0.438505,0.030537,-0.064022,0.030537,0.000000,-0.031499,0.000000,-0.035507,0.000000,-0.035507,-0.035507,0.030537,0.000000,-0.035507,-0.035507,0.030537,0.000000,0.030537,-0.007782,0.030537,-0.064022,0.030537,0.000000,0.221592,-0.145788,0.123794,-0.101921,3.160129
L28,-0.093374,-0.007782,-0.035507,0.000000,0.000000,0.000000,-0.035507,-0.064022,-0.064022,-0.035507,-0.035507,0.000000,0.000000,-0.035507,-0.035507,-0.035507,0.000000,0.060169,0.000000,0.000000,0.000000,-0.035507,-0.064022,-0.035507,-0.031499,-0.035507,0.000000,0.000000,-0.035507,-0.064022,0.000000,-0.035507,-0.035507,-0.093374,-0.035507,-0.031499,0.030537,-0.035507,0.000000,0.000000,-0.035507,0.252175,-0.332604,-0.031499,0.000000,9.049058
L29,-0.035507,-0.007782,0.060169,0.030537,-0.064022,0.000000,0.030537,0.000000,0.030537,0.000000,0.000000,0.000000,0.030537,0.000000,0.000000,0.000000,0.000000,0.030537,0.030537,0.000000,0.000000,0.000000,0.000000,0.030537,0.000000,0.000000,0.030537,0.000000,0.000000,0.000000,0.000000,0.030537,0.000000,0.030537,0.060169,0.022990,0.000000,0.000000,0.060169,-0.059898,0.030537,0.123794,-0.300686,0.000000,0.088947,5.981199
L30,-0.031499,0.060169,0.000000,0.000000,-0.123614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022990,0.000000,0.000000,0.000000,0.030537,0.030537,0.000000,-0.059898,-0.305936,0.060169,-0.031499,11.482826
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.867475
