layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:As,7: a,8: clinical,9: documentati,10: task,11: for,12: multiple,13: sclerosis,"14:,",15: summarize,16: demographic,17: information,18: and,19: significant,20: prior,21: medical,22: history,23: only,24:.,25: Begin,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L18,0.063230,0.183176,0.044355,0.000000,0.170853,-0.005031,0.113987,0.220242,0.481058,0.252181,0.014979,0.005005,0.140430,2.860729,0.966152,-0.056739,1.174274,0.487101,0.091311,0.203382,0.731729,0.397335,1.315362,0.131873,0.587341,0.086826,0.039359,0.179085,0.248363,1.581780,0.327389,-0.569021,-0.145543,-0.056739,0.077227,0.044355,-0.020276,0.068108,-0.678765,0.731729,-0.123111
L19,0.191307,0.296889,0.113987,-0.025449,-0.051563,0.153131,0.019873,-0.025449,-0.056739,-0.035877,0.039359,0.166711,0.144682,-0.543368,-0.046414,0.068108,-0.067500,-0.443047,-0.134264,-0.020276,0.034634,-0.200176,-0.111396,0.140430,-0.443047,0.077227,-0.105930,-0.365919,-0.869913,-0.875781,-0.276380,-0.263535,-0.522483,-0.230582,-0.206183,0.009986,-0.243008,0.086826,-0.835409,-1.581312,-0.331182
L20,0.034634,-0.030649,-0.046414,-0.025449,-0.105930,-0.145543,0.024818,-0.067500,-0.056739,-0.046414,0.014979,0.179085,-0.067500,-0.829772,0.095776,0.000000,-0.309234,-0.005031,0.068108,0.014979,-0.151943,-0.157667,-0.617830,-0.180896,-0.089040,0.058617,-0.051563,0.320296,0.220242,-1.468719,-0.380159,0.100221,0.216301,0.131873,0.086826,0.058617,0.019873,0.341427,-0.134264,-2.324444,-2.682098
L21,0.063230,0.005005,0.039359,0.039359,-0.020276,0.039359,0.019873,0.039359,0.100221,0.063230,0.039359,0.136161,0.403904,1.569609,0.157329,-0.073088,0.528410,0.220242,0.100221,0.153131,0.127026,0.248363,0.039359,-0.040972,0.296889,-0.051563,0.044355,0.313152,0.203382,1.204129,0.148916,-0.206183,0.377364,0.113987,-0.035877,0.039359,-0.200176,-0.236775,-0.864079,-0.723237,-2.612887
L22,-0.035877,-0.025449,0.063230,0.000000,-0.046414,0.005005,0.058617,-0.020276,-0.180896,-0.230582,-0.046414,0.014979,-0.062268,-1.605436,-0.380159,0.086826,-0.573361,-0.163424,-0.035877,-0.040972,-0.046414,-0.040972,-0.169214,-0.035877,-0.282865,-0.025449,0.000000,-0.010087,-0.206183,-1.128932,-0.289392,0.014979,-0.030649,-0.089040,0.053692,0.000000,-0.051563,0.598183,0.456513,-1.987320,-4.234581
L23,0.000000,-0.056739,-0.015207,0.039359,0.039359,0.024818,0.005005,-0.089040,-0.035877,-0.062268,0.000000,0.077227,0.024818,-1.084450,-0.073088,-0.056739,-0.163424,-0.095087,-0.040972,0.109603,-0.073088,-0.010087,0.019873,-0.020276,-0.015207,0.005005,0.009986,0.029738,-0.123111,-1.207770,0.313152,-0.030649,0.019873,0.029738,0.109603,0.024818,0.081756,0.348372,0.109603,-0.905651,-1.987320
L24,0.104647,0.166711,-0.005031,-0.056739,-0.073088,-0.322683,0.044355,0.019873,0.009986,-0.056739,0.005005,-0.020276,0.068108,0.243571,-0.040972,-0.020276,0.058617,0.049034,0.049034,0.005005,-0.020276,0.039359,0.024818,0.005005,0.000000,0.063230,0.000000,0.053692,0.296889,0.327389,0.305956,0.191307,-0.010087,0.077227,0.014979,0.024818,-0.010087,0.658339,0.140430,-0.564699,0.327389
L25,0.127026,0.100221,0.044355,-0.015207,-0.051563,-0.015207,0.044355,0.039359,0.068108,0.072678,0.104647,0.039359,0.044355,0.868218,0.039359,0.039359,0.104647,0.063230,0.044355,0.049034,0.049034,0.109603,0.024818,-0.035877,0.044355,0.127026,0.049034,0.063230,0.274785,-0.051563,0.493108,0.161510,0.104647,0.053692,-0.139887,-0.005031,-0.035877,0.228079,-0.095087,-1.113884,-3.244164
L26,-0.020276,-0.035877,0.086826,-0.005031,0.077227,0.044355,-0.015207,0.044355,-0.040972,-0.062268,-0.020276,0.039359,-0.015207,-0.351879,0.000000,0.000000,-0.035877,0.044355,0.039359,0.049034,0.039359,-0.020276,0.024818,0.063230,0.068108,0.063230,0.044355,-0.020276,0.058617,-0.175038,0.228079,0.081756,0.039359,0.077227,0.086826,0.039359,0.091311,0.817570,-0.078377,-0.269937,1.424930
L27,0.044355,0.000000,0.049034,0.058617,0.104647,0.000000,0.049034,0.044355,0.039359,0.068108,0.049034,0.063230,0.063230,0.450282,0.058617,0.044355,0.063230,0.068108,0.039359,0.044355,0.039359,0.063230,0.009986,0.039359,0.058617,0.063230,0.100221,0.039359,0.212343,0.005005,0.208370,0.058617,0.058617,0.072678,0.039359,0.044355,0.019873,0.581876,0.029738,-0.051563,-2.061553
L28,0.039359,0.044355,0.019873,0.005005,0.044355,0.000000,0.009986,-0.015207,-0.005031,0.005005,0.019873,0.000000,0.063230,0.000000,0.005005,0.005005,0.000000,0.000000,0.000000,0.000000,-0.005031,0.005005,0.005005,0.005005,0.000000,0.005005,0.005005,-0.015207,0.153131,-0.020276,0.216301,0.000000,0.005005,0.000000,-0.020276,0.005005,0.148916,0.044355,-0.020276,0.063230,-3.533757
L29,0.000000,0.039359,0.014979,0.063230,0.024818,0.005005,0.063230,0.005005,0.005005,0.005005,0.005005,0.005005,0.063230,0.005005,0.063230,0.063230,0.000000,0.000000,0.005005,0.000000,0.063230,0.005005,0.000000,0.063230,0.063230,0.063230,0.000000,0.063230,0.058617,0.063230,0.063230,0.058617,0.063230,0.019873,0.063230,0.005005,0.063230,0.707859,0.109603,0.086826,1.519387
L30,-0.046414,-0.030649,0.005005,0.000000,0.014979,0.005005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.005005,0.000000,0.000000,0.005005,0.000000,0.000000,0.005005,0.005005,0.063230,0.005005,0.005005,0.000000,0.000000,0.000000,0.005005,0.049034,0.259772,0.014979,0.029738,-0.095087
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.647784
