layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: the,10: following,11: condition,12::,13: sarc,14:oid,15:osis,16:.,"17:
",18:Com,19:pose,20: a,21: brief,22: presentatio,23: about,24: its,25: demographic,26: information,27: and,28: past,29: medical,30: history,31:.,32: You,33: must,34: start,35: with,36: the,37: following,38::,"39: """,40:Gender,41::,"42: ""","43:
",44:<,45:|,46:ass,47:istant,48:|>,"49:
",50:Gender,51::
L14,-0.156698,-0.147809,0.128749,0.122015,0.066445,-0.456354,0.066445,-0.300485,-0.063013,-0.027081,-0.054916,0.073562,0.101536,-0.250223,0.066445,0.108409,-0.058956,-0.551062,-0.113023,-0.034955,-0.091881,0.066445,0.575839,-0.358857,-0.054916,-0.904900,-0.612514,0.504698,0.059276,-0.027081,1.321244,-0.300485,-0.054916,-0.063013,0.122015,0.181048,0.155240,-0.245333,-0.524917,-0.310848,0.522964,0.801554,0.350548,-1.676507,-0.331901,-0.027081,0.030077,0.000000,-0.858809,-0.409287,2.055294,0.977003
L15,-0.121607,-0.156698,-0.100284,0.066445,-0.034955,-0.179272,-0.156698,-0.216485,-0.179272,-0.058956,-0.054916,-0.091881,-0.397859,-0.564395,1.436535,0.554147,0.000000,-0.071176,-0.058956,0.037457,0.094616,0.030077,0.148683,-0.245333,0.080629,-0.450348,-0.147809,0.073562,-0.174716,0.206206,0.224668,-0.316070,0.059276,-0.216485,-0.152243,0.545336,0.094616,-0.156698,-1.102429,0.248766,1.990690,1.392000,-0.347987,-0.305653,0.122015,0.101536,0.066445,-0.096073,-0.619581,0.880543,1.181584,-1.264270
L16,-0.230805,-0.480746,-0.152243,-0.211757,-0.179272,-0.432544,-0.046883,-0.577909,-0.188446,-0.023167,-0.305653,0.066445,-0.310848,-0.034955,-0.216485,-0.046883,-0.108759,0.059276,-0.087705,-0.300485,-0.067086,-0.023167,-0.087705,-0.179272,-0.245333,-0.537904,0.059276,0.030077,-0.230805,0.187397,0.626059,0.030077,0.037457,-0.147809,-0.179272,-0.245333,-0.054916,0.212398,-0.619581,-0.426679,0.861373,-0.265038,-0.420848,0.646262,0.433069,0.155240,-0.054916,0.161755,-0.849840,1.590944,0.442921,1.948085
L17,-0.087705,-0.216485,0.000000,-0.063013,-0.216485,-0.216485,-0.337234,-0.245333,0.052056,-0.058956,-0.034955,-0.083547,0.000000,0.128749,1.708209,0.266465,-0.584735,-0.179272,-0.087705,-0.143394,-0.161172,-0.152243,-0.170181,-0.117306,-0.147809,-0.780848,-0.386559,-0.235625,0.094616,-0.050891,0.317758,0.289588,0.007605,-0.179272,-0.091881,0.080629,0.007605,0.155240,0.128749,-0.280076,1.271129,-0.067086,-0.207051,-1.186309,-0.113023,-0.121607,-0.087705,0.108409,-0.295344,-0.054916,0.148683,-1.441198
L18,-0.054916,-0.083547,0.066445,-0.117306,-0.245333,-0.125926,0.187397,0.592861,0.905544,0.066445,-0.295344,0.073562,0.438007,0.392660,12.393102,5.285213,0.971239,-0.050891,-0.174716,-0.245333,-0.152243,-0.358857,-0.415051,-0.605497,1.123737,1.010904,0.433069,-0.170181,0.007605,0.135437,0.266465,-0.480746,-0.143394,0.037457,-0.027081,0.317758,0.254701,-0.050891,0.513873,0.080629,7.793255,0.808380,1.133613,-0.953218,-0.577909,-0.240467,-0.147809,-0.207051,-0.034955,1.236267,2.595023,0.224668
L19,-0.305653,-0.295344,-0.152243,-0.117306,-0.211757,-0.100284,-0.183849,-0.512096,-0.038915,0.066445,-0.063013,-0.207051,-0.156698,-0.245333,0.161755,-1.003990,-0.216485,-0.034955,-0.023167,-0.031010,-0.117306,-0.031010,0.059276,-0.096073,-0.285139,-0.380957,-0.063013,-0.321319,0.066445,-0.023167,0.737929,0.518429,-0.063013,0.066445,0.128749,0.000000,-0.067086,0.066445,0.135437,-0.031010,2.979956,0.248766,1.288115,1.479170,-0.075283,-0.031010,-0.245333,0.015152,-0.235625,1.875901,1.939342,2.731186
L20,-0.121607,-0.091881,-0.007663,-0.023167,-0.117306,-0.305653,0.135437,-0.007663,0.015152,-0.091881,0.022642,-0.067086,0.161755,-0.280076,-0.740026,-1.507888,-0.605497,-0.058956,-0.087705,-0.174716,0.000000,0.037457,-0.125926,-0.117306,-0.895510,-0.764319,-0.480746,-0.358857,0.030077,0.122015,0.504698,0.052056,-0.117306,-0.058956,0.094616,0.007605,-0.087705,-0.091881,-0.007663,0.052056,-0.265038,0.988431,0.382297,0.087647,-0.170181,0.101536,0.000000,-0.023167,-0.480746,0.584386,0.874193,5.898470
L21,0.000000,-0.117306,-0.087705,-0.063013,-0.183849,-0.147809,-0.063013,0.941911,0.442921,-0.091881,-0.121607,0.066445,0.224668,0.066445,2.833210,2.833210,1.450949,0.101536,-0.054916,-0.091881,0.030077,0.000000,-0.117306,0.218552,0.821894,0.815160,0.312187,-0.202368,-0.091881,-0.170181,0.066445,0.199976,0.094616,0.000000,-0.091881,-0.147809,0.199976,-0.147809,-0.027081,-0.117306,2.287972,0.148683,-0.347987,-0.275038,-0.174716,-0.337234,-0.031010,-0.193065,-0.598528,-0.403557,1.190908,7.293393
L22,-0.091881,-0.027081,-0.063013,-0.058956,-0.183849,-0.087705,-0.091881,-0.670501,-0.342596,-0.152243,-0.121607,-0.305653,-0.250223,-0.369846,-1.211626,-2.041958,-1.378678,-0.216485,0.007605,-0.091881,-0.027081,-0.091881,-0.121607,-0.058956,-1.068527,-0.670501,-0.275038,-0.183849,-0.091881,-0.216485,-0.305653,-0.245333,-0.027081,-0.027081,-0.027081,0.030077,-0.091881,-0.027081,0.094616,-0.619581,-0.438444,-0.091881,-0.183849,-0.409287,-0.125926,-0.121607,-0.121607,-0.300485,-0.663066,-0.708528,0.554147,6.024257
L23,-0.058956,-0.087705,0.000000,0.000000,-0.091881,-0.027081,-0.409287,-0.598528,-0.305653,-0.091881,-0.179272,-0.121607,-0.250223,-0.183849,-1.830654,-1.739685,-0.700806,-0.245333,-0.063013,-0.058956,-0.063013,-0.091881,-0.113023,0.101536,-0.531389,-0.156698,0.037457,-0.121607,-0.091881,0.000000,-0.054916,-0.091881,-0.117306,-0.091881,-0.117306,-0.179272,-0.027081,-0.096073,-0.152243,-0.693143,-1.291668,0.242796,-0.512096,-0.923948,-0.027081,-0.058956,-0.031010,-0.104512,-0.165666,-0.170181,0.218552,-0.240467
L24,0.037457,0.037457,-0.091881,-0.027081,-0.121607,0.693145,0.155240,0.155240,-0.058956,-0.091881,-0.058956,-0.027081,-0.152243,0.073562,-0.358857,0.630132,-0.310848,-0.147809,-0.091881,-0.091881,-0.091881,-0.058956,-0.027081,-0.058956,-0.027081,-0.083547,-0.147809,0.007605,-0.058956,-0.058956,-0.147809,-0.091881,-0.027081,0.059276,0.030077,-0.091881,-0.027081,-0.058956,-0.027081,-0.240467,0.700750,0.266465,0.260600,0.094616,0.007605,0.115235,-0.058956,0.161755,-1.161617,-0.275038,0.588633,4.691064
L25,-0.023167,0.037457,0.000000,-0.058956,-0.054916,-0.087705,0.199976,0.199976,0.030077,0.000000,-0.091881,-0.058956,-0.058956,-0.058956,0.886852,1.513361,0.317758,0.000000,0.000000,-0.027081,-0.027081,-0.027081,-0.091881,-0.027081,-0.058956,0.128749,-0.058956,-0.058956,-0.058956,0.037457,-0.121607,-0.121607,0.037457,-0.023167,-0.147809,-0.027081,-0.058956,0.030077,0.030077,-0.083547,0.457520,0.509296,0.094616,-0.027081,-0.054916,-0.063013,0.000000,0.128749,-1.035738,0.366548,-0.183849,4.383834
L26,-0.091881,-0.091881,0.037457,0.037457,-0.147809,0.000000,0.007605,-0.121607,0.000000,0.000000,-0.027081,-0.027081,-0.211757,-0.117306,-0.732058,-0.716310,-0.152243,-0.147809,-0.058956,-0.027081,-0.179272,-0.050891,-0.027081,-0.058956,-0.091881,-0.058956,-0.091881,-0.091881,0.000000,-0.027081,-0.117306,-0.058956,0.007605,-0.054916,-0.027081,-0.027081,-0.027081,-0.058956,0.087647,-0.174716,-0.310848,0.181048,-0.117306,-0.058956,-0.143394,0.066445,0.000000,0.199976,-1.025043,0.094616,-0.285139,6.802315
L27,0.000000,-0.027081,-0.058956,-0.027081,0.007605,-0.117306,-0.058956,0.066445,-0.027081,0.000000,-0.058956,0.037457,0.000000,-0.058956,0.000000,0.128749,0.066445,0.000000,0.000000,-0.054916,0.000000,0.037457,-0.054916,0.037457,-0.027081,-0.027081,-0.050891,0.000000,0.037457,0.000000,0.000000,0.066445,0.000000,-0.027081,0.037457,0.037457,0.000000,-0.027081,0.037457,-0.113023,0.128749,0.242796,0.037457,-0.027081,0.007605,-0.027081,-0.027081,0.199976,-1.473987,0.155240,-0.275038,2.825999
L28,-0.027081,-0.027081,0.000000,0.007605,-0.027081,-0.117306,-0.058956,-0.027081,-0.027081,0.000000,0.037457,0.000000,-0.027081,0.037457,-0.027081,0.000000,-0.027081,-0.027081,-0.058956,0.000000,-0.058956,0.000000,-0.027081,-0.027081,0.037457,-0.027081,0.037457,-0.058956,0.000000,0.000000,0.000000,-0.027081,0.000000,0.000000,-0.027081,-0.058956,-0.027081,-0.027081,0.000000,-0.087705,-0.245333,0.122015,-0.058956,-0.058956,0.000000,-0.091881,-0.027081,0.323299,-1.598037,0.059276,-0.117306,5.772958
L29,0.037457,0.007605,0.037457,0.037457,0.094616,0.037457,0.000000,0.037457,0.000000,0.000000,0.000000,0.000000,0.000000,0.037457,0.000000,0.000000,0.066445,-0.027081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066445,0.000000,0.000000,-0.027081,0.000000,0.037457,0.000000,0.000000,0.000000,0.000000,0.037457,0.066445,0.000000,0.000000,0.000000,0.000000,0.037457,-0.027081,0.037457,0.066445,-1.348826,0.128749,-0.023167,8.775438
L30,0.094616,0.037457,-0.027081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.027081,0.037457,-0.486938,0.007605,-0.023167,8.885121
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.481589
