layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: brief,9: chart,10:-,11:ready,12: overview,13: for,14: a,15: patient,16: with,17: asthma,18:.,"19:
",20:Include,21: demographic,22: and,23: past,24: medical,25: history,"26:,",27: keeping,28: it,29: succ,30:inct,31:.,32: The,33: response,34: must,35: start,36: with,37::,"38: """,39:Gender,40::,"41: ""","42:
",43:<,44:|,45:ass,46:istant,47:|>,"48:
",49:Gender,50::
L11,-0.063370,0.004376,0.307227,0.059592,0.247408,0.059592,0.123614,0.183782,-0.126041,0.059592,-0.072759,-0.192904,-0.219859,0.055451,0.123614,0.428587,0.933682,2.009038,0.562119,0.183782,0.123614,0.059592,0.059592,0.123614,0.183782,0.428587,0.123614,0.059592,0.115832,0.059592,0.369747,0.254234,0.123614,0.183782,-0.008811,0.055451,0.115832,-0.017700,0.176456,4.025665,0.226646,-0.299447,-0.445739,0.176456,0.004376,0.176456,-0.198237,-0.116140,-0.203599,0.615660,-0.198237
L12,-0.004396,0.000000,0.123614,0.183782,0.000000,-0.072759,-0.004396,0.115832,0.059592,-0.121078,0.115832,-0.323400,0.183782,0.240535,0.183782,-0.287682,-0.688771,-0.886051,-0.299447,0.123614,0.247408,0.381795,0.059592,0.059592,-0.008811,0.123614,0.055451,-0.004396,0.115832,0.055451,0.115832,0.434285,0.059592,0.055451,-0.187599,0.313658,-0.058708,0.307227,-0.126041,2.197224,0.176456,-0.299447,-0.072759,0.059592,0.000000,0.115832,0.115832,-0.126041,0.138999,2.141097,0.351398
L13,0.059592,0.059592,0.059592,0.059592,-0.126041,0.059592,0.123614,-0.072759,0.059592,0.254234,0.059592,-0.253196,-0.323400,-0.068053,-0.131028,-0.063370,-0.253196,0.434285,0.247408,-0.072759,-0.004396,0.000000,-0.008811,-0.072759,0.059592,0.183782,0.000000,0.176456,0.115832,0.055451,0.240535,0.489548,0.055451,0.115832,-0.131028,0.123614,-0.008811,0.100083,0.115832,-0.247562,-0.354172,0.567106,0.004376,0.247408,0.123614,-0.004396,0.004376,-0.182322,-0.161487,0.610909,2.098986
L14,0.183782,0.063716,0.115832,0.183782,0.183782,-0.230849,0.115832,-0.131028,0.059592,-0.253196,-0.008811,0.115832,-0.063370,-0.063370,0.247408,0.123614,-0.198237,-1.351808,0.013072,-0.385920,0.307227,0.123614,0.000000,0.183782,0.183782,0.183782,0.313658,0.176456,-0.008811,0.123614,0.183782,0.059592,0.051293,0.115832,-0.004396,-0.063370,-0.121078,0.123614,-0.058708,0.307227,0.092115,0.369747,-0.650222,-0.136041,0.004376,-0.063370,-0.068053,-0.425399,-0.219859,-0.058708,-0.385920
L15,0.059592,0.115832,0.183782,0.176456,0.059592,0.115832,0.183782,0.055451,0.123614,0.183782,0.176456,0.183782,0.183782,0.176456,0.059592,0.247408,0.247408,-0.072759,-0.225339,0.183782,-0.136041,-0.225339,0.051293,-0.063370,-0.063370,-0.008811,0.176456,0.176456,-0.063370,-0.004396,-0.004396,-0.198237,0.055451,0.059592,-0.008811,0.123614,0.428587,0.294239,-0.225339,0.884202,0.131336,0.059592,0.051293,0.247408,0.183782,-0.008811,-0.072759,-0.198237,0.557106,1.188057,2.964549
L16,0.063716,-0.058708,0.055451,0.123614,0.183782,-0.126041,-0.131028,0.051293,0.115832,0.059592,0.313658,0.434285,0.055451,-0.063370,-0.008811,-0.187599,-0.317358,-0.538996,-0.473518,-0.004396,-0.004396,-0.136041,0.107989,0.183782,0.240535,0.176456,0.123614,0.055451,0.123614,0.055451,0.115832,-0.072759,0.055451,-0.008811,0.000000,0.123614,0.067823,-0.101469,-0.253196,-0.131028,-0.311352,-0.058708,-0.068053,0.176456,0.307227,0.055451,0.000000,-0.241960,0.320047,-0.473518,0.816761
L17,-0.126041,0.055451,0.059592,-0.004396,0.307227,0.059592,0.059592,0.115832,0.183782,-0.192904,-0.004396,0.000000,0.369747,0.247408,-0.072759,0.307227,0.059592,0.363668,0.115832,0.240535,0.115832,0.059592,-0.077487,0.059592,0.000000,0.055451,0.176456,-0.008811,0.055451,-0.004396,0.059592,0.123614,0.123614,0.123614,-0.072759,0.123614,0.375789,0.629777,-0.058708,0.824483,0.004376,-0.004396,-0.013245,0.059592,0.000000,0.000000,0.059592,0.059592,-0.156346,0.701881,2.407419
L18,0.131336,0.183782,0.115832,0.115832,0.247408,0.176456,0.300754,0.369747,0.375789,0.933682,0.688751,1.377484,0.375789,0.375789,0.375789,1.441746,2.756004,12.997948,2.321699,1.188057,0.428587,1.250253,0.500243,0.748598,0.562119,0.808979,0.625094,0.240535,0.313658,0.369747,1.000374,1.687048,0.434285,0.307227,0.115832,0.055451,0.684336,0.684336,0.693147,10.452688,1.486378,1.056815,1.318241,0.307227,0.183782,0.059592,-0.187599,-0.121078,0.557106,3.384093,2.027686
L19,-0.004396,-0.063370,-0.008811,0.055451,0.067823,0.000000,0.055451,0.059592,0.059592,-0.008811,0.000000,0.240535,0.183782,-0.008811,0.115832,-0.008811,-0.323400,-1.047319,-0.187599,-0.072759,0.183782,0.240535,-0.004396,-0.004396,0.123614,0.063716,-0.008811,0.115832,0.115832,0.055451,0.183782,0.115832,0.059592,0.059592,0.183782,0.183782,0.183782,-0.035718,-0.480586,0.131336,0.183782,0.816761,0.176456,-0.258862,0.059592,-0.068053,0.059592,-0.131028,0.369747,0.832146,1.104443
L20,0.059592,0.115832,0.055451,0.000000,0.059592,-0.131028,0.055451,0.123614,0.115832,-0.126041,-0.008811,-0.063370,0.059592,0.059592,0.059592,-0.198237,-0.761200,-1.579197,-0.609064,-0.293547,0.123614,0.240535,0.115832,0.123614,-0.068053,-0.063370,-0.008811,0.059592,0.055451,0.059592,0.059592,-0.077487,0.115832,0.059592,0.055451,0.115832,0.176456,0.055451,0.240535,-1.239690,0.313658,0.369747,-0.121078,0.247408,0.183782,-0.004396,0.123614,0.500243,0.808979,-1.180850,3.369713
L21,0.123614,0.055451,0.055451,0.059592,-0.068053,0.000000,-0.004396,0.115832,0.055451,0.247408,-0.131028,-0.063370,0.059592,0.183782,0.489548,0.869604,1.823417,2.824923,0.307227,0.183782,0.059592,0.307227,-0.072759,0.059592,-0.101469,-0.068053,0.183782,0.115832,0.183782,0.000000,0.047118,0.369747,0.000000,0.000000,0.000000,-0.063370,0.059592,0.183782,0.439951,3.384093,0.869604,0.933682,0.489548,-0.063370,0.059592,0.059592,-0.126041,-0.063370,-0.425399,0.993901,7.008362
L22,0.059592,-0.063370,-0.008811,-0.008811,0.055451,0.115832,-0.072759,-0.008811,0.059592,-0.131028,-0.063370,-0.323400,-0.063370,-0.136041,-0.418710,-0.693147,-0.629431,-2.338301,-1.286210,-0.637696,0.000000,-0.480586,-0.253196,-0.063370,-0.166655,-0.126041,-0.063370,-0.008811,-0.008811,0.000000,-0.004396,-0.293547,-0.166655,-0.063370,-0.004396,0.055451,0.059592,0.051293,-0.258862,-1.152679,-0.253196,0.063716,-0.323400,-0.354172,0.059592,-0.126041,-0.068053,0.191055,-0.022174,-0.379490,1.640528
L23,0.055451,0.000000,0.055451,0.115832,0.055451,0.123614,-0.008811,-0.063370,0.000000,0.059592,0.059592,0.059592,0.055451,-0.126041,-0.187599,-0.761200,-0.323400,-2.656754,-1.047319,-0.728865,-0.008811,0.115832,-0.063370,0.000000,0.055451,0.051293,-0.063370,0.000000,-0.008811,0.123614,0.055451,-0.008811,-0.136041,-0.008811,-0.008811,-0.008811,0.115832,0.115832,-0.509365,-1.497519,0.505548,-0.502092,-0.593064,-0.187599,-0.008811,0.115832,0.123614,0.000000,-0.008811,-0.392393,-0.347941
L24,0.055451,0.115832,0.055451,0.055451,-0.063370,1.006805,0.000000,0.000000,0.115832,0.059592,-0.072759,0.051293,0.000000,0.055451,0.055451,0.055451,0.307227,0.494910,0.183782,0.059592,0.055451,0.059592,0.059592,0.059592,0.123614,0.000000,0.115832,0.055451,0.123614,0.000000,-0.004396,0.055451,-0.008811,0.055451,0.059592,0.000000,0.059592,0.059592,0.115832,0.808979,0.434285,0.123614,0.115832,0.059592,0.123614,0.123614,0.131336,-0.116140,-0.131028,0.740265,6.527470
L25,0.115832,0.059592,0.055451,0.055451,0.055451,0.055451,-0.008811,0.059592,0.183782,-0.008811,0.000000,0.115832,0.059592,0.059592,0.123614,0.313658,0.240535,1.626829,0.876930,0.313658,0.176456,0.123614,0.059592,0.055451,0.183782,0.055451,0.115832,0.059592,0.176456,0.123614,0.123614,0.176456,0.115832,0.059592,0.059592,0.059592,0.000000,0.059592,0.176456,0.625094,0.439951,0.063716,0.183782,0.247408,0.000000,0.059592,0.183782,0.008734,0.307227,-0.715321,2.853643
L26,0.055451,-0.063370,0.115832,0.059592,0.055451,0.000000,0.000000,0.059592,0.123614,0.123614,0.059592,-0.063370,0.059592,0.055451,0.000000,-0.323400,-0.166655,-1.072636,-0.287682,-0.605040,-0.063370,-0.068053,0.059592,0.059592,0.055451,0.055451,-0.008811,0.000000,0.055451,0.123614,0.000000,0.059592,-0.068053,0.115832,0.055451,-0.063370,0.059592,0.059592,-0.192904,-0.418710,0.183782,-0.063370,-0.063370,0.059592,0.067823,-0.058708,0.008734,-0.241960,-0.136041,-0.293547,11.145820
L27,0.000000,0.059592,0.059592,0.000000,0.059592,0.059592,0.000000,0.000000,0.000000,0.059592,0.059592,0.059592,0.115832,0.059592,0.059592,0.000000,0.055451,0.313658,0.123614,-0.008811,0.115832,0.000000,-0.008811,0.059592,0.059592,0.055451,0.055451,0.000000,0.055451,0.055451,0.059592,0.000000,0.059592,0.059592,0.000000,0.059592,0.055451,-0.008811,-0.063370,0.059592,0.115832,0.059592,0.055451,0.000000,0.055451,-0.008811,0.191055,-0.293547,0.240535,-0.192904,6.645091
L28,0.055451,0.059592,0.059592,0.000000,-0.063370,0.059592,0.000000,0.000000,0.059592,0.000000,0.059592,0.000000,0.000000,0.059592,0.000000,0.055451,0.000000,0.059592,0.000000,0.000000,0.000000,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.000000,0.059592,0.055451,0.059592,0.059592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063370,0.051293,0.059592,0.000000,-0.063370,0.059592,0.000000,0.000000,0.320047,-0.737998,0.059592,-0.126041,8.530525
L29,0.000000,0.000000,0.059592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055451,0.000000,0.000000,0.000000,0.000000,0.000000,0.059592,0.000000,0.000000,0.000000,0.000000,0.059592,0.000000,0.000000,0.000000,0.059592,0.000000,0.059592,-0.418710,0.123614,0.123614,9.542645
L30,0.063716,0.123614,0.000000,0.059592,-0.063370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008811,0.000000,0.059592,-0.311352,0.059592,-0.063370,10.964331
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.448022
