layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: is,9: being,10: evaluated,11: for,12: depression,13:.,"14:
",15:Prov,16:ide,17: a,18: brief,19: presentatio,20: focused,21: on,22: demographic,23: details,24: and,25: prior,26: medical,27: history,28:.,29: Your,30: response,31: must,32: start,33: with,34::,"35: """,36:Gender,37::,"38: ""","39:
",40:<,41:|,42:ass,43:istant,44:|>,"45:
",46:Gender,47::
L11,-0.124229,-0.247982,0.000000,-0.253988,0.004662,-0.129534,0.000000,0.004662,0.186983,0.186983,-0.057708,-0.184192,0.254425,-0.124229,0.127085,-0.253988,-0.062671,-0.062671,-0.189826,-0.052770,-0.247982,-0.247982,-0.247982,0.000000,-0.189826,0.063370,-0.004684,0.377027,0.317604,-0.124229,-0.438722,-0.062671,-0.004684,0.303905,-0.905830,-0.355340,4.020499,-0.242012,-0.431502,-0.189826,-0.067659,-0.118952,-0.124229,-0.124229,-0.303381,-0.417216,2.123994,-0.506163
L12,-0.189826,-0.253988,0.000000,-0.184192,-0.247982,-0.129534,0.063370,-0.438722,-0.062671,-0.184192,-0.247982,0.000000,-0.062671,-0.247982,0.063370,-0.062671,0.000000,-0.184192,-0.247982,0.009302,0.000000,-0.124229,-0.004684,-0.189826,-0.247982,-0.129534,-0.189826,0.004662,-0.124229,-0.316120,-0.382369,-0.253988,0.000000,-0.375543,-0.656445,-0.438722,1.688473,-0.134867,-0.791264,0.004662,0.377027,-0.184192,-0.247982,-0.124229,-0.118952,-0.438722,2.365076,-0.417216
L13,-0.062671,-0.309730,-0.316120,-0.316120,0.004662,-0.184192,-0.498441,-0.184192,-0.184192,-0.247982,-0.004684,-0.062671,-0.309730,-0.124229,-0.189826,-0.067659,-0.316120,-0.253988,-0.184192,-0.124229,-0.124229,-0.189826,-0.309730,-0.062671,0.000000,-0.253988,-0.062671,0.063370,-0.129534,-0.129534,-0.124229,-0.316120,-0.309730,-0.316120,-0.253988,-0.316120,0.009302,-0.445995,-0.375543,-0.721584,0.127085,-0.124229,-0.189826,0.131192,-0.004684,-0.541670,0.102084,2.092209
L14,-0.247982,-0.247982,-0.247982,-0.189826,-0.124229,-0.253988,0.000000,-0.129534,-0.184192,-0.129534,-0.375543,-0.184192,-0.438722,-0.189826,-0.062671,0.000000,-0.124229,-0.124229,-0.189826,-0.316120,-0.062671,-0.062671,-0.566061,-0.375543,-0.189826,-0.062671,0.000000,0.118821,-0.309730,-0.253988,-0.189826,-0.438722,-0.124229,-0.195492,-0.438722,-0.316120,-0.506163,0.247152,0.303905,-0.755817,-0.189826,-0.184192,-0.124229,-0.253988,-0.557864,-0.817375,0.669505,-0.438722
L15,-0.189826,-0.189826,0.000000,0.000000,-0.124229,-0.129534,-0.184192,-0.124229,-0.124229,-0.247982,-0.316120,-0.189826,-0.375543,0.004662,-0.124229,-0.189826,-0.124229,-0.253988,0.063370,0.058974,-0.057708,-0.062671,-0.382369,-0.375543,-0.189826,-0.247982,-0.062671,-0.629777,-0.309730,-0.316120,-0.247982,-0.375543,-0.189826,0.118821,-0.513945,-0.253988,1.070174,0.209973,-0.242012,0.254425,0.004662,0.009302,-0.062671,-0.189826,-0.375543,-0.438722,1.755276,0.584666
L16,-0.309730,-0.189826,-0.129534,-0.247982,-0.189826,-0.189826,-0.247982,-0.665495,-0.498441,-0.189826,-0.129534,-0.247982,-0.253988,0.000000,-0.124229,-0.129534,-0.189826,-0.247982,-0.184192,-0.242012,0.000000,-0.184192,-0.375543,-0.309730,-0.124229,-0.184192,-0.057708,-0.189826,-0.309730,-0.124229,-0.184192,-0.247982,-0.189826,-0.178590,-0.247982,-0.498441,-0.057708,0.194705,-0.247982,0.135282,-0.189826,0.063370,0.000000,0.127085,-0.303381,-0.348696,0.247152,1.953888
L17,-0.124229,-0.247982,-0.129534,-0.253988,0.000000,-0.316120,-0.382369,0.122962,-0.184192,-0.247982,-0.129534,-0.124229,-0.129534,-0.253988,-0.316120,-0.189826,-0.184192,-0.124229,-0.129534,0.004662,-0.247982,0.000000,0.067746,-0.253988,-0.533670,-0.184192,-0.184192,0.067746,-0.184192,-0.247982,-0.375543,-0.438722,-0.129534,-0.184192,-0.124229,-0.382369,0.872348,-0.129534,-0.375543,-0.603801,-0.247982,-0.118952,-0.189826,-0.057708,-0.124229,-0.745916,1.316132,0.147453
L18,0.004662,-0.124229,-0.124229,-0.124229,-0.062671,-0.124229,0.254425,1.817894,1.264707,0.503321,0.310778,0.186983,2.953253,1.383955,0.186983,0.063370,0.063370,0.186983,0.254425,1.190802,0.000000,0.004662,1.507187,0.317604,0.063370,0.317604,0.127085,1.507187,1.393279,0.127085,0.063370,-0.067659,0.000000,0.439159,0.247152,0.563613,12.979972,1.876821,0.752121,0.072103,0.317604,-0.057708,-0.124229,-0.184192,0.122962,0.054559,5.053145,2.650341
L19,-0.247982,-0.309730,-0.189826,-0.062671,-0.189826,-0.118952,-0.189826,-0.716788,-0.316120,-0.375543,-0.189826,-0.189826,-0.445995,-0.253988,-0.124229,-0.184192,-0.184192,-0.189826,-0.247982,-0.057708,-0.062671,-0.247982,-0.375543,-0.247982,-0.309730,-0.124229,-0.309730,-0.124229,-0.253988,-0.124229,-0.375543,-0.062671,0.000000,-0.189826,-0.247982,-0.608084,0.254425,0.000000,0.756516,0.239826,-0.417216,0.000000,-0.062671,0.067746,0.058974,0.063370,-0.490778,0.114663
L20,-0.129534,-0.247982,-0.184192,-0.124229,0.063370,-0.309730,0.127085,-0.253988,-0.382369,-0.129534,-0.184192,-0.189826,-0.595291,-0.129534,-0.004684,-0.124229,-0.247982,-0.129534,-0.189826,-0.189826,0.000000,-0.189826,-0.506163,-0.057708,0.000000,-0.129534,-0.309730,-0.625401,-0.438722,-0.124229,-0.189826,-0.124229,-0.124229,-0.316120,-0.184192,-0.253988,-1.035241,0.004662,-0.498441,-0.755817,0.000000,0.004662,-0.124229,0.131192,0.194705,0.383417,-0.983948,7.126980
L21,-0.124229,-0.124229,-0.129534,-0.124229,-0.253988,-0.124229,-0.189826,0.947572,0.254425,0.127085,0.063370,0.063370,0.563613,0.186983,-0.189826,-0.184192,-0.184192,0.000000,-0.062671,0.000000,-0.184192,0.127085,0.568918,0.004662,0.004662,-0.124229,-0.057708,-0.189826,0.497655,-0.184192,-0.124229,-0.247982,-0.124229,0.000000,0.254425,0.563613,3.386447,0.688463,0.868434,-0.184192,-0.184192,-0.247982,-0.124229,-0.184192,0.004662,-0.603801,0.880130,8.600948
L22,-0.067659,-0.124229,-0.189826,-0.124229,-0.189826,-0.062671,-0.253988,-0.983948,-0.189826,-0.253988,-0.189826,-0.309730,-1.146467,-0.882972,-0.247982,-0.062671,-0.062671,-0.067659,-0.184192,-0.184192,-0.184192,-0.129534,-0.688484,-0.247982,-0.184192,-0.184192,-0.247982,-0.253988,-0.438722,-0.129534,-0.184192,-0.184192,-0.124229,-0.247982,-0.124229,-0.595291,-0.570185,-0.309730,-0.124229,-0.438722,-0.506163,-0.124229,-0.124229,-0.247982,-0.118952,-0.533670,-0.679225,4.015119
L23,-0.062671,0.000000,-0.129534,0.000000,-0.124229,0.000000,-0.316120,-0.566061,-0.375543,-0.184192,-0.184192,-0.124229,-1.376990,-0.566061,-0.189826,0.063370,-0.124229,-0.184192,0.000000,-0.062671,0.000000,-0.124229,-0.189826,0.000000,-0.124229,-0.184192,-0.062671,-0.124229,-0.253988,-0.124229,0.000000,-0.062671,-0.004684,-0.124229,-0.124229,-0.947134,-1.146467,0.377027,-0.284571,-0.247982,-0.247982,-0.118952,-0.062671,0.009302,-0.431502,-0.688484,-0.665495,-1.009266
L24,0.000000,-0.062671,-0.062671,-0.189826,0.000000,0.563613,0.127085,0.439159,-0.062671,-0.124229,-0.062671,-0.057708,0.127085,-0.189826,-0.062671,-0.062671,0.000000,0.000000,0.000000,-0.124229,-0.062671,-0.062671,-0.124229,-0.124229,0.000000,0.000000,-0.124229,-0.124229,-0.062671,0.000000,-0.062671,-0.124229,-0.124229,-0.062671,0.063370,0.186983,0.820232,0.254425,0.127085,0.004662,-0.124229,0.004662,-0.057708,0.194705,-0.362029,-0.247982,-0.189826,3.101606
L25,0.000000,-0.124229,-0.124229,-0.062671,-0.124229,-0.062671,0.131192,0.310778,0.000000,-0.062671,0.000000,-0.062671,0.503321,0.000000,-0.062671,-0.062671,-0.062671,-0.062671,0.000000,-0.062671,-0.062671,-0.062671,0.000000,-0.124229,0.058974,-0.062671,-0.062671,0.000000,0.000000,-0.062671,0.000000,-0.067659,-0.004684,0.000000,-0.062671,0.004662,0.451135,0.247152,-0.118952,0.067746,0.000000,-0.062671,0.058974,0.194705,-0.052770,0.186983,-0.935158,0.605285
L26,-0.062671,-0.062671,-0.057708,0.000000,-0.118952,0.000000,-0.118952,-0.184192,0.000000,-0.062671,-0.062671,-0.062671,-0.316120,-0.184192,-0.062671,0.000000,-0.062671,0.000000,0.000000,-0.062671,0.000000,0.000000,-0.124229,-0.124229,-0.124229,-0.062671,0.000000,0.000000,0.000000,0.000000,-0.062671,0.000000,0.000000,-0.062671,0.000000,0.063370,-0.316120,0.127085,-0.118952,-0.062671,-0.062671,0.254425,0.000000,0.194705,-0.178590,-0.375543,-0.316120,9.355450
L27,-0.062671,0.000000,0.000000,-0.062671,-0.062671,-0.062671,0.000000,0.004662,0.000000,-0.062671,0.000000,0.000000,0.000000,0.122962,0.000000,-0.062671,0.000000,0.000000,-0.062671,0.000000,-0.062671,0.000000,-0.062671,0.000000,0.000000,0.000000,-0.062671,0.000000,-0.062671,-0.062671,0.000000,0.000000,0.000000,0.000000,-0.062671,0.000000,0.127085,0.063370,0.058974,0.000000,-0.062671,0.004662,0.000000,0.254425,-0.236077,0.186983,-0.129534,4.637447
L28,0.000000,-0.062671,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062671,-0.062671,0.000000,0.000000,-0.062671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062671,-0.062671,0.058974,-0.067659,0.122962,0.000000,0.000000,0.000000,0.000000,-0.062671,0.383417,-0.553791,0.000000,-0.057708,7.692820
L29,0.000000,0.000000,-0.057708,0.000000,-0.057708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063370,-0.062671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063370,-0.362029,0.122962,-0.057708,7.834987
L30,0.063370,0.063370,0.000000,0.063370,0.058974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058974,-0.247982,0.063370,0.058974,9.468060
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.571622
