layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Patient,7: diagnosis,8::,9: depression,10:.,"11:
",12:Write,13: a,14: concise,15: clinical,16: summary,17: covering,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: Begin,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L20,-0.124513,-0.060320,-0.187211,-0.124513,0.000000,-0.374250,-0.560835,-0.124513,-0.247836,-1.060329,-0.187211,-0.124513,0.000000,0.000000,-0.187211,-0.187211,-0.124513,-0.124513,-0.502728,-0.060320,-0.060320,-0.247836,-0.187211,-0.440208,-0.065515,-0.124513,-0.187211,-0.060320,-0.187211,-0.254106,-1.431187,-0.247836,-0.319063,-0.622529,-0.060320,0.000000,-0.124513,0.066062,0.061485,0.056887,-1.516345,5.251302
L21,-0.124513,-0.060320,-0.247836,-0.060320,-0.124513,-0.124513,0.563094,0.190419,0.877499,3.820869,0.693147,0.439041,0.000000,-0.124513,-0.247836,0.190419,-0.124513,-0.060320,0.627632,0.000000,-0.124513,0.186378,-0.060320,0.123727,0.061485,-0.187211,-0.060320,-0.247836,-0.060320,0.123727,5.446842,0.940388,0.563094,0.563094,-0.247836,0.000000,-0.124513,-0.187211,-0.124513,-0.506768,0.374083,10.289167
L22,-0.060320,0.000000,-0.060320,-0.124513,-0.060320,-0.187211,-0.874493,-0.374250,-0.312374,-1.685421,-1.494366,-0.874493,-0.060320,-0.124513,-0.124513,-0.187211,-0.187211,-0.124513,-0.627085,-0.312374,-0.060320,-0.187211,-0.187211,-0.187211,-0.312374,-0.060320,0.000000,-0.124513,-0.247836,-0.374250,-1.005521,-0.312374,-0.187211,-0.432660,-0.187211,-0.124513,-0.060320,-0.124513,0.190419,-0.124513,-1.585337,0.627632
L23,-0.187211,-0.124513,-0.124513,-0.060320,-0.124513,-0.060320,-0.622529,0.000000,-0.440208,-2.327271,-0.627085,-0.688280,-0.060320,-0.124513,0.000000,-0.124513,0.000000,0.000000,0.128028,-0.312374,0.000000,-0.060320,-0.060320,-0.060320,-0.124513,0.066062,0.061485,-0.124513,-0.187211,-0.627085,-1.561807,-0.247836,-0.247836,-0.440208,-0.060320,-0.124513,0.000000,0.066062,-0.187211,-0.440208,-0.688280,-0.014742
L24,0.061485,0.061485,-0.060320,-0.060320,-0.124513,0.439041,-0.060320,-0.060320,-0.247836,0.380772,0.000000,0.000000,-0.060320,-0.060320,-0.060320,-0.060320,-0.060320,0.000000,-0.060320,0.000000,-0.060320,-0.060320,-0.060320,-0.060320,-0.060320,0.000000,-0.060320,-0.124513,-0.124513,0.000000,0.940388,0.500036,0.123727,-0.060320,-0.060320,0.061485,0.000000,0.066062,-0.119003,-0.247836,-0.060320,4.556850
L25,-0.187211,-0.060320,-0.124513,-0.124513,-0.247836,0.061485,0.123727,-0.060320,-0.060320,2.129972,0.318897,0.190419,-0.060320,0.000000,-0.060320,0.000000,-0.060320,0.000000,0.123727,0.000000,0.061485,-0.060320,0.123727,-0.124513,0.061485,0.000000,0.000000,0.000000,-0.060320,0.123727,1.382629,0.500036,0.123727,0.066062,0.186378,0.000000,0.000000,0.066062,0.004866,0.123727,-1.133354,1.720149
L26,-0.124513,-0.060320,0.000000,-0.060320,-0.060320,0.000000,-0.247836,-0.060320,-0.312374,-1.005521,-0.432660,-0.187211,-0.060320,-0.124513,0.061485,-0.124513,-0.060320,-0.124513,-0.187211,-0.060320,0.061485,-0.124513,0.000000,-0.060320,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060320,-0.560835,0.066062,-0.124513,-0.187211,-0.124513,0.004866,-0.124513,0.066062,-0.241605,-0.374250,-0.565118,9.168646
L27,-0.060320,-0.060320,-0.060320,-0.124513,-0.124513,0.000000,-0.124513,-0.124513,-0.060320,-0.060320,0.061485,0.000000,-0.060320,0.000000,-0.124513,-0.060320,0.000000,0.000000,0.000000,-0.124513,0.000000,-0.060320,0.000000,0.000000,0.000000,0.000000,-0.060320,0.000000,-0.060320,-0.187211,0.061485,0.000000,-0.124513,-0.124513,0.000000,0.000000,-0.060320,0.128028,-0.181346,0.061485,-0.247836,4.252875
L28,-0.187211,-0.124513,-0.060320,-0.060320,-0.060320,-0.124513,-0.124513,-0.060320,-0.060320,-0.124513,0.000000,-0.124513,-0.124513,-0.124513,-0.060320,-0.124513,-0.124513,-0.124513,-0.060320,-0.124513,-0.060320,-0.060320,-0.124513,-0.124513,-0.060320,-0.060320,-0.124513,-0.124513,-0.060320,-0.124513,-0.060320,-0.124513,-0.187211,-0.060320,-0.124513,-0.124513,-0.124513,0.128028,-0.498704,-0.060320,-0.124513,7.214999
L29,-0.124513,0.000000,-0.124513,-0.124513,0.000000,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,0.000000,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,-0.124513,0.000000,-0.124513,-0.124513,-0.124513,-0.060320,0.000000,-0.124513,0.000000,-0.124513,-0.060320,0.000000,-0.060320,-0.060320,-0.305730,-0.060320,-0.060320,8.370266
L30,0.000000,0.061485,0.000000,-0.124513,-0.060320,0.000000,-0.124513,0.000000,0.000000,0.000000,-0.124513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.124513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.124513,-0.124513,0.000000,-0.060320,-0.124513,-0.060320,-0.187211,0.000000,-0.060320,9.823522
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.320818
